,text,location,raw_prediction,WER,prediction
0,"Howard County Executive Allan Kittleman said Monday morning that his priorities are finding the missing man and assessing the condition of buildings that house shops, restaurants and families.",Howard,Howard County,1.0,Howard County
1,RT @CristianiCasco: State of Emergency declared. Catastrophic flooding slams #EllicottCity #Maryland,Maryland,El ##lic ##ott ##C ##ity Maryland,1.0,EllicottCity Maryland
2,"Please pray for a brave vet who is missing in Maryland in the flooding. Ellicott City, Maryland flash floods leave National Guard member missing, devastate town recovering from 2016 deluge  #FoxNews",Ellicott Maryland,Maryland El ##lic ##ott City Maryland,0.5,Ellicott City Maryland
3,"Its even worse: Ellicott City, Maryland, recovering from 2016 flood, hammered again  #flooding 25- to 30-ft-wide hole N of Main Street, ground and road buckled. utilities off, water ran thru bldgs, Patapsco River up 17.8 ft in 2 hrs, Sunday, record level",Ellicott City Maryland Patapsco River,El ##lic ##ott City Maryland Pat ##ap ##sco,0.2,Ellicott City Maryland Patapsco
4,"Have you seen Eddison Hermond? The Army National Guard member is missing after devastating floods rolled through Ellicott City, Maryland, over the weekend.",Ellicott Maryland,El ##lic ##ott City Maryland,0.5,Ellicott City Maryland
5,News conference in #EllicottCity Maryland as public officials give an update on the flash floods and search and rescue efforts both last night and today,Maryland,El ##lic ##ott ##C ##ity Maryland,1.0,EllicottCity Maryland
6,"RT @AP: The Latest: One person is missing in flash flooding that struck historic Ellicott City, Maryland.",Ellicott Maryland,El ##lic ##ott City Maryland,0.5,Ellicott City Maryland
7,"There has been terrible devastation after flood waters rushed through Ellicott City, Maryland, U.S., toppling buildings & upending cars & a months worth of rain has fallen in parts of the West Midlands, UK, in just an hour. Climate change is real. Weather patterns are changing.",Ellicott City Maryland U.S. UK West Midlands,El ##lic ##ott City Maryland U . S . West UK,0.1428571428571428,Ellicott City Maryland U.S. UK West
8,Howard County officials are searching for a Maryland National Guardsman reported missing from Sunday’s devastating floods. Police say he was helping search for a missing cat when he was last seen.,Howard Maryland,Howard County Maryland,0.5,Howard County Maryland
9,"39-year-old Eddison Hermond of Severn, Maryland, was last seen trying to help a woman rescue her cat behind a restaurant while churning, brown waters ripped through Ellicott City’s flood-prone downtown.",Ellicott City Maryland,Severn Maryland El ##lic ##ott City,0.3333333333333333,Ellicott City Maryland Severn
10,"Eddison Hermond, a National Guard sergeant who is believed to have been swept away while helping a woman find her cat during Ellicott City flooding, is still missing",Ellicott,El ##lic ##ott City,1.0,Ellicott City
11,‘Washed away real quick’: Missing Maryland resident and U.S. military member Eddison Hermond was trying to help woman trapped by flood in Ellicott City:,Ellicott Maryland,Maryland El ##lic ##ott City,0.5,Ellicott City Maryland
12,"In Maryland, Ellicott City Gets Hit By Devastating Flash Floods, Again: People in Ellicott City, Md., are surveying the damage to their homes and businesses after a historic flash flood raged through the city — the second in as many years. NPRs Mary",Ellicott City Maryland,Maryland El ##lic ##ott City El ##lic ##ott City M,0.3333333333333333,Ellicott City Maryland Md.
13,RT @WashTimes: Officials search for missing National Guardsman swept away in Ellicott City flood.  #EllicottCityFlood,Ellicott,El ##lic ##ott City,1.0,Ellicott City
14,"RT @disasteraware: #FLOOD New Alert: Flooding - Maryland, United States, Severity: WARNING",Maryland United States,Maryland United States,0.6666666666666666,Maryland States United
15,"One person is reported missing following a massive storm that brought flash flooding to Ellicott City, Maryland, a Howard County official says",Ellicott Howard Maryland,El ##lic ##ott City Maryland Howard,0.3333333333333333,Ellicott City Howard Maryland
16,"Flash floods ravage Maryland town: A state of emergency was declared in Howard County, as a massive storm drenched the Baltimore region, triggering flash floods in Ellicott City and leaving one person missing.",Baltimore Ellicott City Howard Maryland,Maryland Howard County Baltimore El ##lic ##ott City,0.2,Baltimore Ellicott City Howard County Maryland
17,#919Blog ὊC ABC11 What we know about Maryland National Guardsman missing after Ellicott City flood ” #RaleighNC #DurhamNC #RDU #Triangle #NC .,Ellicott Maryland,Maryland El ##lic ##ott City,0.5,Ellicott City Maryland
18,No words to describe the devastation after Ellicott City flooding in Maryland  #EllicottCityMD #ECFlood #EllicottCity #FlashFloods #FlashFloodWarning #PublicSafety #PSA #Maryland #USNews #News #WeatherAdvisory #Floods #NWS,Ellicott City Maryland,El ##lic ##ott City Maryland El ##lic ##ott ##C ##ity Maryland,0.3333333333333333,Ellicott City EllicottCity Maryland
19,"In Maryland, Elliot City was devastated by floods over the weekend. Will this town choose to rebuild or retreat in the face of disastrous climate change?",Elliot City Maryland,Maryland Elliot,0.6666666666666666,Maryland
20,"RT @arirangtvnews: ▪ MARYLAND FLOOD Devastating #flood hits Ellicott City, #Maryland, one missing",Ellicott MARYLAND Maryland,MA ##R ##Y ##LA ##ND El ##lic ##ott City Maryland,0.3333333333333333,Ellicott City MARYLAND Maryland
21,"It takes 1.2 secs to retweet and help find missing NAEEMAH ROCHON, 15 yrs old, from Laurel, Maryland missing since May 31, 2014.",Maryland,Laurel Maryland,1.0,Laurel Maryland
22,"RIP Eddison Alexander Hermond, 39, who went missing during the Ellicott City flood, was found by searchers today in the Patapsco River, just across the Baltimore County line #ECFlood",Baltimore County Ellicott City,El ##lic ##ott City Pat ##ap ##sco River Baltimore County,0.5,Baltimore County Ellicott City Patapsco River
23,"39-year-old Eddison Hermond disappeared late Sunday afternoon, following torrential rains that prompted destructive flash flooding. He was a veteran of the U.S. Air Force and a sergeant in the Maryland Army National Guard,",Maryland U.S.,U Maryland,0.5,Maryland
24,"2 years ago, floods hit #EllicottCity, the same area in Maryland that flooded Sunday. That event was called a 1,000-year flood & early reports say this year’s damage to infrastructure is far worse. How should #stormwater design prepare for atypical storms?",Maryland,El ##lic ##ott ##C ##ity Maryland,1.0,EllicottCity Maryland
25,"An Exeter man was among those who had to be rescued from severe flooding in Ellicott City, Maryland:  #exeternh #flooding #EllicottCity #EllicottCityFlood",Ellicott City Maryland,El ##lic ##ott City Maryland El ##lic ##ott ##C ##ity,0.3333333333333333,Ellicott City EllicottCity Maryland
26,"JUST IN: Flash Flood Warning issued for Frederick, Washington counties in Maryland, and Fauquier and Loudoun counties in Virginia until 8:15 pm  #fox5dc",Fauquier Loudoun Maryland Virginia Washington,Frederick Washington Maryland F ##au ##qui ##er Lou ##do ##un Virginia,0.2,Fauquier Frederick Loudoun Maryland Virginia Washington
27,"Timely info from Sustainable Maryland on the recent floods in Maryland, and why we’d better get proactive in our planning & risk assessment! Township of Monroe Sustainable Jersey Rutgers",Jersey Maryland Township of Monroe,Maryland Maryland Monroe,0.6,Maryland Monroe
28,"UNITED HELP,INCORPORATED McPeeks Helping Hands And Terri Jean McPeek Merrills Pet Rescue 9000 Briarcroft Lane Apt 124 Laurel, Maryland 20708-1363 301-490-3333 United Help, Incorporated, is a 501(c)(3) Tax Status Youth",Maryland,Laurel Maryland,1.0,Laurel Maryland
29,"Flood Warning for parts of #Loudoun: SOME LOCATIONS THAT MAY EXPERIENCE FLOODING INCLUDE LEESBURG, LANSDOWNE, PURCELLVILLE, MIDDLEBURG, OATLANDS, BELMONT, HAMILTON, SAINT LOUIS, PAEONIAN SPRINGS, GLEEDSVILLE, WATERFORD, LUCKETTS, ALDIE, PHILOMONT, LINCOLN AND HUGHESVILLE.",ALDIE BELMONT GLEEDSVILLE HAMILTON HUGHESVILLE LANSDOWNE LEESBURG LINCOLN LUCKETTS Loudoun MIDDLEBURG OATLANDS PAEONIAN SPRINGS PHILOMONT PURCELLVILLE SAINT LOUIS WATERFORD,Lou ##do ##un L ##EE ##SB ##UR ##G LA ##NS ##D ##OW ##NE P ##UR ##CE ##LL ##VI ##LL ##E MI ##D ##D ##LE ##B ##UR ##G O ##AT ##LA ##ND ##S B ##EL ##MO ##NT H ##AM ##IL ##TO ##N SA ##IN ##T L ##O ##UI PA ##E ##ON ##IA ##N,0.4736842105263157,BELMONT HAMILTON LANSDOWNE LEESBURG LOUI Loudoun MIDDLEBURG OATLANDS PAEONIAN PURCELLVILLE SAINT
