,text,location,raw_prediction,WER,prediction
0,"Howard County Executive Allan Kittleman said Monday morning that his priorities are finding the missing man and assessing the condition of buildings that house shops, restaurants and families.",Howard,Howard County,1.0,Howard County
1,RT @CristianiCasco: State of Emergency declared. Catastrophic flooding slams #EllicottCity #Maryland,Maryland,El ##lic ##ott ##C ##ity Maryland,1.0,EllicottCity Maryland
2,"Please pray for a brave vet who is missing in Maryland in the flooding. Ellicott City, Maryland flash floods leave National Guard member missing, devastate town recovering from 2016 deluge  #FoxNews",Ellicott Maryland,Maryland El ##lic ##ott City Maryland,0.5,Ellicott City Maryland
3,I liked a @YouTube video  CRAZY MARYLAND FLOODING - Flash flood smashes into Ellicott City Maryland,Ellicott City MARYLAND Maryland,MA ##R ##Y ##LA ##ND El ##lic ##ott City Maryland,0.5,Ellicott City Maryland MARYLAND
4,"Its even worse: Ellicott City, Maryland, recovering from 2016 flood, hammered again  #flooding 25- to 30-ft-wide hole N of Main Street, ground and road buckled. utilities off, water ran thru bldgs, Patapsco River up 17.8 ft in 2 hrs, Sunday, record level",Ellicott City Maryland Patapsco River,El ##lic ##ott City Maryland Pat ##ap ##sco,0.2,Ellicott City Maryland Patapsco
5,"Have you seen Eddison Hermond? The Army National Guard member is missing after devastating floods rolled through Ellicott City, Maryland, over the weekend.",Ellicott Maryland,El ##lic ##ott City Maryland,0.5,Ellicott City Maryland
6,News conference in #EllicottCity Maryland as public officials give an update on the flash floods and search and rescue efforts both last night and today,Maryland,El ##lic ##ott ##C ##ity Maryland,1.0,EllicottCity Maryland
7,"Ellicott City, Maryland flooding: Dangerous flood #waters hit city still recovering from 2016 flood: CBS News  #ecology",Ellicott City Maryland,El ##lic ##ott City Maryland,0.3333333333333333,Ellicott City Maryland city
8,"RT @AP: The Latest: One person is missing in flash flooding that struck historic Ellicott City, Maryland.",Ellicott Maryland,El ##lic ##ott City Maryland,0.5,Ellicott City Maryland
9,"There has been terrible devastation after flood waters rushed through Ellicott City, Maryland, U.S., toppling buildings & upending cars & a months worth of rain has fallen in parts of the West Midlands, UK, in just an hour. Climate change is real. Weather patterns are changing.",Ellicott City Maryland U.S. UK West Midlands,El ##lic ##ott City Maryland U . S . West UK,0.1428571428571428,Ellicott City Maryland U.S. UK West
10,Howard County officials are searching for a Maryland National Guardsman reported missing from Sunday’s devastating floods. Police say he was helping search for a missing cat when he was last seen.,Howard Maryland,Howard County Maryland,0.5,Howard County Maryland
11,"39-year-old Eddison Hermond of Severn, Maryland, was last seen trying to help a woman rescue her cat behind a restaurant while churning, brown waters ripped through Ellicott City’s flood-prone downtown.",Ellicott City Maryland,Severn Maryland El ##lic ##ott City,0.3333333333333333,Ellicott City Maryland Severn
12,"Eddison Hermond, a National Guard sergeant who is believed to have been swept away while helping a woman find her cat during Ellicott City flooding, is still missing",Ellicott,El ##lic ##ott City,1.0,Ellicott City
13,"One person is missing after a flash flood in Ellicott City, Maryland. Its the second time the city has dealt with catastrophic damage in just two years.",Ellicott City Maryland,El ##lic ##ott City Maryland,0.3333333333333333,Ellicott City Maryland city
14,‘Washed away real quick’: Missing Maryland resident and U.S. military member Eddison Hermond was trying to help woman trapped by flood in Ellicott City:,Ellicott Maryland,Maryland El ##lic ##ott City,0.5,Ellicott City Maryland
15,"In Maryland, Ellicott City Gets Hit By Devastating Flash Floods, Again: People in Ellicott City, Md., are surveying the damage to their homes and businesses after a historic flash flood raged through the city — the second in as many years. NPRs Mary",Ellicott City Maryland,Maryland El ##lic ##ott City El ##lic ##ott City M,1.0,Ellicott City M Maryland city m
16,RT @WashTimes: Officials search for missing National Guardsman swept away in Ellicott City flood.  #EllicottCityFlood,Ellicott,El ##lic ##ott City,3.0,City Ellicott Ellicott City
17,"Ellicott City, Md., Suffers Flash Flood, Ravaging Main Street; 1 Man Missing",Ellicott City Md.,El ##lic ##ott City M,0.3333333333333333,Ellicott City M
18,"One person is reported missing following a massive storm that brought flash flooding to Ellicott City, Maryland, a Howard County official says",Ellicott Howard Maryland,El ##lic ##ott City Maryland Howard,0.3333333333333333,Ellicott City Howard Maryland
19,"Flash floods ravage Maryland town: A state of emergency was declared in Howard County, as a massive storm drenched the Baltimore region, triggering flash floods in Ellicott City and leaving one person missing.",Baltimore Ellicott City Howard Maryland,Maryland Howard County Baltimore El ##lic ##ott City,0.2,Baltimore Ellicott City Howard County Maryland
20,#919Blog ὊC ABC11 What we know about Maryland National Guardsman missing after Ellicott City flood ” #RaleighNC #DurhamNC #RDU #Triangle #NC .,Ellicott Maryland,Maryland El ##lic ##ott City,0.5,Ellicott City Maryland
21,No words to describe the devastation after Ellicott City flooding in Maryland  #EllicottCityMD #ECFlood #EllicottCity #FlashFloods #FlashFloodWarning #PublicSafety #PSA #Maryland #USNews #News #WeatherAdvisory #Floods #NWS,Ellicott City Maryland,El ##lic ##ott City Maryland El ##lic ##ott ##C ##ity Maryland,0.3333333333333333,Ellicott City EllicottCity Maryland
22,"In Maryland, Elliot City was devastated by floods over the weekend. Will this town choose to rebuild or retreat in the face of disastrous climate change?",Elliot City Maryland,Maryland Elliot,0.3333333333333333,Elliot Maryland
23,"RT @arirangtvnews: ▪ MARYLAND FLOOD Devastating #flood hits Ellicott City, #Maryland, one missing",Ellicott MARYLAND Maryland,MA ##R ##Y ##LA ##ND El ##lic ##ott City Maryland,0.3333333333333333,Ellicott City MARYLAND Maryland
24,"The @usairforce veteran was last seen trying to help a woman and her cat behind a restaurant during the flooding of the county seat of Howard County, #Maryland.",Howard County Maryland,Howard County Maryland,0.3333333333333333,Howard County Maryland county
25,"It takes 1.2 secs to retweet and help find missing NAEEMAH ROCHON, 15 yrs old, from Laurel, Maryland missing since May 31, 2014.",Maryland,Laurel Maryland,1.0,Laurel Maryland
26,swept away while trying to rescue people during violent floods in Marylands Ellicott City  #TheResistance #Resistance #resist #altGov #AltFam #WeAreAltGov #FBR Angels bless his spirit. Possum Forest is very sad right now.,Ellicott City Marylands,Maryland ##s El ##lic ##ott City,0.6666666666666666,Marylands Ellicott City
27,"RIP Eddison Alexander Hermond, 39, who went missing during the Ellicott City flood, was found by searchers today in the Patapsco River, just across the Baltimore County line #ECFlood",Baltimore County Ellicott City,El ##lic ##ott City Pat ##ap ##sco River Baltimore County,0.5,Baltimore County Ellicott City Patapsco River
28,"39-year-old Eddison Hermond disappeared late Sunday afternoon, following torrential rains that prompted destructive flash flooding. He was a veteran of the U.S. Air Force and a sergeant in the Maryland Army National Guard,",Maryland U.S.,U Maryland,1.0,Maryland U u
29,"Ellicott City, Maryland was devastated by flash flooding from a massive rainstorm Sunday, just two years after a similar event forced the historic city in Howard County to rebuild much of its Main Street.",Ellicott City Howard County Maryland,El ##lic ##ott City Maryland Howard County,0.2,Ellicott City Howard County Maryland city
30,"2 years ago, floods hit #EllicottCity, the same area in Maryland that flooded Sunday. That event was called a 1,000-year flood & early reports say this year’s damage to infrastructure is far worse. How should #stormwater design prepare for atypical storms?",Maryland,El ##lic ##ott ##C ##ity Maryland,1.0,EllicottCity Maryland
31,"An Exeter man was among those who had to be rescued from severe flooding in Ellicott City, Maryland:  #exeternh #flooding #EllicottCity #EllicottCityFlood",Ellicott City Maryland,El ##lic ##ott City Maryland El ##lic ##ott ##C ##ity,0.3333333333333333,Ellicott City EllicottCity Maryland
32,"The devastating flooding in Maryland over Memorial Day Weekend not only sent a wall of water through downtown Ellicott City, Md., but reignited a debate over global warming and floods.",Ellicott City Maryland Md.,Maryland El ##lic ##ott City M,0.5,Ellicott City M Maryland m
33,"JUST IN: Flash Flood Warning issued for Frederick, Washington counties in Maryland, and Fauquier and Loudoun counties in Virginia until 8:15 pm  #fox5dc",Fauquier Loudoun Maryland Virginia Washington,Frederick Washington Maryland F ##au ##qui ##er Lou ##do ##un Virginia,0.2,Fauquier Frederick Loudoun Maryland Virginia Washington
34,@KevinRothWx Flash floods in Maryland Ellicott City destroyed again People have to be on roads to get to gm Me thinks ppd,Ellicott City Maryland,Maryland El ##lic ##ott City,0.6666666666666666,Maryland Ellicott City
