,text,location,raw_prediction,prediction,cleaned_text,WER
0,"Other parts of Maryland also saw significant damage from Sundays storms including this Baltimore city neighborhood, #Dundalk and #Catonsville. Rain totals spanned from 1 to 10 inches across Maryland:  #ECFlood",Baltimore Maryland,Maryland Baltimore Maryland,Maryland,Other parts of Maryland also saw significant damage from Sundays storms including this Baltimore city neighborhood Dundalk and Catonsville Rain totals spanned from 1 to 10 inches across Maryland ECFlood,0.5
1,"Howard County Executive Allan Kittleman said Monday morning that his priorities are finding the missing man and assessing the condition of buildings that house shops, restaurants and families.",Howard,Howard County,Howard County,Howard County Executive Allan Kittleman said Monday morning that his priorities are finding the missing man and assessing the condition of buildings that house shops restaurants and families,1.0
2,RT @CristianiCasco: State of Emergency declared. Catastrophic flooding slams #EllicottCity #Maryland,Maryland,El ##lic ##ott ##C ##ity,Catastrophic EllicottCity,RT State of Emergency declared Catastrophic flooding slams EllicottCity Maryland,2.0
3,I liked a @YouTube video  CRAZY MARYLAND FLOODING - Flash flood smashes into Ellicott City Maryland,Ellicott City MARYLAND Maryland,MA ##R ##Y ##LA ##ND El ##lic ##ott City,CRAZY MARYLAND Ellicott City,I liked a video CRAZY MARYLAND FLOODING   Flash flood smashes into Ellicott City Maryland,1.0
4,"During the devastating Maryland flash floods, witnesses said Eddison Alexander was swept away while helping a woman cross the waters in Ellicott City",Ellicott City Maryland,Maryland El ##lic ##ott,Ellicott Maryland,During the devastating Maryland flash floods witnesses said Eddison Alexander was swept away while helping a woman cross the waters in Ellicott City,0.3333333333333333
5,"Its even worse: Ellicott City, Maryland, recovering from 2016 flood, hammered again  #flooding 25- to 30-ft-wide hole N of Main Street, ground and road buckled. utilities off, water ran thru bldgs, Patapsco River up 17.8 ft in 2 hrs, Sunday, record level",Ellicott City Maryland Patapsco River,El ##lic ##ott City Maryland ##sco,Ellicott City Maryland Patapsco,Its even worse Ellicott City Maryland recovering from 2016 flood hammered again flooding 25  to 30 ft wide hole N of Main Street ground and road buckled utilities off water ran thru bldgs Patapsco River up 178 ft in 2 hrs Sunday record level,0.2
6,"Have you seen Eddison Hermond? The Army National Guard member is missing after devastating floods rolled through Ellicott City, Maryland, over the weekend.",Ellicott Maryland,El ##lic ##ott City Maryland,Ellicott City Maryland,Have you seen Eddison Hermond The Army National Guard member is missing after devastating floods rolled through Ellicott City Maryland over the weekend,0.5
7,"Search underway for a missing veteran, Eddison Hermond, reportedly swept away helping to rescue others from flash floods in Maryland",Maryland,, ,,1.0
8,News conference in #EllicottCity Maryland as public officials give an update on the flash floods and search and rescue efforts both last night and today,Maryland,El ##lic ##ott ##C ##ity Maryland,EllicottCity Maryland,News conference in EllicottCity Maryland as public officials give an update on the flash floods and search and rescue efforts both last night and today,1.0
9,"RT @AP: The Latest: One person is missing in flash flooding that struck historic Ellicott City, Maryland.",Ellicott Maryland,El ##lic ##ott City Maryland,Ellicott City Maryland,RT The Latest One person is missing in flash flooding that struck historic Ellicott City Maryland,0.5
