,tweet_id,text,location,raw_prediction,WER,prediction
1,ID_1001136696589631488,"Flash floods struck a Maryland city on Sunday, washing out streets and tossing cars like bath toys.",Maryland,Maryland,0.0,Maryland
2,ID_1001136950345109504,State of emergency declared for Maryland flooding:  via @YouTube,Maryland,Maryland,0.0,Maryland
3,ID_1001137334056833024,"Other parts of Maryland also saw significant damage from Sundays storms including this Baltimore city neighborhood, #Dundalk and #Catonsville. Rain totals spanned from 1 to 10 inches across Maryland:  #ECFlood",Baltimore Maryland,Maryland Baltimore Maryland,0.0,Baltimore Maryland
4,ID_1001138374923579392,"Catastrophic Flooding Slams Ellicott City, Maryland; Water Rescues Reported - The Weather Channel  via @GoogleNews",Ellicott City Maryland,El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
5,ID_1001138377717157888,"WATCH: 1 missing after flash #FLOODING devastates Ellicott City, Maryland  #GPWX",Ellicott City Maryland,El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
14,ID_1001141769155891200,"Watch Live: Aerials of damage after historic flash flooding in Ellicott City, Maryland.",Ellicott City Maryland,El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
17,ID_1001143589630427136,"One person is reported missing as a state of emergency is declared amid flash floods in Maryland, @kristendahlgren reports",Maryland,Maryland,0.0,Maryland
18,ID_1001143679267098624,Monday May 28 - Morning Report: National Guardsman missing after monstrous floods sink Maryland town; Trump visits Arlington after critics slam appalling Memorial Day tweet Via @nypost,Arlington Maryland,Maryland Arlington,0.0,Arlington Maryland
20,ID_1001144314897018880,"One man is still missing after flash flooding tore down historic Main Street in Ellicott City, Maryland over the weekend",Ellicott City Maryland,El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
21,ID_1001144944717914112,RT @KCCINews: State of emergency declared in Maryland after heavy rain causes flooding,Maryland,Maryland,0.0,Maryland
22,ID_1001146215441068032,"Howard County Executive Allan Kittleman said Monday morning that his priorities are finding the missing man and assessing the condition of buildings that house shops, restaurants and families.",Howard,Howard County,1.0,Howard County
24,ID_1001146965948706816,National Guardsman missing after flash flooding devastates historic town  via @instapaper,,,1.0, 
25,ID_1001147515360677888,JUST IN: Governor Larry Hogan has declared a state of emergency for the entire state of Maryland after extreme flooding.,Maryland,Maryland,0.0,Maryland
26,ID_1001147793904427008,Howard County officials searching for man reported missing in Ellicott City flood,Ellicott City Howard County,Howard County El ##lic ##ott City,0.0,Ellicott City Howard County
28,ID_1001148569863237632,AdvantaClean of Frederick is available to help mitigate the damages to homes and businesses in Ellicott City and surrounding areas. Call 877-800-2382 toll free to connect with our office to get the job done right.,Ellicott City,El ##lic ##ott City,0.0,Ellicott City
29,ID_1001150622379503616,Historic Maryland city is ravaged by flood waters again. Search is underway for missing man.,Maryland,Maryland,0.0,Maryland
30,ID_1001150946028666880,"Army National Guardsman missing after massive flooding hits Ellicott City, Maryland. Thoughts and prayers with Eddison Alexander Hermond and his family. I sure hope they find him alive and well.",Ellicott City Maryland,El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
32,ID_1001152279368683520,RT @CristianiCasco: State of Emergency declared. Catastrophic flooding slams #EllicottCity #Maryland,Maryland,El ##lic ##ott ##C ##ity Maryland,1.0,EllicottCity Maryland
33,ID_1001152643497119744,RT @juicelessdre: 2 floods = an infrastructure problem,,,1.0, 
34,ID_1001152706374000640,"Please pray for a brave vet who is missing in Maryland in the flooding. Ellicott City, Maryland flash floods leave National Guard member missing, devastate town recovering from 2016 deluge  #FoxNews",Ellicott Maryland,Maryland El ##lic ##ott City Maryland,0.5,Ellicott City Maryland
37,ID_1001152780147576832,A state of emergency has been declared in the US state of #Maryland as catastrophic flash floods swept Ellicott City after heavy rain. Officials have urged residents to go to higher ground immediately.,Ellicott City Maryland US,US Maryland El ##lic ##ott City,0.0,Ellicott City Maryland US
38,ID_1001153524900749312,"In addition @MCFRS Swift Water Rescue crews assisted @HCDFRS during emergency response and other units were dispatched to fill-in at HCDFRS fire stations. Today, several MCFRS command staff are assisting w/ NCR-IMT (Incident Mgt)",,,1.0, 
41,ID_1001154242273533952,I liked a @YouTube video  CRAZY MARYLAND FLOODING - Flash flood smashes into Ellicott City Maryland,Ellicott City MARYLAND Maryland,MA ##R ##Y ##LA ##ND El ##lic ##ott City Maryland,0.0,Ellicott City MARYLAND Maryland
42,ID_1001155244011720704,National Guard member missing after flash floods devastate historic Maryland town  #FoxNews,Maryland,Maryland,0.0,Maryland
43,ID_1001155359002607616,": Missing #NationalGuardsman, #EddisonHermond, swept away in #EllicottCity, #Maryland #floods while saving others: #MemorialDay: .@RevJJackson @SantitaJ: SUN: 8-10aE/866.594.HOPE/#iHeartRadio: @PatriotAM1150/#FacebookLive",EllicottCity Maryland,El ##lic ##ott ##C ##ity Maryland,0.0,EllicottCity Maryland
44,ID_1001155564901199872,"@abcworldnewstonight - IN A FLASH: Crews have begun removing heavy debris – including cars and a dumpster – thrown by a wall of water that rushed through downtown Ellicott City, Maryland Sunday afternoon; 1 person remains missing as the town deals with",Ellicott City Maryland,El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
45,ID_1001155973187162112,"Maryland Hit By Catastrophic Flash Flooding, Second Time in Two Years  via @YouTube",Maryland,Maryland,0.0,Maryland
47,ID_1001156790275510272,"Flash Floods Surge Through Town in Maryland, One Person Is Missing",Maryland,Maryland,0.0,Maryland
50,ID_1001158582619000832,"National Guardsman missing after flash flooding devastates Ellicott City, Maryland: ‘I’m hopeful that he’ll be OK’",Ellicott City Maryland,El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
