words,labels
Flash floods struck a Maryland city on Sunday washing out streets and tossing cars like bath toys,O O O O U-STATE O O O O O O O O O O O O
State of emergency declared for Maryland flooding via YouTube,O O O O O U-STATE O O O
Other parts of Maryland also saw significant damage from Sundays storms including this Baltimore city neighborhood Dundalk and Catonsville Rain totals spanned from 1 to 10 inches across Maryland ECFlood,O O O U-STATE O O O O O O O O O U-CITY O O O O O O O O O O O O O O U-STATE O
Catastrophic Flooding Slams Ellicott City Maryland Water Rescues Reported The Weather Channel via GoogleNews,O O O U-CITY U-CITY U-STATE O O O O O O O O
WATCH 1 missing after flash FLOODING devastates Ellicott City Maryland GPWX,O O O O O O O U-CITY U-CITY U-STATE O
Watch Live Aerials of damage after historic flash flooding in Ellicott City Maryland,O O O O O O O O O O U-CITY U-CITY U-STATE
One person is reported missing as a state of emergency is declared amid flash floods in Maryland kristendahlgren reports,O O O O O O O O O O O O O O O O U-STATE O O
One man is still missing after flash flooding tore down historic Main Street in Ellicott City Maryland over the weekend,O O O O O O O O O O O O O O U-CITY U-CITY U-STATE O O O
Howard County Executive Allan Kittleman said Monday morning that his priorities are finding the missing man and assessing the condition of buildings that house shops restaurants and families,U-COUNTY O O O O O O O O O O O O O O O O O O O O O O O O O O O
National Guardsman missing after flash flooding devastates historic town via instapaper,O O O O O O O O O O O
JUST IN Governor Larry Hogan has declared a state of emergency for the entire state of Maryland after extreme flooding,O O O O O O O O O O O O O O O O U-STATE O O O
Historic Maryland city is ravaged by flood waters again Search is underway for missing man,O U-STATE O O O O O O O O O O O O O
Army National Guardsman missing after massive flooding hits Ellicott City Maryland Thoughts and prayers with Eddison Alexander Hermond and his family I sure hope they find him alive and well,O O O O O O O O U-CITY U-CITY U-STATE O O O O O O O O O O O O O O O O O O O
RT CristianiCasco State of Emergency declared Catastrophic flooding slams EllicottCity Maryland,O O O O O O O O O O U-STATE
RT juicelessdre 2 floods an infrastructure problem,O O O O O O O
In addition MCFRS Swift Water Rescue crews assisted HCDFRS during emergency response and other units were dispatched to fill in at HCDFRS fire stations Today severWATCH 1 missing after flash FLOODING devastates Ellicott City Maryland GPWX
O O O O O O O U-CITY U-CITY U-STATE Oal MCFRS command staff are assisting w NCR IMT Incident Mgt,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
I liked a YouTube video CRAZY MARYLAND FLOODING Flash flood smashes into Ellicott City Maryland,O O O O O O U-STATE O O O O O U-CITY U-CITY U-STATE
National Guard member missing after flash floods devastate historic Maryland town FoxNews,O O O O O O O O O U-STATE O O
Missing NationalGuardsman EddisonHermond swept away in EllicottCity Maryland floods while saving others MemorialDay RevJJackson SantitaJ SUN 8 10aE 866 594 HOPE iHeartRadio PatriotAM1150 FacebookLive,O O O O O O U-CITY U-STATE O O O O O O O O O O O O O O O O
abcworldnewstonight IN A FLASH Crews have begun removing heavy debris including cars and a dumpster thrown by a wall of water that rushed through downtown Ellicott City Maryland Sunday afternoon 1 person remains missing as the town deals with,O O O O O O O O O O O O O O O O O O O O O O O O O U-CITY U-CITY U-STATE O O O O O O O O O O O
Maryland Hit By Catastrophic Flash Flooding Second Time in Two Years via YouTube,U-STATE O O O O O O O O O O O O
Flash Floods Surge Through Town in Maryland One Person Is Missing,O O O O O O U-STATE O O O O
National Guardsman missing after flash flooding devastates Ellicott City Maryland I m hopeful that he ll be OK,O O O O O O O U-CITY U-CITY U-STATE O O O O O O O O
During the devastating Maryland flash floods witnesses said Eddison Alexander was swept away while helping a woman cross the waters in Ellicott City,O O O U-STATE O O O O O O O O O O O O O O O O O U-CITY U-CITY
Headed to the Howard County Food Bank with supplies Please consider joining and bringing cleaning supplies food and water ECStrong ElliottCity,O O O U-COUNTY U-COUNTY O O O O O O O O O O O O O O O O
Man missing after 1 000 year flood ravages Ellicott City for 2nd time in two years Good thing Trump his quislings are taking such good care of us What climate change,O O O O O O O O U-CITY U-CITY O O O O O O O O O O O O O O O O O O O O O
Officials in Maryland are looking for a National Guard member and Air Force veteran they say was swept away in weekend floods,O O U-STATE O O O O O O O O O O O O O O O O O O O
Maryland man missing after Ellicott City devastated by rampaging flood,U-STATE O O O U-CITY U-CITY O O O O
RT TIME Hopeful that he will be OK Search underway for man missing in Ellicott City Maryland flash flood,O O O O O O O O O O O O O O U-CITY U-CITY U-STATE O O
