id_sentence,word,tag
GREECE_WILDFIRES_2018_0,Nearly,O
GREECE_WILDFIRES_2018_0,half,O
GREECE_WILDFIRES_2018_0,of,O
GREECE_WILDFIRES_2018_0,#,O
GREECE_WILDFIRES_2018_0,houses,O
GREECE_WILDFIRES_2018_0,checked,O
GREECE_WILDFIRES_2018_0,in,O
GREECE_WILDFIRES_2018_0,#,O
GREECE_WILDFIRES_2018_0,fire,O
GREECE_WILDFIRES_2018_0,-,O
GREECE_WILDFIRES_2018_0,stricken,O
GREECE_WILDFIRES_2018_0,areas,O
GREECE_WILDFIRES_2018_0,deemed,O
GREECE_WILDFIRES_2018_0,#,O
GREECE_WILDFIRES_2018_0,uninhabitable,O
GREECE_WILDFIRES_2018_0,#,O
GREECE_WILDFIRES_2018_0,GO,O
GREECE_WILDFIRES_2018_0,#,O
GREECE_WILDFIRES_2018_0,PrayForGreece,O
GREECE_WILDFIRES_2018_0,#,O
GREECE_WILDFIRES_2018_0,PrayForAthens,O
GREECE_WILDFIRES_2018_0,#,O
GREECE_WILDFIRES_2018_0,AthensFires,O
GREECE_WILDFIRES_2018_0,἞C἟7,O
GREECE_WILDFIRES_2018_1,RT,O
GREECE_WILDFIRES_2018_1,@anadoluagency,O
GREECE_WILDFIRES_2018_1,:,O
GREECE_WILDFIRES_2018_1,#,O
GREECE_WILDFIRES_2018_1,Greece,U-CTRY
GREECE_WILDFIRES_2018_1,:,O
GREECE_WILDFIRES_2018_1,Death,O
GREECE_WILDFIRES_2018_1,toll,O
GREECE_WILDFIRES_2018_1,from,O
GREECE_WILDFIRES_2018_1,wildfires,O
GREECE_WILDFIRES_2018_1,hits,O
GREECE_WILDFIRES_2018_1,74,O
GREECE_WILDFIRES_2018_2,When,O
GREECE_WILDFIRES_2018_2,the,O
GREECE_WILDFIRES_2018_2,essence,O
GREECE_WILDFIRES_2018_2,of,O
GREECE_WILDFIRES_2018_2,cooperation,O
GREECE_WILDFIRES_2018_2,meets,O
GREECE_WILDFIRES_2018_2,the,O
GREECE_WILDFIRES_2018_2,sad,O
