id_sentence,word,tag
HURRICANE_DORIAN_2019_0,Over,O
HURRICANE_DORIAN_2019_0,"600,000",O
HURRICANE_DORIAN_2019_0,Homes,O
HURRICANE_DORIAN_2019_0,Face,O
HURRICANE_DORIAN_2019_0,Potential,O
HURRICANE_DORIAN_2019_0,Damage,O
HURRICANE_DORIAN_2019_0,From,O
HURRICANE_DORIAN_2019_0,Hurricane,O
HURRICANE_DORIAN_2019_0,Dorian,O
HURRICANE_DORIAN_2019_0,:,O
HURRICANE_DORIAN_2019_0,24/7,O
HURRICANE_DORIAN_2019_0,Wall,O
HURRICANE_DORIAN_2019_0,St,O
HURRICANE_DORIAN_2019_0,MORE,O
HURRICANE_DORIAN_2019_0,w/,O
HURRICANE_DORIAN_2019_0,EcoSearch,O
HURRICANE_DORIAN_2019_0,-,O
HURRICANE_DORIAN_2019_0,news,O
HURRICANE_DORIAN_2019_0,:,O
HURRICANE_DORIAN_2019_0,web,O
HURRICANE_DORIAN_2019_0,:,O
HURRICANE_DORIAN_2019_1,BREAKING,O
HURRICANE_DORIAN_2019_1,:,O
HURRICANE_DORIAN_2019_1,Governor,O
HURRICANE_DORIAN_2019_1,McMaster,O
HURRICANE_DORIAN_2019_1,has,O
HURRICANE_DORIAN_2019_1,declared,O
HURRICANE_DORIAN_2019_1,a,O
HURRICANE_DORIAN_2019_1,State,O
HURRICANE_DORIAN_2019_1,of,O
HURRICANE_DORIAN_2019_1,Emergency,O
HURRICANE_DORIAN_2019_1,in,O
HURRICANE_DORIAN_2019_1,South,B-STAT
HURRICANE_DORIAN_2019_1,Carolina,L-STAT
HURRICANE_DORIAN_2019_1,ahead,O
HURRICANE_DORIAN_2019_1,of,O
HURRICANE_DORIAN_2019_1,Hurricane,O
HURRICANE_DORIAN_2019_1,Dorian,O
HURRICANE_DORIAN_2019_1,.,O
HURRICANE_DORIAN_2019_1,Given,O
HURRICANE_DORIAN_2019_1,the,O
HURRICANE_DORIAN_2019_1,strength,O
HURRICANE_DORIAN_2019_1,and,O
HURRICANE_DORIAN_2019_1,unpredictability,O
HURRICANE_DORIAN_2019_1,of,O
HURRICANE_DORIAN_2019_1,the,O
HURRICANE_DORIAN_2019_1,storm,O
HURRICANE_DORIAN_2019_1,",",O
HURRICANE_DORIAN_2019_1,we,O
HURRICANE_DORIAN_2019_1,must,O
HURRICANE_DORIAN_2019_1,prepare,O
HURRICANE_DORIAN_2019_1,for,O
HURRICANE_DORIAN_2019_1,every,O
HURRICANE_DORIAN_2019_1,possible,O
HURRICANE_DORIAN_2019_1,scenario,O
HURRICANE_DORIAN_2019_1,",",O
HURRICANE_DORIAN_2019_1,”,O
HURRICANE_DORIAN_2019_1,he,O
HURRICANE_DORIAN_2019_1,said,O
HURRICANE_DORIAN_2019_1,.,O
HURRICANE_DORIAN_2019_2,Alabama,U-STAT
HURRICANE_DORIAN_2019_2,National,O
HURRICANE_DORIAN_2019_2,Guard,O
HURRICANE_DORIAN_2019_2,Ready,O
HURRICANE_DORIAN_2019_2,to,O
HURRICANE_DORIAN_2019_2,Send,O
HURRICANE_DORIAN_2019_2,Support,O
HURRICANE_DORIAN_2019_2,to,O
HURRICANE_DORIAN_2019_2,Florida,U-STAT
HURRICANE_DORIAN_2019_2,to,O
HURRICANE_DORIAN_2019_2,Assist,O
HURRICANE_DORIAN_2019_2,with,O
HURRICANE_DORIAN_2019_2,Hurricane,O
HURRICANE_DORIAN_2019_2,Dorian,O
HURRICANE_DORIAN_2019_2,Relief,O
HURRICANE_DORIAN_2019_2,If,O
HURRICANE_DORIAN_2019_2,Needed,O
HURRICANE_DORIAN_2019_3,Ongoing,O
HURRICANE_DORIAN_2019_3,damage,O
HURRICANE_DORIAN_2019_3,proving,O
HURRICANE_DORIAN_2019_3,to,O
HURRICANE_DORIAN_2019_3,be,O
HURRICANE_DORIAN_2019_3,greater,O
HURRICANE_DORIAN_2019_3,than,O
HURRICANE_DORIAN_2019_3,expected,O
HURRICANE_DORIAN_2019_3,.,O
HURRICANE_DORIAN_2019_3,Local,O
HURRICANE_DORIAN_2019_3,10s,O
HURRICANE_DORIAN_2019_3,Jenise,O
HURRICANE_DORIAN_2019_3,Fernandez,O
HURRICANE_DORIAN_2019_3,reports,O
HURRICANE_DORIAN_2019_3,live,O
HURRICANE_DORIAN_2019_3,from,O
HURRICANE_DORIAN_2019_3,the,O
HURRICANE_DORIAN_2019_3,eye,O
HURRICANE_DORIAN_2019_3,of,O
HURRICANE_DORIAN_2019_3,Hurricane,O
HURRICANE_DORIAN_2019_3,Dorian,O
HURRICANE_DORIAN_2019_3,via,O
HURRICANE_DORIAN_2019_3,@YouTube,O
HURRICANE_DORIAN_2019_4,Hurricane,O
HURRICANE_DORIAN_2019_4,Dorian,O
HURRICANE_DORIAN_2019_4,Update,O
HURRICANE_DORIAN_2019_4,#,O
HURRICANE_DORIAN_2019_4,4,O
HURRICANE_DORIAN_2019_4,-,O
HURRICANE_DORIAN_2019_4,8/30/2019,O
HURRICANE_DORIAN_2019_4,:,O
HURRICANE_DORIAN_2019_4,Mandatory,O
HURRICANE_DORIAN_2019_4,Evacuation,O
HURRICANE_DORIAN_2019_4,Announced,O
HURRICANE_DORIAN_2019_4,in,O
HURRICANE_DORIAN_2019_4,Brevard,B-CNTY
HURRICANE_DORIAN_2019_4,County,L-CNTY
HURRICANE_DORIAN_2019_4,for,O
HURRICANE_DORIAN_2019_4,Sunday,O
HURRICANE_DORIAN_2019_4,at,O
HURRICANE_DORIAN_2019_4,8,O
HURRICANE_DORIAN_2019_4,a.m.,O
HURRICANE_DORIAN_2019_4,-,O
HURRICANE_DORIAN_2019_5,The,O
HURRICANE_DORIAN_2019_5,#,O
HURRICANE_DORIAN_2019_5,SalvationArmy,O
HURRICANE_DORIAN_2019_5,has,O
HURRICANE_DORIAN_2019_5,placed,O
HURRICANE_DORIAN_2019_5,all,O
HURRICANE_DORIAN_2019_5,disaster,O
HURRICANE_DORIAN_2019_5,relief,O
