id_sentence,word,tag
HURRICANE_HARVEY_2017_0,#,O
HURRICANE_HARVEY_2017_0,TylerPerryDonates,O
HURRICANE_HARVEY_2017_0,$,O
HURRICANE_HARVEY_2017_0,1,O
HURRICANE_HARVEY_2017_0,Million,O
HURRICANE_HARVEY_2017_0,to,O
HURRICANE_HARVEY_2017_0,Hurricane,O
HURRICANE_HARVEY_2017_0,Harvey,O
HURRICANE_HARVEY_2017_0,Relief,O
HURRICANE_HARVEY_2017_0,with,O
HURRICANE_HARVEY_2017_0,a,O
HURRICANE_HARVEY_2017_0,Portion,O
HURRICANE_HARVEY_2017_0,Going,O
HURRICANE_HARVEY_2017_0,to,O
HURRICANE_HARVEY_2017_1,Tropical,O
HURRICANE_HARVEY_2017_1,Storm,O
HURRICANE_HARVEY_2017_1,Harvey,O
HURRICANE_HARVEY_2017_1,—,O
HURRICANE_HARVEY_2017_1,via,O
HURRICANE_HARVEY_2017_1,@wunderground,O
HURRICANE_HARVEY_2017_1,.,O
HURRICANE_HARVEY_2017_1,This,O
HURRICANE_HARVEY_2017_1,will,O
HURRICANE_HARVEY_2017_1,be,O
HURRICANE_HARVEY_2017_1,close,O
HURRICANE_HARVEY_2017_1,!,O
HURRICANE_HARVEY_2017_2,Do,O
HURRICANE_HARVEY_2017_2,what,O
HURRICANE_HARVEY_2017_2,you,O
HURRICANE_HARVEY_2017_2,can,O
HURRICANE_HARVEY_2017_2,to,O
HURRICANE_HARVEY_2017_2,help,O
HURRICANE_HARVEY_2017_2,those,O
HURRICANE_HARVEY_2017_2,affected,O
HURRICANE_HARVEY_2017_2,by,O
HURRICANE_HARVEY_2017_2,Hurricane,O
HURRICANE_HARVEY_2017_2,Harvey,O
HURRICANE_HARVEY_2017_2,.,O
HURRICANE_HARVEY_2017_2,Heres,O
HURRICANE_HARVEY_2017_2,one,O
HURRICANE_HARVEY_2017_2,thing,O
HURRICANE_HARVEY_2017_2,you,O
HURRICANE_HARVEY_2017_2,can,O
HURRICANE_HARVEY_2017_2,do,O
HURRICANE_HARVEY_2017_2,:,O
HURRICANE_HARVEY_2017_3,VP,O
HURRICANE_HARVEY_2017_3,Mike,O
HURRICANE_HARVEY_2017_3,Pence,O
HURRICANE_HARVEY_2017_3,",",O
HURRICANE_HARVEY_2017_3,speaking,O
HURRICANE_HARVEY_2017_3,in,O
HURRICANE_HARVEY_2017_3,Texas,U-STAT
HURRICANE_HARVEY_2017_3,",",O
HURRICANE_HARVEY_2017_3,calls,O
HURRICANE_HARVEY_2017_3,on,O
HURRICANE_HARVEY_2017_3,all,O
HURRICANE_HARVEY_2017_3,Americans,O
HURRICANE_HARVEY_2017_3,to,O
HURRICANE_HARVEY_2017_3,join,O
HURRICANE_HARVEY_2017_3,the,O
HURRICANE_HARVEY_2017_3,#,O
HURRICANE_HARVEY_2017_3,Harvey,O
HURRICANE_HARVEY_2017_3,recovery,O
HURRICANE_HARVEY_2017_3,effort,O
HURRICANE_HARVEY_2017_3,:,O
HURRICANE_HARVEY_2017_3,Find,O
HURRICANE_HARVEY_2017_3,a,O
HURRICANE_HARVEY_2017_3,way,O
HURRICANE_HARVEY_2017_3,to,O
HURRICANE_HARVEY_2017_3,help,O
HURRICANE_HARVEY_2017_3,.,O
HURRICANE_HARVEY_2017_3,”,O
HURRICANE_HARVEY_2017_4,Very,O
HURRICANE_HARVEY_2017_4,poor,O
HURRICANE_HARVEY_2017_4,decision,O
HURRICANE_HARVEY_2017_4,to,O
HURRICANE_HARVEY_2017_4,forego,O
HURRICANE_HARVEY_2017_4,mandatory,O
HURRICANE_HARVEY_2017_4,evacuation,O
HURRICANE_HARVEY_2017_4,.,O
HURRICANE_HARVEY_2017_4,Got,O
HURRICANE_HARVEY_2017_4,VERY,O
HURRICANE_HARVEY_2017_4,lucky,O
HURRICANE_HARVEY_2017_4,.,O
HURRICANE_HARVEY_2017_4,#,O
HURRICANE_HARVEY_2017_4,Harvey,O
HURRICANE_HARVEY_2017_4,#,O
HURRICANE_HARVEY_2017_4,DontFocusOnTheLine,O
HURRICANE_HARVEY_2017_5,Omega,O
HURRICANE_HARVEY_2017_5,Charities,O
HURRICANE_HARVEY_2017_5,has,O
HURRICANE_HARVEY_2017_5,established,O
HURRICANE_HARVEY_2017_5,a,O
HURRICANE_HARVEY_2017_5,Hurricane,O
HURRICANE_HARVEY_2017_5,Harvey,O
HURRICANE_HARVEY_2017_5,Relief,O
HURRICANE_HARVEY_2017_5,Fund,O
HURRICANE_HARVEY_2017_5,.,O
