id_sentence,word,tag
HURRICANE_MARIA_2017_0,RT,O
HURRICANE_MARIA_2017_0,@SidR10,O
HURRICANE_MARIA_2017_0,:,O
HURRICANE_MARIA_2017_0,After,O
HURRICANE_MARIA_2017_0,seeing,O
HURRICANE_MARIA_2017_0,the,O
HURRICANE_MARIA_2017_0,devastation,O
HURRICANE_MARIA_2017_0,of,O
HURRICANE_MARIA_2017_0,Hurricane,O
HURRICANE_MARIA_2017_0,Maria,O
HURRICANE_MARIA_2017_0,I,O
HURRICANE_MARIA_2017_0,decided,O
HURRICANE_MARIA_2017_0,to,O
HURRICANE_MARIA_2017_0,create,O
HURRICANE_MARIA_2017_0,this,O
HURRICANE_MARIA_2017_0,page,O
HURRICANE_MARIA_2017_0,to,O
HURRICANE_MARIA_2017_0,help,O
HURRICANE_MARIA_2017_0,the,O
HURRICANE_MARIA_2017_0,Puerto,B-ISL
HURRICANE_MARIA_2017_0,Rican,L-ISL
HURRICANE_MARIA_2017_0,people,O
HURRICANE_MARIA_2017_0,἟5἟7,O
HURRICANE_MARIA_2017_0,#,O
HURRICANE_MARIA_2017_0,RT,O
HURRICANE_MARIA_2017_0,.,O
HURRICANE_MARIA_2017_1,#,O
HURRICANE_MARIA_2017_1,HurricaneMaria,O
HURRICANE_MARIA_2017_1,is,O
HURRICANE_MARIA_2017_1,not,O
HURRICANE_MARIA_2017_1,done,O
HURRICANE_MARIA_2017_1,yet,O
HURRICANE_MARIA_2017_1,.,O
HURRICANE_MARIA_2017_1,Here,O
HURRICANE_MARIA_2017_1,on,O
HURRICANE_MARIA_2017_1,the,O
HURRICANE_MARIA_2017_1,#,O
HURRICANE_MARIA_2017_1,EastCoast,U-OTHR
HURRICANE_MARIA_2017_1,we,O
HURRICANE_MARIA_2017_1,are,O
HURRICANE_MARIA_2017_1,preparing,O
HURRICANE_MARIA_2017_1,to,O
HURRICANE_MARIA_2017_1,deal,O
HURRICANE_MARIA_2017_1,with,O
HURRICANE_MARIA_2017_1,her,O
HURRICANE_MARIA_2017_1,remnants,O
HURRICANE_MARIA_2017_1,as,O
HURRICANE_MARIA_2017_1,a,O
HURRICANE_MARIA_2017_1,#,O
HURRICANE_MARIA_2017_1,TropicalStorm,O
HURRICANE_MARIA_2017_1,.,O
HURRICANE_MARIA_2017_1,#,O
HURRICANE_MARIA_2017_1,hurricane,O
HURRICANE_MARIA_2017_1,#,O
HURRICANE_MARIA_2017_1,drfee,O
HURRICANE_MARIA_2017_2,PLEASE,O
HURRICANE_MARIA_2017_2,!,O
HURRICANE_MARIA_2017_2,donate,O
HURRICANE_MARIA_2017_2,which,O
HURRICANE_MARIA_2017_2,will,O
HURRICANE_MARIA_2017_2,benefit,O
HURRICANE_MARIA_2017_2,the,O
HURRICANE_MARIA_2017_2,victims,O
HURRICANE_MARIA_2017_2,of,O
HURRICANE_MARIA_2017_2,mexico,U-CTRY
HURRICANE_MARIA_2017_2,",",O
HURRICANE_MARIA_2017_2,as,O
HURRICANE_MARIA_2017_2,to,O
HURRICANE_MARIA_2017_2,hurricane,O
HURRICANE_MARIA_2017_2,maria,O
HURRICANE_MARIA_2017_3,The,O
HURRICANE_MARIA_2017_3,last,O
HURRICANE_MARIA_2017_3,thing,O
HURRICANE_MARIA_2017_3,I,O
HURRICANE_MARIA_2017_3,knew,O
HURRICANE_MARIA_2017_3,about,O
HURRICANE_MARIA_2017_3,them,O
HURRICANE_MARIA_2017_3,is,O
HURRICANE_MARIA_2017_3,that,O
HURRICANE_MARIA_2017_3,they,O
HURRICANE_MARIA_2017_3,are,O
HURRICANE_MARIA_2017_3,donating,O
HURRICANE_MARIA_2017_3,supplies,O
HURRICANE_MARIA_2017_3,to,O
HURRICANE_MARIA_2017_3,PR,U-ISL
HURRICANE_MARIA_2017_3,cuz,O
HURRICANE_MARIA_2017_3,were,O
HURRICANE_MARIA_2017_3,in,O
HURRICANE_MARIA_2017_3,need,O
HURRICANE_MARIA_2017_3,thanks,O
HURRICANE_MARIA_2017_3,to,O
HURRICANE_MARIA_2017_3,Hurricane,O
HURRICANE_MARIA_2017_3,Maria,O
HURRICANE_MARIA_2017_3,.,O
HURRICANE_MARIA_2017_4,My,O
HURRICANE_MARIA_2017_4,favorite,O
HURRICANE_MARIA_2017_4,place,O
HURRICANE_MARIA_2017_4,in,O
HURRICANE_MARIA_2017_4,the,O
HURRICANE_MARIA_2017_4,world,O
HURRICANE_MARIA_2017_4,.,O
HURRICANE_MARIA_2017_4,The,O
HURRICANE_MARIA_2017_4,destruction,O
HURRICANE_MARIA_2017_4,is,O
HURRICANE_MARIA_2017_4,heartbreaking,O
HURRICANE_MARIA_2017_4,.,O
HURRICANE_MARIA_2017_4,No,O
HURRICANE_MARIA_2017_4,doubt,O
HURRICANE_MARIA_2017_4,Vieques,O
HURRICANE_MARIA_2017_4,and,O
HURRICANE_MARIA_2017_4,Puerto,B-ISL
HURRICANE_MARIA_2017_4,Rico,L-ISL
HURRICANE_MARIA_2017_4,will,O
HURRICANE_MARIA_2017_4,recover,O
HURRICANE_MARIA_2017_4,.,O
HURRICANE_MARIA_2017_5,RT,O
HURRICANE_MARIA_2017_5,@iosjillian,O
HURRICANE_MARIA_2017_5,:,O
HURRICANE_MARIA_2017_5,Hi,O
HURRICANE_MARIA_2017_5,since,O
HURRICANE_MARIA_2017_5,our,O
HURRICANE_MARIA_2017_5,president,O
HURRICANE_MARIA_2017_5,is,O
HURRICANE_MARIA_2017_5,garbage,O
HURRICANE_MARIA_2017_5,you,O
HURRICANE_MARIA_2017_5,can,O
HURRICANE_MARIA_2017_5,donate,O
HURRICANE_MARIA_2017_5,to,O
HURRICANE_MARIA_2017_5,the,O
HURRICANE_MARIA_2017_5,Hurricane,O
HURRICANE_MARIA_2017_5,Maria,O
HURRICANE_MARIA_2017_5,COMMUNITY,O
HURRICANE_MARIA_2017_5,Recovery,O
HURRICANE_MARIA_2017_5,Fund,O
HURRICANE_MARIA_2017_5,here,O
HURRICANE_MARIA_2017_6,RT,O
HURRICANE_MARIA_2017_6,@nypost,O
HURRICANE_MARIA_2017_6,:,O
HURRICANE_MARIA_2017_6,Jennifer,O
HURRICANE_MARIA_2017_6,Lopez,O
HURRICANE_MARIA_2017_6,will,O
HURRICANE_MARIA_2017_6,donate,O
HURRICANE_MARIA_2017_6,$,O
HURRICANE_MARIA_2017_6,1,O
HURRICANE_MARIA_2017_6,million,O
HURRICANE_MARIA_2017_6,to,O
HURRICANE_MARIA_2017_6,Puerto,B-ISL
HURRICANE_MARIA_2017_6,Rico,L-ISL
HURRICANE_MARIA_2017_6,in,O
HURRICANE_MARIA_2017_6,the,O
HURRICANE_MARIA_2017_6,wake,O
HURRICANE_MARIA_2017_6,of,O
HURRICANE_MARIA_2017_6,Hurricane,O
HURRICANE_MARIA_2017_6,Maria,O
HURRICANE_MARIA_2017_7,RT,O
HURRICANE_MARIA_2017_7,@jbrownedianis,O
HURRICANE_MARIA_2017_7,:,O
HURRICANE_MARIA_2017_7,Help,O
HURRICANE_MARIA_2017_7,is,O
HURRICANE_MARIA_2017_7,needed,O
HURRICANE_MARIA_2017_7,.,O
HURRICANE_MARIA_2017_7,#,O
HURRICANE_MARIA_2017_7,PuertoRico,U-ISL
HURRICANE_MARIA_2017_8,@CharlieWGME,O
HURRICANE_MARIA_2017_8,@NWSGray,O
HURRICANE_MARIA_2017_8,First,O
HURRICANE_MARIA_2017_8,122,O
HURRICANE_MARIA_2017_8,NEXRAD,O
HURRICANE_MARIA_2017_8,stations,O
HURRICANE_MARIA_2017_8,(,O
HURRICANE_MARIA_2017_8,159,O
HURRICANE_MARIA_2017_8,total,O
HURRICANE_MARIA_2017_8,),O
HURRICANE_MARIA_2017_8,were,O
HURRICANE_MARIA_2017_8,installed,O
HURRICANE_MARIA_2017_8,at,O
HURRICANE_MARIA_2017_8,a,O
HURRICANE_MARIA_2017_8,cost,O
HURRICANE_MARIA_2017_8,of,O
HURRICANE_MARIA_2017_8,$,O
HURRICANE_MARIA_2017_8,3.1,O
HURRICANE_MARIA_2017_8,billion,O
HURRICANE_MARIA_2017_8,.,O
HURRICANE_MARIA_2017_8,Here,O
HURRICANE_MARIA_2017_8,is,O
HURRICANE_MARIA_2017_8,JUA,O
HURRICANE_MARIA_2017_8,destroyed,O
HURRICANE_MARIA_2017_8,last,O
HURRICANE_MARIA_2017_8,week,O
HURRICANE_MARIA_2017_8,:,O
HURRICANE_MARIA_2017_9,Hurricane,O
HURRICANE_MARIA_2017_9,Maria,O
HURRICANE_MARIA_2017_9,:,O
HURRICANE_MARIA_2017_9,Whole,O
HURRICANE_MARIA_2017_9,of,O
HURRICANE_MARIA_2017_9,Puerto,B-ISL
HURRICANE_MARIA_2017_9,Rico,L-ISL
HURRICANE_MARIA_2017_9,without,O
HURRICANE_MARIA_2017_9,power,O
HURRICANE_MARIA_2017_9,:,O
HURRICANE_MARIA_2017_9,Hurricane,O
HURRICANE_MARIA_2017_9,Maria,O
HURRICANE_MARIA_2017_9,has,O
HURRICANE_MARIA_2017_9,knocked,O
HURRICANE_MARIA_2017_9,out,O
HURRICANE_MARIA_2017_9,electricity,O
HURRICANE_MARIA_2017_9,..,O
HURRICANE_MARIA_2017_9,#,O
HURRICANE_MARIA_2017_9,breakingnews,O
HURRICANE_MARIA_2017_10,Rabbi,O
HURRICANE_MARIA_2017_10,in,O
HURRICANE_MARIA_2017_10,Puerto,B-ISL
HURRICANE_MARIA_2017_10,Rico,L-ISL
HURRICANE_MARIA_2017_10,pleads,O
HURRICANE_MARIA_2017_10,for,O
HURRICANE_MARIA_2017_10,help,O
HURRICANE_MARIA_2017_10,as,O
HURRICANE_MARIA_2017_10,congregation,O
HURRICANE_MARIA_2017_10,suffers,O
HURRICANE_MARIA_2017_10,on,O
HURRICANE_MARIA_2017_10,#,O
HURRICANE_MARIA_2017_10,Science,O
HURRICANE_MARIA_2017_10,#,O
HURRICANE_MARIA_2017_10,PresidentTrump,O
HURRICANE_MARIA_2017_10,#,O
HURRICANE_MARIA_2017_10,HurricaneMaria,O
HURRICANE_MARIA_2017_10,#,O
HURRICANE_MARIA_2017_10,Rabbi,O
HURRICANE_MARIA_2017_11,#,O
HURRICANE_MARIA_2017_11,MONEY,O
HURRICANE_MARIA_2017_11,#,O
HURRICANE_MARIA_2017_11,IRMA,O
HURRICANE_MARIA_2017_11,FoxBusiness,O
HURRICANE_MARIA_2017_11,Hurricane,O
HURRICANE_MARIA_2017_11,Maria,O
HURRICANE_MARIA_2017_11,blasts,O
HURRICANE_MARIA_2017_11,Puerto,B-ISL
HURRICANE_MARIA_2017_11,Rico,L-ISL
HURRICANE_MARIA_2017_11,",",O
HURRICANE_MARIA_2017_11,kills,O
HURRICANE_MARIA_2017_11,at,O
HURRICANE_MARIA_2017_11,least,O
HURRICANE_MARIA_2017_11,nine,O
HURRICANE_MARIA_2017_11,in,O
HURRICANE_MARIA_2017_11,Caribbean,O
HURRICANE_MARIA_2017_11,—,O
HURRICANE_MARIA_2017_11,FOX,O
HURRICANE_MARIA_2017_11,Business,O
HURRICANE_MARIA_2017_11,(,O
HURRICANE_MARIA_2017_11,Fo,O
HURRICANE_MARIA_2017_12,PRs,O
HURRICANE_MARIA_2017_12,socialist,O
HURRICANE_MARIA_2017_12,policies,O
HURRICANE_MARIA_2017_12,destroyed,O
HURRICANE_MARIA_2017_12,power,O
HURRICANE_MARIA_2017_12,grid,O
HURRICANE_MARIA_2017_12,&,O
HURRICANE_MARIA_2017_12,resilience,O
HURRICANE_MARIA_2017_12,to,O
HURRICANE_MARIA_2017_12,predictable,O
HURRICANE_MARIA_2017_12,natural,O
HURRICANE_MARIA_2017_12,disasters,O
HURRICANE_MARIA_2017_12,.,O
HURRICANE_MARIA_2017_12,Bailout,O
HURRICANE_MARIA_2017_12,should,O
HURRICANE_MARIA_2017_12,require,O
HURRICANE_MARIA_2017_12,capitalist,O
HURRICANE_MARIA_2017_12,reforms,O
HURRICANE_MARIA_2017_12,.,O
HURRICANE_MARIA_2017_13,You,O
HURRICANE_MARIA_2017_13,can,O
HURRICANE_MARIA_2017_13,also,O
HURRICANE_MARIA_2017_13,donate,O
HURRICANE_MARIA_2017_13,to,O
HURRICANE_MARIA_2017_13,Dominica,U-CTRY
HURRICANE_MARIA_2017_13,",",O
HURRICANE_MARIA_2017_13,another,O
HURRICANE_MARIA_2017_13,small,O
HURRICANE_MARIA_2017_13,island,O
HURRICANE_MARIA_2017_13,devastated,O
HURRICANE_MARIA_2017_13,by,O
HURRICANE_MARIA_2017_13,Hurricane,O
HURRICANE_MARIA_2017_13,Maria,O
HURRICANE_MARIA_2017_13,:,O
HURRICANE_MARIA_2017_14,U.S.,O
HURRICANE_MARIA_2017_14,military,O
HURRICANE_MARIA_2017_14,delivered,O
HURRICANE_MARIA_2017_14,supplies,O
HURRICANE_MARIA_2017_14,to,O
HURRICANE_MARIA_2017_14,people,O
HURRICANE_MARIA_2017_14,in,O
HURRICANE_MARIA_2017_14,Puerto,B-ISL
HURRICANE_MARIA_2017_14,Rico,L-ISL
HURRICANE_MARIA_2017_14,by,O
HURRICANE_MARIA_2017_14,chopper,O
HURRICANE_MARIA_2017_14,on,O
HURRICANE_MARIA_2017_14,09/30/17,O
HURRICANE_MARIA_2017_14,.,O
HURRICANE_MARIA_2017_14,This,O
HURRICANE_MARIA_2017_14,was,O
HURRICANE_MARIA_2017_14,needed,O
HURRICANE_MARIA_2017_14,over,O
HURRICANE_MARIA_2017_14,a,O
HURRICANE_MARIA_2017_14,week,O
HURRICANE_MARIA_2017_14,ago,O
HURRICANE_MARIA_2017_14,and,O
HURRICANE_MARIA_2017_14,requested,O
HURRICANE_MARIA_2017_14,days,O
HURRICANE_MARIA_2017_14,before,O
HURRICANE_MARIA_2017_14,.,O
HURRICANE_MARIA_2017_14,Why,O
HURRICANE_MARIA_2017_14,not,O
HURRICANE_MARIA_2017_14,sooner,O
HURRICANE_MARIA_2017_14,and,O
HURRICANE_MARIA_2017_14,why,O
HURRICANE_MARIA_2017_14,not,O
HURRICANE_MARIA_2017_14,more,O
HURRICANE_MARIA_2017_14,choppers,O
HURRICANE_MARIA_2017_14,?,O
HURRICANE_MARIA_2017_14,#,O
HURRICANE_MARIA_2017_14,HurricaneMaria,O
HURRICANE_MARIA_2017_14,cc,O
HURRICANE_MARIA_2017_14,:,O
HURRICANE_MARIA_2017_14,@tedlieu,O
HURRICANE_MARIA_2017_15,#,O
HURRICANE_MARIA_2017_15,DSTRDamage,O
HURRICANE_MARIA_2017_15,alexsandra8888,O
HURRICANE_MARIA_2017_15,Residents,O
HURRICANE_MARIA_2017_15,look,O
HURRICANE_MARIA_2017_15,at,O
HURRICANE_MARIA_2017_15,flooded,O
HURRICANE_MARIA_2017_15,houses,O
HURRICANE_MARIA_2017_16,RT,O
HURRICANE_MARIA_2017_16,@HoustonChron,O
HURRICANE_MARIA_2017_16,:,O
HURRICANE_MARIA_2017_16,Pitbull,O
HURRICANE_MARIA_2017_16,",",O
HURRICANE_MARIA_2017_16,Mark,O
HURRICANE_MARIA_2017_16,Cuban,O
HURRICANE_MARIA_2017_16,offer,O
HURRICANE_MARIA_2017_16,their,O
HURRICANE_MARIA_2017_16,private,O
HURRICANE_MARIA_2017_16,planes,O
HURRICANE_MARIA_2017_16,for,O
HURRICANE_MARIA_2017_16,Puerto,B-ISL
HURRICANE_MARIA_2017_16,Rico,L-ISL
HURRICANE_MARIA_2017_16,victims,O
HURRICANE_MARIA_2017_16,affected,O
HURRICANE_MARIA_2017_16,by,O
HURRICANE_MARIA_2017_16,Hurricane,O
HURRICANE_MARIA_2017_16,Maria,O
HURRICANE_MARIA_2017_17,Visit,O
HURRICANE_MARIA_2017_17,to,O
HURRICANE_MARIA_2017_17,learn,O
HURRICANE_MARIA_2017_17,about,O
HURRICANE_MARIA_2017_17,local,O
HURRICANE_MARIA_2017_17,assistance,O
HURRICANE_MARIA_2017_17,and,O
HURRICANE_MARIA_2017_17,resources,O
HURRICANE_MARIA_2017_17,for,O
HURRICANE_MARIA_2017_17,#,O
HURRICANE_MARIA_2017_17,HurricaneMaria,O
HURRICANE_MARIA_2017_17,victims,O
HURRICANE_MARIA_2017_17,in,O
HURRICANE_MARIA_2017_17,#,O
HURRICANE_MARIA_2017_17,PuertoRico,U-ISL
