id_sentence,word,tag
ITALY_EARTHQUAKE_AUG_2016_0,RT,O
ITALY_EARTHQUAKE_AUG_2016_0,@Federation,O
ITALY_EARTHQUAKE_AUG_2016_0,:,O
ITALY_EARTHQUAKE_AUG_2016_0,Response,O
ITALY_EARTHQUAKE_AUG_2016_0,to,O
ITALY_EARTHQUAKE_AUG_2016_0,#,O
ITALY_EARTHQUAKE_AUG_2016_0,ItalyEarthquake,O
ITALY_EARTHQUAKE_AUG_2016_0,continued,O
ITALY_EARTHQUAKE_AUG_2016_0,through,O
ITALY_EARTHQUAKE_AUG_2016_0,the,O
ITALY_EARTHQUAKE_AUG_2016_0,night,O
ITALY_EARTHQUAKE_AUG_2016_0,:,O
ITALY_EARTHQUAKE_AUG_2016_0,426,O
ITALY_EARTHQUAKE_AUG_2016_0,volunteers,O
ITALY_EARTHQUAKE_AUG_2016_0,",",O
ITALY_EARTHQUAKE_AUG_2016_0,109,O
ITALY_EARTHQUAKE_AUG_2016_0,vehicles,O
ITALY_EARTHQUAKE_AUG_2016_0,&,O
ITALY_EARTHQUAKE_AUG_2016_0,2,O
ITALY_EARTHQUAKE_AUG_2016_0,field,O
ITALY_EARTHQUAKE_AUG_2016_0,kitchens,O
ITALY_EARTHQUAKE_AUG_2016_0,deployed,O
ITALY_EARTHQUAKE_AUG_2016_0,.,O
ITALY_EARTHQUAKE_AUG_2016_1,$,O
ITALY_EARTHQUAKE_AUG_2016_1,"67,960",O
ITALY_EARTHQUAKE_AUG_2016_1,raised,O
ITALY_EARTHQUAKE_AUG_2016_1,of,O
ITALY_EARTHQUAKE_AUG_2016_1,$,O
ITALY_EARTHQUAKE_AUG_2016_1,"1,000,000",O
ITALY_EARTHQUAKE_AUG_2016_1,goal,O
ITALY_EARTHQUAKE_AUG_2016_1,after,O
ITALY_EARTHQUAKE_AUG_2016_1,1,O
ITALY_EARTHQUAKE_AUG_2016_1,day,O
ITALY_EARTHQUAKE_AUG_2016_1,.,O
ITALY_EARTHQUAKE_AUG_2016_1,Italy,U-CTRY
ITALY_EARTHQUAKE_AUG_2016_1,Earthquake,O
ITALY_EARTHQUAKE_AUG_2016_1,Relief,O
ITALY_EARTHQUAKE_AUG_2016_1,Fund,O
ITALY_EARTHQUAKE_AUG_2016_1,on,O
ITALY_EARTHQUAKE_AUG_2016_1,@globalgiving,O
ITALY_EARTHQUAKE_AUG_2016_1,:,O
ITALY_EARTHQUAKE_AUG_2016_1,#,O
ITALY_EARTHQUAKE_AUG_2016_1,prayforitaly,O
ITALY_EARTHQUAKE_AUG_2016_2,RT,O
ITALY_EARTHQUAKE_AUG_2016_2,@GlobalGiving,O
ITALY_EARTHQUAKE_AUG_2016_2,:,O
ITALY_EARTHQUAKE_AUG_2016_2,The,O
ITALY_EARTHQUAKE_AUG_2016_2,#,O
ITALY_EARTHQUAKE_AUG_2016_2,ItalyEarthquake,O
ITALY_EARTHQUAKE_AUG_2016_2,has,O
ITALY_EARTHQUAKE_AUG_2016_2,caused,O
ITALY_EARTHQUAKE_AUG_2016_2,significant,O
ITALY_EARTHQUAKE_AUG_2016_2,damage,O
ITALY_EARTHQUAKE_AUG_2016_2,.,O
ITALY_EARTHQUAKE_AUG_2016_2,Survivors,O
ITALY_EARTHQUAKE_AUG_2016_2,need,O
ITALY_EARTHQUAKE_AUG_2016_2,your,O
ITALY_EARTHQUAKE_AUG_2016_2,help,O
ITALY_EARTHQUAKE_AUG_2016_2,to,O
ITALY_EARTHQUAKE_AUG_2016_2,access,O
ITALY_EARTHQUAKE_AUG_2016_2,food,O
ITALY_EARTHQUAKE_AUG_2016_2,",",O
ITALY_EARTHQUAKE_AUG_2016_2,water,O
ITALY_EARTHQUAKE_AUG_2016_2,",",O
ITALY_EARTHQUAKE_AUG_2016_2,and,O
ITALY_EARTHQUAKE_AUG_2016_2,medicine,O
ITALY_EARTHQUAKE_AUG_2016_2,.,O
ITALY_EARTHQUAKE_AUG_2016_3,RT,O
ITALY_EARTHQUAKE_AUG_2016_3,@NatureNews,O
ITALY_EARTHQUAKE_AUG_2016_3,:,O
ITALY_EARTHQUAKE_AUG_2016_3,Risk,O
ITALY_EARTHQUAKE_AUG_2016_3,of,O
ITALY_EARTHQUAKE_AUG_2016_3,severe,O
ITALY_EARTHQUAKE_AUG_2016_3,aftershocks,O
ITALY_EARTHQUAKE_AUG_2016_3,following,O
ITALY_EARTHQUAKE_AUG_2016_3,#,O
ITALY_EARTHQUAKE_AUG_2016_3,ItalyEarthquake,O
ITALY_EARTHQUAKE_AUG_2016_4,RT,O
ITALY_EARTHQUAKE_AUG_2016_4,@S_T_O_P_TERROR,O
ITALY_EARTHQUAKE_AUG_2016_4,:,O
ITALY_EARTHQUAKE_AUG_2016_4,This,O
ITALY_EARTHQUAKE_AUG_2016_4,photo,O
ITALY_EARTHQUAKE_AUG_2016_4,shows,O
ITALY_EARTHQUAKE_AUG_2016_4,the,O
ITALY_EARTHQUAKE_AUG_2016_4,level,O
ITALY_EARTHQUAKE_AUG_2016_4,of,O
ITALY_EARTHQUAKE_AUG_2016_4,destruction,O
ITALY_EARTHQUAKE_AUG_2016_4,of,O
ITALY_EARTHQUAKE_AUG_2016_4,#,O
ITALY_EARTHQUAKE_AUG_2016_4,ItalyEarthquake,O
ITALY_EARTHQUAKE_AUG_2016_5,Send,O
ITALY_EARTHQUAKE_AUG_2016_5,a,O
ITALY_EARTHQUAKE_AUG_2016_5,message,O
ITALY_EARTHQUAKE_AUG_2016_5,to,O
ITALY_EARTHQUAKE_AUG_2016_5,45500,O
ITALY_EARTHQUAKE_AUG_2016_5,to,O
ITALY_EARTHQUAKE_AUG_2016_5,donate,O
ITALY_EARTHQUAKE_AUG_2016_5,❤,O
ITALY_EARTHQUAKE_AUG_2016_5,️ὤFἿB,O
ITALY_EARTHQUAKE_AUG_2016_5,#,O
ITALY_EARTHQUAKE_AUG_2016_5,PrayingForItaly,O
ITALY_EARTHQUAKE_AUG_2016_5,#,O
ITALY_EARTHQUAKE_AUG_2016_5,ItalyEarthquake,O
ITALY_EARTHQUAKE_AUG_2016_5,#,O
ITALY_EARTHQUAKE_AUG_2016_5,terremoto,O
ITALY_EARTHQUAKE_AUG_2016_5,RT,O
ITALY_EARTHQUAKE_AUG_2016_5,and,O
ITALY_EARTHQUAKE_AUG_2016_5,Spread,O
ITALY_EARTHQUAKE_AUG_2016_5,to,O
ITALY_EARTHQUAKE_AUG_2016_5,HELP,O
ITALY_EARTHQUAKE_AUG_2016_5,἞E἟9,O
ITALY_EARTHQUAKE_AUG_2016_6,RT,O
ITALY_EARTHQUAKE_AUG_2016_6,@andreanatalemd,O
ITALY_EARTHQUAKE_AUG_2016_6,:,O
ITALY_EARTHQUAKE_AUG_2016_6,next,O
ITALY_EARTHQUAKE_AUG_2016_6,week,O
