id_sentence,word,tag
KAIKOURA_EARTHQUAKE_2016_0,He,O
KAIKOURA_EARTHQUAKE_2016_0,says,O
KAIKOURA_EARTHQUAKE_2016_0,that,O
KAIKOURA_EARTHQUAKE_2016_0,the,O
KAIKOURA_EARTHQUAKE_2016_0,roads,O
KAIKOURA_EARTHQUAKE_2016_0,have,O
KAIKOURA_EARTHQUAKE_2016_0,suffered,O
KAIKOURA_EARTHQUAKE_2016_0,extreme,O
KAIKOURA_EARTHQUAKE_2016_0,damage,O
KAIKOURA_EARTHQUAKE_2016_0,and,O
KAIKOURA_EARTHQUAKE_2016_0,bridges,O
KAIKOURA_EARTHQUAKE_2016_0,have,O
KAIKOURA_EARTHQUAKE_2016_0,been,O
KAIKOURA_EARTHQUAKE_2016_0,structurally,O
KAIKOURA_EARTHQUAKE_2016_0,compromised,O
KAIKOURA_EARTHQUAKE_2016_0,.,O
KAIKOURA_EARTHQUAKE_2016_0,#,O
KAIKOURA_EARTHQUAKE_2016_0,kaikoura,U-CITY
KAIKOURA_EARTHQUAKE_2016_0,#,O
KAIKOURA_EARTHQUAKE_2016_0,eqnz,O
KAIKOURA_EARTHQUAKE_2016_1,The,O
KAIKOURA_EARTHQUAKE_2016_1,trails,O
KAIKOURA_EARTHQUAKE_2016_1,around,O
KAIKOURA_EARTHQUAKE_2016_1,Buckley,B-ST
KAIKOURA_EARTHQUAKE_2016_1,Road,L-ST
KAIKOURA_EARTHQUAKE_2016_1,Reserve,O
KAIKOURA_EARTHQUAKE_2016_1,suffering,O
KAIKOURA_EARTHQUAKE_2016_1,flood,O
KAIKOURA_EARTHQUAKE_2016_1,and,O
KAIKOURA_EARTHQUAKE_2016_1,#,O
KAIKOURA_EARTHQUAKE_2016_1,earthquake,O
KAIKOURA_EARTHQUAKE_2016_1,damage,O
KAIKOURA_EARTHQUAKE_2016_1,.,O
KAIKOURA_EARTHQUAKE_2016_1,cc,O
KAIKOURA_EARTHQUAKE_2016_1,:,O
KAIKOURA_EARTHQUAKE_2016_1,@WgtnCC,O
KAIKOURA_EARTHQUAKE_2016_1,#,O
KAIKOURA_EARTHQUAKE_2016_1,eqnz,O
KAIKOURA_EARTHQUAKE_2016_2,Ferries,O
KAIKOURA_EARTHQUAKE_2016_2,parked,O
KAIKOURA_EARTHQUAKE_2016_2,in,O
KAIKOURA_EARTHQUAKE_2016_2,Wellington,U-CITY
KAIKOURA_EARTHQUAKE_2016_2,harbour,O
KAIKOURA_EARTHQUAKE_2016_2,morning,O
KAIKOURA_EARTHQUAKE_2016_2,after,O
KAIKOURA_EARTHQUAKE_2016_2,earthquake,O
KAIKOURA_EARTHQUAKE_2016_2,&,O
KAIKOURA_EARTHQUAKE_2016_2,tsunami,O
KAIKOURA_EARTHQUAKE_2016_2,warning,O
KAIKOURA_EARTHQUAKE_2016_2,#,O
KAIKOURA_EARTHQUAKE_2016_2,eqnz,O
KAIKOURA_EARTHQUAKE_2016_3,Severe,O
KAIKOURA_EARTHQUAKE_2016_3,7.5,O
KAIKOURA_EARTHQUAKE_2016_3,earthquake,O
KAIKOURA_EARTHQUAKE_2016_3,hits,O
KAIKOURA_EARTHQUAKE_2016_3,Hanmer,O
KAIKOURA_EARTHQUAKE_2016_3,Springs,O
KAIKOURA_EARTHQUAKE_2016_3,",",O
KAIKOURA_EARTHQUAKE_2016_3,felt,O
KAIKOURA_EARTHQUAKE_2016_3,widely,O
KAIKOURA_EARTHQUAKE_2016_3,across,O
KAIKOURA_EARTHQUAKE_2016_3,New,B-CTRY
KAIKOURA_EARTHQUAKE_2016_3,Zealand,L-CTRY
KAIKOURA_EARTHQUAKE_2016_3,as,O
KAIKOURA_EARTHQUAKE_2016_3,tsunami,O
KAIKOURA_EARTHQUAKE_2016_3,warning,O
KAIKOURA_EARTHQUAKE_2016_3,issued,O
KAIKOURA_EARTHQUAKE_2016_4,Some,O
KAIKOURA_EARTHQUAKE_2016_4,of,O
KAIKOURA_EARTHQUAKE_2016_4,these,O
KAIKOURA_EARTHQUAKE_2016_4,aftershocks,O
KAIKOURA_EARTHQUAKE_2016_4,are,O
KAIKOURA_EARTHQUAKE_2016_4,terrifying,O
KAIKOURA_EARTHQUAKE_2016_4,ὣ0,O
KAIKOURA_EARTHQUAKE_2016_4,#,O
KAIKOURA_EARTHQUAKE_2016_4,eqnz,O
KAIKOURA_EARTHQUAKE_2016_4,#,O
KAIKOURA_EARTHQUAKE_2016_4,newzealandquake,O
KAIKOURA_EARTHQUAKE_2016_5,#,O
KAIKOURA_EARTHQUAKE_2016_5,eqnz,O
KAIKOURA_EARTHQUAKE_2016_5,update,O
KAIKOURA_EARTHQUAKE_2016_5,:,O
KAIKOURA_EARTHQUAKE_2016_5,People,O
KAIKOURA_EARTHQUAKE_2016_5,receiving,O
KAIKOURA_EARTHQUAKE_2016_5,welfare,O
KAIKOURA_EARTHQUAKE_2016_5,assistance,O
KAIKOURA_EARTHQUAKE_2016_5,in,O
KAIKOURA_EARTHQUAKE_2016_5,Ward,O
KAIKOURA_EARTHQUAKE_2016_5,Hall,O
KAIKOURA_EARTHQUAKE_2016_5,.,O
KAIKOURA_EARTHQUAKE_2016_5,Damage,O
KAIKOURA_EARTHQUAKE_2016_5,to,O
KAIKOURA_EARTHQUAKE_2016_5,transmission,O
KAIKOURA_EARTHQUAKE_2016_5,poles,O
KAIKOURA_EARTHQUAKE_2016_5,found,O
KAIKOURA_EARTHQUAKE_2016_5,Seddon,O
KAIKOURA_EARTHQUAKE_2016_5,>,O
KAIKOURA_EARTHQUAKE_2016_5,Ward,O
KAIKOURA_EARTHQUAKE_2016_5,:,O
KAIKOURA_EARTHQUAKE_2016_6,RT,O
KAIKOURA_EARTHQUAKE_2016_6,@CDEMCHCH,O
KAIKOURA_EARTHQUAKE_2016_6,:,O
KAIKOURA_EARTHQUAKE_2016_6,The,O
KAIKOURA_EARTHQUAKE_2016_6,Ministry,O
KAIKOURA_EARTHQUAKE_2016_6,of,O
KAIKOURA_EARTHQUAKE_2016_6,Civil,O
KAIKOURA_EARTHQUAKE_2016_6,Defence,O
KAIKOURA_EARTHQUAKE_2016_6,Emergency,O
KAIKOURA_EARTHQUAKE_2016_6,Management,O
KAIKOURA_EARTHQUAKE_2016_6,has,O
KAIKOURA_EARTHQUAKE_2016_6,advised,O
KAIKOURA_EARTHQUAKE_2016_6,there,O
KAIKOURA_EARTHQUAKE_2016_6,is,O
KAIKOURA_EARTHQUAKE_2016_6,no,O
KAIKOURA_EARTHQUAKE_2016_6,tsunami,O
KAIKOURA_EARTHQUAKE_2016_6,threat,O
KAIKOURA_EARTHQUAKE_2016_6,to,O
KAIKOURA_EARTHQUAKE_2016_6,New,B-CTRY
KAIKOURA_EARTHQUAKE_2016_6,Zealand,L-CTRY
KAIKOURA_EARTHQUAKE_2016_6,from,O
KAIKOURA_EARTHQUAKE_2016_6,the,O
KAIKOURA_EARTHQUAKE_2016_6,7.3,O
KAIKOURA_EARTHQUAKE_2016_6,Japan,U-CTRY
KAIKOURA_EARTHQUAKE_2016_6,e,O
KAIKOURA_EARTHQUAKE_2016_7,Our,O
KAIKOURA_EARTHQUAKE_2016_7,Wellington,U-CITY
KAIKOURA_EARTHQUAKE_2016_7,premises,O
KAIKOURA_EARTHQUAKE_2016_7,has,O
KAIKOURA_EARTHQUAKE_2016_7,been,O
KAIKOURA_EARTHQUAKE_2016_7,evacuated,O
KAIKOURA_EARTHQUAKE_2016_7,-,O
KAIKOURA_EARTHQUAKE_2016_7,were,O
KAIKOURA_EARTHQUAKE_2016_7,all,O
KAIKOURA_EARTHQUAKE_2016_7,safe,O
KAIKOURA_EARTHQUAKE_2016_7,&,O
KAIKOURA_EARTHQUAKE_2016_7,working,O
KAIKOURA_EARTHQUAKE_2016_7,out,O
KAIKOURA_EARTHQUAKE_2016_7,the,O
KAIKOURA_EARTHQUAKE_2016_7,best,O
KAIKOURA_EARTHQUAKE_2016_7,way,O
KAIKOURA_EARTHQUAKE_2016_7,to,O
KAIKOURA_EARTHQUAKE_2016_7,keep,O
KAIKOURA_EARTHQUAKE_2016_7,getting,O
KAIKOURA_EARTHQUAKE_2016_7,food,O
KAIKOURA_EARTHQUAKE_2016_7,to,O
KAIKOURA_EARTHQUAKE_2016_7,those,O
KAIKOURA_EARTHQUAKE_2016_7,who,O
KAIKOURA_EARTHQUAKE_2016_7,need,O
KAIKOURA_EARTHQUAKE_2016_7,it,O
KAIKOURA_EARTHQUAKE_2016_7,most,O
KAIKOURA_EARTHQUAKE_2016_7,!,O
KAIKOURA_EARTHQUAKE_2016_7,#,O
KAIKOURA_EARTHQUAKE_2016_7,eqnz,O
KAIKOURA_EARTHQUAKE_2016_8,What,O
KAIKOURA_EARTHQUAKE_2016_8,’s,O
KAIKOURA_EARTHQUAKE_2016_8,the,O
KAIKOURA_EARTHQUAKE_2016_8,state,O
KAIKOURA_EARTHQUAKE_2016_8,of,O
KAIKOURA_EARTHQUAKE_2016_8,commercial,O
KAIKOURA_EARTHQUAKE_2016_8,buildings,O
KAIKOURA_EARTHQUAKE_2016_8,in,O
KAIKOURA_EARTHQUAKE_2016_8,earthquake,O
KAIKOURA_EARTHQUAKE_2016_8,damaged,O
KAIKOURA_EARTHQUAKE_2016_8,areas,O
KAIKOURA_EARTHQUAKE_2016_8,and,O
KAIKOURA_EARTHQUAKE_2016_8,when,O
KAIKOURA_EARTHQUAKE_2016_8,will,O
KAIKOURA_EARTHQUAKE_2016_8,they,O
KAIKOURA_EARTHQUAKE_2016_8,be,O
KAIKOURA_EARTHQUAKE_2016_8,declared,O
KAIKOURA_EARTHQUAKE_2016_8,safe,O
KAIKOURA_EARTHQUAKE_2016_8,?,O
KAIKOURA_EARTHQUAKE_2016_8,#,O
KAIKOURA_EARTHQUAKE_2016_8,NZHFocus,O
KAIKOURA_EARTHQUAKE_2016_8,#,O
KAIKOURA_EARTHQUAKE_2016_8,eqnz,O
KAIKOURA_EARTHQUAKE_2016_9,While,O
KAIKOURA_EARTHQUAKE_2016_9,weather,O
KAIKOURA_EARTHQUAKE_2016_9,is,O
KAIKOURA_EARTHQUAKE_2016_9,stable,O
KAIKOURA_EARTHQUAKE_2016_9,and,O
KAIKOURA_EARTHQUAKE_2016_9,its,O
KAIKOURA_EARTHQUAKE_2016_9,daylight,O
KAIKOURA_EARTHQUAKE_2016_9,",",O
KAIKOURA_EARTHQUAKE_2016_9,check,O
KAIKOURA_EARTHQUAKE_2016_9,windows,O
KAIKOURA_EARTHQUAKE_2016_9,for,O
KAIKOURA_EARTHQUAKE_2016_9,cracks,O
KAIKOURA_EARTHQUAKE_2016_9,and,O
KAIKOURA_EARTHQUAKE_2016_9,anything,O
KAIKOURA_EARTHQUAKE_2016_9,loose,O
KAIKOURA_EARTHQUAKE_2016_9,to,O
KAIKOURA_EARTHQUAKE_2016_9,be,O
KAIKOURA_EARTHQUAKE_2016_9,secured,O
KAIKOURA_EARTHQUAKE_2016_9,ahead,O
KAIKOURA_EARTHQUAKE_2016_9,of,O
KAIKOURA_EARTHQUAKE_2016_9,severe,O
KAIKOURA_EARTHQUAKE_2016_9,wind,O
KAIKOURA_EARTHQUAKE_2016_9,warning,O
KAIKOURA_EARTHQUAKE_2016_9,.,O
KAIKOURA_EARTHQUAKE_2016_9,#,O
KAIKOURA_EARTHQUAKE_2016_9,eqnz,O
KAIKOURA_EARTHQUAKE_2016_10,ATTENTION,O
KAIKOURA_EARTHQUAKE_2016_10,all,O
KAIKOURA_EARTHQUAKE_2016_10,New,B-CTRY
KAIKOURA_EARTHQUAKE_2016_10,Zealand,L-CTRY
KAIKOURA_EARTHQUAKE_2016_10,#,O
KAIKOURA_EARTHQUAKE_2016_10,Earpers,O
KAIKOURA_EARTHQUAKE_2016_10,!,O
KAIKOURA_EARTHQUAKE_2016_10,!,O
KAIKOURA_EARTHQUAKE_2016_10,I,O
KAIKOURA_EARTHQUAKE_2016_10,hope,O
KAIKOURA_EARTHQUAKE_2016_10,y,O
KAIKOURA_EARTHQUAKE_2016_10,all,O
KAIKOURA_EARTHQUAKE_2016_10,are,O
KAIKOURA_EARTHQUAKE_2016_10,ok,O
KAIKOURA_EARTHQUAKE_2016_10,from,O
KAIKOURA_EARTHQUAKE_2016_10,the,O
KAIKOURA_EARTHQUAKE_2016_10,earthquake,O
KAIKOURA_EARTHQUAKE_2016_10,!,O
KAIKOURA_EARTHQUAKE_2016_10,There,O
KAIKOURA_EARTHQUAKE_2016_10,s,O
KAIKOURA_EARTHQUAKE_2016_10,a,O
KAIKOURA_EARTHQUAKE_2016_10,tsunami,O
KAIKOURA_EARTHQUAKE_2016_10,alert,O
KAIKOURA_EARTHQUAKE_2016_10,so,O
KAIKOURA_EARTHQUAKE_2016_10,pleeeaasse,O
KAIKOURA_EARTHQUAKE_2016_10,stay,O
KAIKOURA_EARTHQUAKE_2016_10,safe,O
KAIKOURA_EARTHQUAKE_2016_10,my,O
KAIKOURA_EARTHQUAKE_2016_10,loves,O
KAIKOURA_EARTHQUAKE_2016_10,!,O
KAIKOURA_EARTHQUAKE_2016_10,ὉCὉCὉC,O
KAIKOURA_EARTHQUAKE_2016_11,6.3,O
KAIKOURA_EARTHQUAKE_2016_11,Magnitude,O
KAIKOURA_EARTHQUAKE_2016_11,Earthquake,O
KAIKOURA_EARTHQUAKE_2016_11,Hits,O
KAIKOURA_EARTHQUAKE_2016_11,New,B-CTRY
KAIKOURA_EARTHQUAKE_2016_11,Zealand,L-CTRY
KAIKOURA_EARTHQUAKE_2016_11,:,O
KAIKOURA_EARTHQUAKE_2016_11,US,O
KAIKOURA_EARTHQUAKE_2016_11,Geological,O
KAIKOURA_EARTHQUAKE_2016_11,Survey,O
KAIKOURA_EARTHQUAKE_2016_11,The,O
KAIKOURA_EARTHQUAKE_2016_11,earthquake,O
KAIKOURA_EARTHQUAKE_2016_11,was,O
KAIKOURA_EARTHQUAKE_2016_11,centre,O
KAIKOURA_EARTHQUAKE_2016_12,RT,O
KAIKOURA_EARTHQUAKE_2016_12,@NZcivildefence,O
KAIKOURA_EARTHQUAKE_2016_12,:,O
KAIKOURA_EARTHQUAKE_2016_12,14,O
KAIKOURA_EARTHQUAKE_2016_12,staff,O
KAIKOURA_EARTHQUAKE_2016_12,from,O
KAIKOURA_EARTHQUAKE_2016_12,Urban,O
KAIKOURA_EARTHQUAKE_2016_12,Search,O
KAIKOURA_EARTHQUAKE_2016_12,&,O
KAIKOURA_EARTHQUAKE_2016_12,Rescue,O
KAIKOURA_EARTHQUAKE_2016_12,have,O
KAIKOURA_EARTHQUAKE_2016_12,been,O
KAIKOURA_EARTHQUAKE_2016_12,deployed,O
KAIKOURA_EARTHQUAKE_2016_12,to,O
KAIKOURA_EARTHQUAKE_2016_12,#,O
KAIKOURA_EARTHQUAKE_2016_12,Wellington,U-CITY
KAIKOURA_EARTHQUAKE_2016_12,to,O
KAIKOURA_EARTHQUAKE_2016_12,help,O
KAIKOURA_EARTHQUAKE_2016_12,assess,O
KAIKOURA_EARTHQUAKE_2016_12,buildings,O
KAIKOURA_EARTHQUAKE_2016_12,.,O
KAIKOURA_EARTHQUAKE_2016_12,Another,O
KAIKOURA_EARTHQUAKE_2016_12,teams,O
KAIKOURA_EARTHQUAKE_2016_12,on,O
KAIKOURA_EARTHQUAKE_2016_12,stand,O
KAIKOURA_EARTHQUAKE_2016_13,The,O
KAIKOURA_EARTHQUAKE_2016_13,Clutha,B-DIST
KAIKOURA_EARTHQUAKE_2016_13,District,L-DIST
KAIKOURA_EARTHQUAKE_2016_13,Civil,O
KAIKOURA_EARTHQUAKE_2016_13,Defence,O
KAIKOURA_EARTHQUAKE_2016_13,has,O
KAIKOURA_EARTHQUAKE_2016_13,been,O
KAIKOURA_EARTHQUAKE_2016_13,activated,O
KAIKOURA_EARTHQUAKE_2016_13,and,O
KAIKOURA_EARTHQUAKE_2016_13,staff,O
KAIKOURA_EARTHQUAKE_2016_13,are,O
KAIKOURA_EARTHQUAKE_2016_13,evacuating,O
KAIKOURA_EARTHQUAKE_2016_13,low,O
KAIKOURA_EARTHQUAKE_2016_13,-,O
KAIKOURA_EARTHQUAKE_2016_13,lying,O
KAIKOURA_EARTHQUAKE_2016_13,areas,O
KAIKOURA_EARTHQUAKE_2016_13,.,O
KAIKOURA_EARTHQUAKE_2016_13,Welfare,O
KAIKOURA_EARTHQUAKE_2016_13,centers,O
KAIKOURA_EARTHQUAKE_2016_13,are,O
KAIKOURA_EARTHQUAKE_2016_13,being,O
KAIKOURA_EARTHQUAKE_2016_13,set,O
KAIKOURA_EARTHQUAKE_2016_13,up,O
KAIKOURA_EARTHQUAKE_2016_13,.,O
KAIKOURA_EARTHQUAKE_2016_13,#,O
KAIKOURA_EARTHQUAKE_2016_13,eqnz,O
KAIKOURA_EARTHQUAKE_2016_14,PM,O
KAIKOURA_EARTHQUAKE_2016_14,flying,O
KAIKOURA_EARTHQUAKE_2016_14,over,O
KAIKOURA_EARTHQUAKE_2016_14,the,O
KAIKOURA_EARTHQUAKE_2016_14,scene,O
KAIKOURA_EARTHQUAKE_2016_14,surveying,O
KAIKOURA_EARTHQUAKE_2016_14,the,O
KAIKOURA_EARTHQUAKE_2016_14,damage,O
KAIKOURA_EARTHQUAKE_2016_14,#,O
KAIKOURA_EARTHQUAKE_2016_14,eqnz,O
KAIKOURA_EARTHQUAKE_2016_15,RT,O
KAIKOURA_EARTHQUAKE_2016_15,@TheEdgeNZ,O
KAIKOURA_EARTHQUAKE_2016_15,:,O
KAIKOURA_EARTHQUAKE_2016_15,#,O
KAIKOURA_EARTHQUAKE_2016_15,BREAKING,O
KAIKOURA_EARTHQUAKE_2016_15,:,O
KAIKOURA_EARTHQUAKE_2016_15,Two,O
KAIKOURA_EARTHQUAKE_2016_15,deaths,O
KAIKOURA_EARTHQUAKE_2016_15,confirmed,O
KAIKOURA_EARTHQUAKE_2016_15,in,O
KAIKOURA_EARTHQUAKE_2016_15,NZ,U-CTRY
KAIKOURA_EARTHQUAKE_2016_15,7.5,O
KAIKOURA_EARTHQUAKE_2016_15,earthquake,O
KAIKOURA_EARTHQUAKE_2016_15,:,O
KAIKOURA_EARTHQUAKE_2016_15,#,O
KAIKOURA_EARTHQUAKE_2016_15,eqnz,O
KAIKOURA_EARTHQUAKE_2016_16,Thank,O
KAIKOURA_EARTHQUAKE_2016_16,you,O
KAIKOURA_EARTHQUAKE_2016_16,<3,O
KAIKOURA_EARTHQUAKE_2016_16,#,O
