id_sentence,word,tag
PUEBLA_MEXICO_EARTHQUAKE_2017_0,RT,O
PUEBLA_MEXICO_EARTHQUAKE_2017_0,@ISRAEL21C,O
PUEBLA_MEXICO_EARTHQUAKE_2017_0,:,O
PUEBLA_MEXICO_EARTHQUAKE_2017_0,The,O
PUEBLA_MEXICO_EARTHQUAKE_2017_0,IDF,O
PUEBLA_MEXICO_EARTHQUAKE_2017_0,&,O
PUEBLA_MEXICO_EARTHQUAKE_2017_0,Israeli,O
PUEBLA_MEXICO_EARTHQUAKE_2017_0,aid,O
PUEBLA_MEXICO_EARTHQUAKE_2017_0,agencies,O
PUEBLA_MEXICO_EARTHQUAKE_2017_0,send,O
PUEBLA_MEXICO_EARTHQUAKE_2017_0,emergency,O
PUEBLA_MEXICO_EARTHQUAKE_2017_0,response,O
PUEBLA_MEXICO_EARTHQUAKE_2017_0,teams,O
PUEBLA_MEXICO_EARTHQUAKE_2017_0,and,O
PUEBLA_MEXICO_EARTHQUAKE_2017_0,aid,O
PUEBLA_MEXICO_EARTHQUAKE_2017_0,to,O
PUEBLA_MEXICO_EARTHQUAKE_2017_0,#,O
PUEBLA_MEXICO_EARTHQUAKE_2017_0,Mexico,U-CTRY
PUEBLA_MEXICO_EARTHQUAKE_2017_0,following,O
PUEBLA_MEXICO_EARTHQUAKE_2017_0,7.1,O
PUEBLA_MEXICO_EARTHQUAKE_2017_0,magnitude,O
PUEBLA_MEXICO_EARTHQUAKE_2017_0,earthquake,O
PUEBLA_MEXICO_EARTHQUAKE_2017_0,.,O
PUEBLA_MEXICO_EARTHQUAKE_2017_0,/,O
PUEBLA_MEXICO_EARTHQUAKE_2017_1,RT,O
PUEBLA_MEXICO_EARTHQUAKE_2017_1,@georgelopez,O
PUEBLA_MEXICO_EARTHQUAKE_2017_1,:,O
PUEBLA_MEXICO_EARTHQUAKE_2017_1,Footage,O
PUEBLA_MEXICO_EARTHQUAKE_2017_1,of,O
PUEBLA_MEXICO_EARTHQUAKE_2017_1,the,O
PUEBLA_MEXICO_EARTHQUAKE_2017_1,destruction,O
PUEBLA_MEXICO_EARTHQUAKE_2017_1,of,O
PUEBLA_MEXICO_EARTHQUAKE_2017_1,todays,O
PUEBLA_MEXICO_EARTHQUAKE_2017_1,earthquake,O
PUEBLA_MEXICO_EARTHQUAKE_2017_1,in,O
PUEBLA_MEXICO_EARTHQUAKE_2017_1,#,O
PUEBLA_MEXICO_EARTHQUAKE_2017_1,mexico,U-CTRY
PUEBLA_MEXICO_EARTHQUAKE_2017_1,",",O
PUEBLA_MEXICO_EARTHQUAKE_2017_1,the,O
PUEBLA_MEXICO_EARTHQUAKE_2017_1,fear,O
PUEBLA_MEXICO_EARTHQUAKE_2017_1,in,O
PUEBLA_MEXICO_EARTHQUAKE_2017_1,the,O
PUEBLA_MEXICO_EARTHQUAKE_2017_1,voices,O
PUEBLA_MEXICO_EARTHQUAKE_2017_1,and,O
PUEBLA_MEXICO_EARTHQUAKE_2017_1,the,O
PUEBLA_MEXICO_EARTHQUAKE_2017_2,.@ShawnMendes,O
PUEBLA_MEXICO_EARTHQUAKE_2017_2,has,O
PUEBLA_MEXICO_EARTHQUAKE_2017_2,such,O
PUEBLA_MEXICO_EARTHQUAKE_2017_2,a,O
PUEBLA_MEXICO_EARTHQUAKE_2017_2,good,O
PUEBLA_MEXICO_EARTHQUAKE_2017_2,heart,O
PUEBLA_MEXICO_EARTHQUAKE_2017_2,.,O
PUEBLA_MEXICO_EARTHQUAKE_2017_2,He,O
PUEBLA_MEXICO_EARTHQUAKE_2017_2,s,O
PUEBLA_MEXICO_EARTHQUAKE_2017_2,donating,O
PUEBLA_MEXICO_EARTHQUAKE_2017_2,$,O
PUEBLA_MEXICO_EARTHQUAKE_2017_2,100k,O
PUEBLA_MEXICO_EARTHQUAKE_2017_2,to,O
PUEBLA_MEXICO_EARTHQUAKE_2017_2,Mexico,U-CTRY
PUEBLA_MEXICO_EARTHQUAKE_2017_2,&,O
PUEBLA_MEXICO_EARTHQUAKE_2017_2,launching,O
PUEBLA_MEXICO_EARTHQUAKE_2017_2,a,O
PUEBLA_MEXICO_EARTHQUAKE_2017_2,fundraiser,O
PUEBLA_MEXICO_EARTHQUAKE_2017_2,for,O
PUEBLA_MEXICO_EARTHQUAKE_2017_2,earthquake,O
PUEBLA_MEXICO_EARTHQUAKE_2017_2,relief,O
PUEBLA_MEXICO_EARTHQUAKE_2017_2,♥,O
PUEBLA_MEXICO_EARTHQUAKE_2017_2,️,O
PUEBLA_MEXICO_EARTHQUAKE_2017_3,Careful,O
PUEBLA_MEXICO_EARTHQUAKE_2017_3,where,O
PUEBLA_MEXICO_EARTHQUAKE_2017_3,you,O
PUEBLA_MEXICO_EARTHQUAKE_2017_3,donate,O
PUEBLA_MEXICO_EARTHQUAKE_2017_3,.,O
PUEBLA_MEXICO_EARTHQUAKE_2017_3,Topos,O
PUEBLA_MEXICO_EARTHQUAKE_2017_3,is,O
PUEBLA_MEXICO_EARTHQUAKE_2017_3,a,O
PUEBLA_MEXICO_EARTHQUAKE_2017_3,free,O
PUEBLA_MEXICO_EARTHQUAKE_2017_3,organization,O
PUEBLA_MEXICO_EARTHQUAKE_2017_3,.,O
PUEBLA_MEXICO_EARTHQUAKE_2017_3,My,O
PUEBLA_MEXICO_EARTHQUAKE_2017_3,family,O
PUEBLA_MEXICO_EARTHQUAKE_2017_3,and,O
PUEBLA_MEXICO_EARTHQUAKE_2017_3,friends,O
PUEBLA_MEXICO_EARTHQUAKE_2017_3,took,O
PUEBLA_MEXICO_EARTHQUAKE_2017_3,matters,O
PUEBLA_MEXICO_EARTHQUAKE_2017_3,in,O
PUEBLA_MEXICO_EARTHQUAKE_2017_3,their,O
PUEBLA_MEXICO_EARTHQUAKE_2017_3,own,O
PUEBLA_MEXICO_EARTHQUAKE_2017_3,hands,O
PUEBLA_MEXICO_EARTHQUAKE_2017_3,to,O
PUEBLA_MEXICO_EARTHQUAKE_2017_3,help,O
PUEBLA_MEXICO_EARTHQUAKE_2017_3,#,O
PUEBLA_MEXICO_EARTHQUAKE_2017_3,MexicoEarthquake,O
PUEBLA_MEXICO_EARTHQUAKE_2017_4,Among,O
PUEBLA_MEXICO_EARTHQUAKE_2017_4,the,O
PUEBLA_MEXICO_EARTHQUAKE_2017_4,Mexico,U-CTRY
PUEBLA_MEXICO_EARTHQUAKE_2017_4,City,O
PUEBLA_MEXICO_EARTHQUAKE_2017_4,Earthquake,O
PUEBLA_MEXICO_EARTHQUAKE_2017_4,Victims,O
PUEBLA_MEXICO_EARTHQUAKE_2017_4,:,O
PUEBLA_MEXICO_EARTHQUAKE_2017_4,21,O
PUEBLA_MEXICO_EARTHQUAKE_2017_4,Schoolkids,O
PUEBLA_MEXICO_EARTHQUAKE_2017_5,If,O
PUEBLA_MEXICO_EARTHQUAKE_2017_5,you,O
PUEBLA_MEXICO_EARTHQUAKE_2017_5,want,O
PUEBLA_MEXICO_EARTHQUAKE_2017_5,to,O
PUEBLA_MEXICO_EARTHQUAKE_2017_5,donate,O
PUEBLA_MEXICO_EARTHQUAKE_2017_5,/,O
PUEBLA_MEXICO_EARTHQUAKE_2017_5,help,O
PUEBLA_MEXICO_EARTHQUAKE_2017_5,",",O
PUEBLA_MEXICO_EARTHQUAKE_2017_5,@topos,O
PUEBLA_MEXICO_EARTHQUAKE_2017_5,is,O
PUEBLA_MEXICO_EARTHQUAKE_2017_5,helping,O
PUEBLA_MEXICO_EARTHQUAKE_2017_5,rescue,O
PUEBLA_MEXICO_EARTHQUAKE_2017_5,people,O
PUEBLA_MEXICO_EARTHQUAKE_2017_5,from,O
PUEBLA_MEXICO_EARTHQUAKE_2017_5,the,O
PUEBLA_MEXICO_EARTHQUAKE_2017_5,collapsed,O
PUEBLA_MEXICO_EARTHQUAKE_2017_5,buildings,O
PUEBLA_MEXICO_EARTHQUAKE_2017_5,in,O
PUEBLA_MEXICO_EARTHQUAKE_2017_5,Mexico,U-CTRY
PUEBLA_MEXICO_EARTHQUAKE_2017_5,due,O
PUEBLA_MEXICO_EARTHQUAKE_2017_5,to,O
PUEBLA_MEXICO_EARTHQUAKE_2017_5,earthquake,O
PUEBLA_MEXICO_EARTHQUAKE_2017_5,.,O
PUEBLA_MEXICO_EARTHQUAKE_2017_5,἟2἟D,O
PUEBLA_MEXICO_EARTHQUAKE_2017_5,❤,O
PUEBLA_MEXICO_EARTHQUAKE_2017_5,️,O
PUEBLA_MEXICO_EARTHQUAKE_2017_5,How,O
PUEBLA_MEXICO_EARTHQUAKE_2017_5,to,O
PUEBLA_MEXICO_EARTHQUAKE_2017_5,donate,O
PUEBLA_MEXICO_EARTHQUAKE_2017_5,:,O
PUEBLA_MEXICO_EARTHQUAKE_2017_6,#,O
PUEBLA_MEXICO_EARTHQUAKE_2017_6,marvellous997,O
PUEBLA_MEXICO_EARTHQUAKE_2017_6,WATCH,O
PUEBLA_MEXICO_EARTHQUAKE_2017_6,:,O
PUEBLA_MEXICO_EARTHQUAKE_2017_6,Dog,O
PUEBLA_MEXICO_EARTHQUAKE_2017_6,rescued,O
PUEBLA_MEXICO_EARTHQUAKE_2017_6,from,O
PUEBLA_MEXICO_EARTHQUAKE_2017_6,rubble,O
PUEBLA_MEXICO_EARTHQUAKE_2017_6,6,O
PUEBLA_MEXICO_EARTHQUAKE_2017_6,days,O
PUEBLA_MEXICO_EARTHQUAKE_2017_6,after,O
PUEBLA_MEXICO_EARTHQUAKE_2017_6,Mexico,U-CTRY
PUEBLA_MEXICO_EARTHQUAKE_2017_6,earthquake,O
PUEBLA_MEXICO_EARTHQUAKE_2017_6,:,O
PUEBLA_MEXICO_EARTHQUAKE_2017_6,The,O
PUEBLA_MEXICO_EARTHQUAKE_2017_6,dog,O
PUEBLA_MEXICO_EARTHQUAKE_2017_6,was,O
PUEBLA_MEXICO_EARTHQUAKE_2017_7,RT,O
PUEBLA_MEXICO_EARTHQUAKE_2017_7,@Bitso,O
PUEBLA_MEXICO_EARTHQUAKE_2017_7,:,O
PUEBLA_MEXICO_EARTHQUAKE_2017_7,International,O
PUEBLA_MEXICO_EARTHQUAKE_2017_7,#,O
PUEBLA_MEXICO_EARTHQUAKE_2017_7,crypto,O
PUEBLA_MEXICO_EARTHQUAKE_2017_7,community,O
PUEBLA_MEXICO_EARTHQUAKE_2017_7,please,O
PUEBLA_MEXICO_EARTHQUAKE_2017_7,help,O
PUEBLA_MEXICO_EARTHQUAKE_2017_7,#,O
PUEBLA_MEXICO_EARTHQUAKE_2017_7,Mexico,U-CTRY
PUEBLA_MEXICO_EARTHQUAKE_2017_7,#,O
PUEBLA_MEXICO_EARTHQUAKE_2017_7,earthquake,O
PUEBLA_MEXICO_EARTHQUAKE_2017_7,fundraising,O
PUEBLA_MEXICO_EARTHQUAKE_2017_7,efforts,O
PUEBLA_MEXICO_EARTHQUAKE_2017_7,$,O
PUEBLA_MEXICO_EARTHQUAKE_2017_7,btc,O
PUEBLA_MEXICO_EARTHQUAKE_2017_7,$,O
PUEBLA_MEXICO_EARTHQUAKE_2017_7,eth,O
PUEBLA_MEXICO_EARTHQUAKE_2017_7,$,O
PUEBLA_MEXICO_EARTHQUAKE_2017_7,xrp,O
PUEBLA_MEXICO_EARTHQUAKE_2017_7,#,O
PUEBLA_MEXICO_EARTHQUAKE_2017_7,BitcoinAidMexico,O
PUEBLA_MEXICO_EARTHQUAKE_2017_8,NEWS,O
PUEBLA_MEXICO_EARTHQUAKE_2017_8,:,O
PUEBLA_MEXICO_EARTHQUAKE_2017_8,Rescuers,O
PUEBLA_MEXICO_EARTHQUAKE_2017_8,continue,O
PUEBLA_MEXICO_EARTHQUAKE_2017_8,to,O
PUEBLA_MEXICO_EARTHQUAKE_2017_8,search,O
PUEBLA_MEXICO_EARTHQUAKE_2017_8,for,O
PUEBLA_MEXICO_EARTHQUAKE_2017_8,survivors,O
PUEBLA_MEXICO_EARTHQUAKE_2017_8,after,O
PUEBLA_MEXICO_EARTHQUAKE_2017_8,yesterdays,O
PUEBLA_MEXICO_EARTHQUAKE_2017_8,7.1-magnitude,O
PUEBLA_MEXICO_EARTHQUAKE_2017_8,earthquake,O
PUEBLA_MEXICO_EARTHQUAKE_2017_8,in,O
PUEBLA_MEXICO_EARTHQUAKE_2017_8,Mexico,B-CITY
PUEBLA_MEXICO_EARTHQUAKE_2017_8,City,L-CITY
PUEBLA_MEXICO_EARTHQUAKE_2017_8,.,O
PUEBLA_MEXICO_EARTHQUAKE_2017_8,At,O
PUEBLA_MEXICO_EARTHQUAKE_2017_8,least,O
PUEBLA_MEXICO_EARTHQUAKE_2017_8,200,O
PUEBLA_MEXICO_EARTHQUAKE_2017_8,people,O
PUEBLA_MEXICO_EARTHQUAKE_2017_8,have,O
PUEBLA_MEXICO_EARTHQUAKE_2017_8,died,O
PUEBLA_MEXICO_EARTHQUAKE_2017_8,.,O
PUEBLA_MEXICO_EARTHQUAKE_2017_9,Edited,O
PUEBLA_MEXICO_EARTHQUAKE_2017_9,version,O
PUEBLA_MEXICO_EARTHQUAKE_2017_9,of,O
PUEBLA_MEXICO_EARTHQUAKE_2017_9,@shawnmendes,O
PUEBLA_MEXICO_EARTHQUAKE_2017_9,#,O
PUEBLA_MEXICO_EARTHQUAKE_2017_9,MexicoEarthquake,O
PUEBLA_MEXICO_EARTHQUAKE_2017_9,appeal,O
PUEBLA_MEXICO_EARTHQUAKE_2017_9,video,O
PUEBLA_MEXICO_EARTHQUAKE_2017_9,.,O
PUEBLA_MEXICO_EARTHQUAKE_2017_9,The,O
PUEBLA_MEXICO_EARTHQUAKE_2017_9,message,O
PUEBLA_MEXICO_EARTHQUAKE_2017_9,stands,O
PUEBLA_MEXICO_EARTHQUAKE_2017_9,",",O
PUEBLA_MEXICO_EARTHQUAKE_2017_9,donate,O
PUEBLA_MEXICO_EARTHQUAKE_2017_9,all,O
PUEBLA_MEXICO_EARTHQUAKE_2017_9,you,O
PUEBLA_MEXICO_EARTHQUAKE_2017_9,can,O
PUEBLA_MEXICO_EARTHQUAKE_2017_9,at,O
PUEBLA_MEXICO_EARTHQUAKE_2017_10,AWESOME,O
PUEBLA_MEXICO_EARTHQUAKE_2017_10,",",O
PUEBLA_MEXICO_EARTHQUAKE_2017_10,WHAT,O
PUEBLA_MEXICO_EARTHQUAKE_2017_10,A,O
PUEBLA_MEXICO_EARTHQUAKE_2017_10,GENTLEMAN,O
PUEBLA_MEXICO_EARTHQUAKE_2017_10,hope,O
PUEBLA_MEXICO_EARTHQUAKE_2017_10,many,O
PUEBLA_MEXICO_EARTHQUAKE_2017_10,of,O
