tweet_id,text,location_mentions
ID_1107545667596107776,Please assist and donate to the various organizations assisting those affected by #CycloneIdai. Every helping hand counts. #Zimbabwe,"[{'text': 'Zimbabwe', 'type': 'Country', 'start_offset': 124, 'end_offset': 132}]"
ID_1110219030256930816,I fear that the emergency situation caused by #cycloneidai is distracting us from the escalating insurgency in Cabo Delgado #Mozambique.,"[{'text': 'Cabo Delgado', 'type': 'District', 'start_offset': 111, 'end_offset': 123}, {'text': 'Mozambique', 'type': 'Country', 'start_offset': 125, 'end_offset': 135}]"
ID_1115677497046253568,Last Thursday police officer Constable Edward Dhumukwa (32) stationed at the Silver Stream command centre was arrested and appeared in court for alleged looting of donations valued at tens of thousands of United States dollars earmarked for #cycloneIdai victims in Chipinge.,"[{'text': 'United States', 'type': 'Country', 'start_offset': 205, 'end_offset': 218}, {'text': 'Chipinge.', 'type': 'City/town', 'start_offset': 265, 'end_offset': 274}]"
ID_1113080125321510913,Thanks to staff and patrons of @ZimLibrary_zw and citizens of Zimre Park for the generous clothing donations to our brothers and sisters affected by Cyclone Idai @UNZimbabwe @HigherLifeFDN @WFP @ChengetoAfrica @IRCEurope #CycloneIdai,"[{'text': 'Zimre Park', 'type': 'District', 'start_offset': 62, 'end_offset': 72}]"
ID_1109118377065365504,"Too old to walk without a stick. Too weak to carry a brick. Torrents caused by #CycloneIdai destroyed his house in the middle of the night. For this man, rendered homeless in Chikwawa District, #Malawi, it wont be easy to rebuild. @cadecom @RedCross @SDGoals @WorldBank","[{'text': 'Chikwawa', 'type': 'District', 'start_offset': 175, 'end_offset': 183}, {'text': 'Malawi', 'type': 'Country', 'start_offset': 195, 'end_offset': 201}]"
ID_1107632482575364097,"We are kindly appealing to all members of the public to join hands with us & drop off your donations for the #CycloneIDAI Disaster Relief effort at 7 Kenilworth Road, Newlands, Harare. Thank you so much to everyone who has donated so far. Together we can make a difference.","[{'text': 'Newlands', 'type': 'Country', 'start_offset': 167, 'end_offset': 175}, {'text': 'Harare', 'type': 'City/town', 'start_offset': 177, 'end_offset': 183}]"
ID_1108243131504447489,"#UPDATE We are pleased to announce that US$33,500 has been raised so far! On behalf of the #CycloneIdai victims, we THANK YOU all for the unparalleled selflessness & generosity. Your retweet is as good as a donation! Together we can reach US$50,000!",[]
ID_1109454892576452609,"As the sun sets, a 2nd truck is loaded and ready to head out! Thank you to everyone who donated goods help those affected by #CycloneIdai Lets continue to mobilise our efforts and support our fellow Zimbabweans ἟F἟CᾑDἿD",[]
ID_1110235833456607232,"UPDATE: #CycloneIdai 24.03.2019 Due to the damaged Umvumvumvu Bridge, communications were made with Biriri High School representatives for an alternative to deliver the goods at Nyanyadzi High School. Thank You So Much to EVERYONE who contributed to the cause #MUFC #WeAreUnited","[{'text': 'Umvumvumvu Bridge', 'type': 'Human-made Point-of-Interest', 'start_offset': 51, 'end_offset': 68}, {'text': 'Biriri High School', 'type': 'Human-made Point-of-Interest', 'start_offset': 100, 'end_offset': 118}, {'text': 'Nyanyadzi High School', 'type': 'Human-made Point-of-Interest', 'start_offset': 178, 'end_offset': 199}]"
ID_1107501351024631808,Bodies of #CycloneIdai victims pile up at Ngangu Roman Catholic as they wait for burial orders.,"[{'text': 'Ngangu Roman Catholic', 'type': 'Human-made Point-of-Interest', 'start_offset': 42, 'end_offset': 63}]"
