tweet_id,text,location_mentions
ID_1022420413882744832,Nearly half of #houses checked in #fire-stricken areas deemed #uninhabitable #GO #PrayForGreece #PrayForAthens #AthensFires ἞C἟7,[]
ID_1021778661895294976,RT @anadoluagency: #Greece: Death toll from wildfires hits 74,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 20, 'end_offset': 26}]"
ID_1022015997740503042,When the essence of cooperation meets the sad reality of lifeThe IPA partner country offers financial aid to Greece to handle disaster @InterregIPACBC #Greecefires,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 109, 'end_offset': 115}]"
ID_1022557424585240576,We are live from the Lureio Idrima the orphanage and nursing home operared by the nuns of the Holy Trinity Monastery that was destroyed by the fire in Neos Voutzas. Here too the scene is apocalyptic.,"[{'text': 'Holy Trinity Monastery', 'type': 'Human-made Point-of-Interest', 'start_offset': 94, 'end_offset': 116}, {'text': 'Neos Voutzas', 'type': 'Neighborhood', 'start_offset': 151, 'end_offset': 163}]"
ID_1021749412639457280,RT @AP: Greek prime minister declares 3-day national mourning period for dozens killed by wildfires near Athens.,"[{'text': 'Athens', 'type': 'City/town', 'start_offset': 105, 'end_offset': 111}]"
ID_1024662121391579136,#Greece vows to speed up destruction of illegal property after #wildfires,"[{'text': 'Greece', 'type': 'Country', 'start_offset': 1, 'end_offset': 7}]"
ID_1022441664697298944,"In Mati, hundreds of humanitarian volunteers have joined relief efforts following Greece’s most deadly wildfires in a decade","[{'text': 'Mati', 'type': 'City/town', 'start_offset': 3, 'end_offset': 7}, {'text': 'Greece', 'type': 'Country', 'start_offset': 82, 'end_offset': 88}]"
ID_1024974395759108097,State Minister #Flambouraris offers thanks for assistance to #Greecefires victims,[]
ID_1022473412034416640,"Unfortunately theres the first confirmed fatality, hope to be the last, among tourists at the #AthensFires: an Irishman in honeymoon. So sorry, R.I.P ὢ2  #Mati #Attica #wildfires #PrayForGreece #PrayForAthens #Πυρκαγια #Αττικη #ματι","[{'text': 'Attica', 'type': 'City/town', 'start_offset': 161, 'end_offset': 167}]"
ID_1022371614091096064,"A special account has been opened at the Bank of Greece for donations in support of fire victims. Account number 23/2341195169, IBAN GR4601000230000002341195169) available for foreign states, businesses and individuals from Greece and abroad to provide their financial support","[{'text': 'Greece', 'type': 'Country', 'start_offset': 49, 'end_offset': 55}, {'text': 'Greece', 'type': 'Country', 'start_offset': 224, 'end_offset': 230}]"
