tweet_id,text,location_mentions
ID_903656109071847427,#TylerPerryDonates $1 Million to Hurricane Harvey Relief with a Portion Going to,[]
ID_903003923509907468,Tropical Storm Harvey — via @wunderground. This will be close!,[]
ID_902839356695732224,Do what you can to help those affected by Hurricane Harvey. Heres one thing you can do:,[]
ID_903416231214157825,"VP Mike Pence, speaking in Texas, calls on all Americans to join the #Harvey recovery effort: Find a way to help.”","[{'text': 'Texas', 'type': 'State', 'start_offset': 27, 'end_offset': 32}]"
ID_903734229581824000,Very poor decision to forego mandatory evacuation. Got VERY lucky. #Harvey #DontFocusOnTheLine,[]
ID_902648322879623182,Omega Charities has established a Hurricane Harvey Relief Fund. Contributions will be accepted online at,[]
ID_902656342577614856,"When disasters like #Harvey strike, this Longmont rescue organization makes sure pets arent left behind",[]
ID_902903085705687040,"At least 30 dead and more than made 20,000 homeless by Harvey - Daily Mail #HurricaneHarvey",[]
ID_903455396270145536,"Blessed to work for such a beautiful company, hurricane Harvey did no damage to these kiddos💗 #MagentaStrong #TMobile #TeamWork",[]
ID_903482966134800384,#RP video by @Latyce_McKenna Ive been told #HurricaneHarvey has caused more damage than any,[]
ID_903611396486684675,Please dont turn a blind eye to all those who need your help. Join the @News3LV team and help out tonight! #Sinclaircares #Harvey2017,[]
ID_903697104975138816,#BREAKING #Harvey death toll may climb to almost 40 as 17 more deaths being investigated in #Houston County #HoustonFloods,"[{'text': 'Houston', 'type': 'City/town', 'start_offset': 93, 'end_offset': 100}]"
ID_903719522284310528,Pimp C’s Wife Dispute Reports Claiming UGK Archives were Destroyed in Hurricane Harvey,[]
ID_902656609712779264,Thanks @NoelleonFOX7 & @fox7austin for featuring our #Hurricane #Harvey #diaper drive. Please donate $$ or diapers:,[]
ID_902606163950403585,President Trump is in Texas inspecting damage and response to #Harvey—but the media is focused on Melanias shoes.,"[{'text': 'Texas', 'type': 'State', 'start_offset': 22, 'end_offset': 27}]"
ID_903646768533004289,"#UPDATE @RedCrossDFW reports nearly 2,000 #Harvey evacuees staying in shelters in #dfw. More than 1,000 at mega-shelter in #Dallas. @CBSDFW","[{'text': 'Dallas', 'type': 'City/town', 'start_offset': 124, 'end_offset': 130}]"
ID_903441331753590785,"Donations (clothing, food, money etc.) for victims of Hurricane Harvey will be accepted at Sundays Cowgirl soccer game!!!⚽️⚽️⚽️",[]
ID_901804868213641218,RT @maureenjohnson: The link to the @RedCross to donate to help the people of Texas. They will need it:  #houstonflo,"[{'text': 'Texas', 'type': 'State', 'start_offset': 78, 'end_offset': 83}]"
ID_902913929009127424,Sheriff: Hurricane #Harvey #death toll rises to 20 - Aug 30 @ 11:20 AM ET,[]
ID_903573868727685121,Damage from Harvey causes hike in gas prices.,[]
ID_902660837969510400,@CNNValencia @realDonaldTrump Is #Harvey racist or anti-racist because he killed white people you hate so much?,[]
ID_902606869788860416,"We are working on providing aid to those affected by #Harvey. If you wish to donate, please go to  Please retweet!",[]
ID_902653896811843584,I spy @krockjosh helping out at the Red Cross telethon for Hurricane Harvey victims. 👏👏👏👏 Over $33k raised by CNY media,[]
ID_902850675582828545,Supporting US amid #HurricaneHarvey: @CopernicusEU now providing damage assessment maps to affected areas in Texas,"[{'text': 'Texas', 'type': 'State', 'start_offset': 109, 'end_offset': 114}]"
ID_901787723094261761,Were offering support to our customers in certain areas impacted by Hurricane Harvey. Details:,[]
ID_902695995259146240,I liked a @YouTube video  President Trump & Melania Arrive in Texas to Survey Hurricane Harvey Damage 8/29/17,"[{'text': 'Texas', 'type': 'State', 'start_offset': 62, 'end_offset': 67}]"
ID_901822222381273088,We are still seeing the impact of Harvey but these webcams show the damage it has caused so far.,[]
ID_902850596264280065,"To continue supporting those affected by #Harvey, @Googleorg will now match your donations up to $1M.",[]
ID_903380629181669376,WOW! Just WOW! This is in Sienna Plantation. Home damaged by #tornado from #HurricaneHarvey @abc13houston,"[{'text': 'Sienna Plantation', 'type': 'City/town', 'start_offset': 26, 'end_offset': 43}]"
ID_902645502868672512,"9,000 #Harvey evacuees are seeking refuge at Houstons Convention Center – which had capacity for 5,000  #Harvey2017","[{'text': 'Houstons', 'type': 'City/town', 'start_offset': 45, 'end_offset': 53}]"
ID_901671207552069632,RT @KinggCecee: Im too scared to sleep with all these tornado warnings! #HurricaneHarvey,[]
ID_902843666359836672,Famous Americans are challenging each other to donate money to the Red Cross to aid the victims of #Harvey,[]
ID_901659206411059201,"RT @JohnCornyn: Abbott, Cornyn welcome Harvey evacuees to Austin","[{'text': 'Austin', 'type': 'City/town', 'start_offset': 58, 'end_offset': 64}]"
ID_903045492208259072,Im here with about 100 folks sending food to victims of #Harvey. Austin has your back! Truckloads of food headed your way. @CTXFoodBank,"[{'text': 'Austin', 'type': 'City/town', 'start_offset': 65, 'end_offset': 71}]"
