tweet_id,text,location_mentions
ID_908851800672960512,This badass navy rescue dog helping victims of Mexicos earthquake. Her name is Frida.,"[{'text': 'Mexicos', 'type': 'Country', 'start_offset': 47, 'end_offset': 54}]"
ID_908050409721393152,"The devastating 1889 Johnstown Flood killed over 2,000 people in minutes","[{'text': 'Johnstown', 'type': 'City/town', 'start_offset': 21, 'end_offset': 30}]"
ID_905685196296646656,Total Devastation’ As Irma Hits Caribbean Island Barbuda: Hurricane Irma killed one person,"[{'text': 'Barbuda', 'type': 'Island', 'start_offset': 49, 'end_offset': 56}]"
ID_907455646882299904,"First responders rescue mother, four-month-old baby from #Irma-flooded Miami home","[{'text': 'Miami', 'type': 'City/town', 'start_offset': 71, 'end_offset': 76}]"
ID_905745190576644096,UPDATE- 10 people are dead after Hurricane Irma roars through the Caribbean. 900K people without power in Puerto Rico.,"[{'text': 'Puerto Rico', 'type': 'Island', 'start_offset': 106, 'end_offset': 117}]"
ID_908076147937878016,"#OttMusics @gotrackster raising $ for U.S. flood relief via @BlueSkyFloodAid; musicians can donate songs, & engineers can donate services.","[{'text': 'U.S.', 'type': 'Country', 'start_offset': 38, 'end_offset': 42}]"
ID_905739916419747840,@Power965 @DaveWarrenCBS4 Please help spread awareness! The USVI have been destroyed by Irma! Any bit helps and please share to everyone!,[]
ID_908436199005671424,St. Johns River at Main Street Bridge is in minor flood stage right now as high tide approaches. #FirstAlertWX,"[{'text': 'St. Johns River', 'type': 'Natural Point-of-Interest', 'start_offset': 0, 'end_offset': 15}]"
ID_908313497200676864,"Irma knocks Cuban tourism hard: At least nine hotels in Varadero with major damage, Cayo Coco devastated","[{'text': 'Cuban', 'type': 'Country', 'start_offset': 12, 'end_offset': 17}, {'text': 'Varadero', 'type': 'City/town', 'start_offset': 56, 'end_offset': 64}, {'text': 'Cayo Coco', 'type': 'Island', 'start_offset': 84, 'end_offset': 93}]"
ID_908340621840146434,Please share. Area hospitals have an increased need for #platelets to help with Hurricane Irma relief. Learn more.,[]
