tweet_id,text,location_mentions
ID_912421077229408258,RT @SidR10: After seeing the devastation of Hurricane Maria I decided to create this page to help the Puerto Rican people ἟5἟7 #RT .,"[{'text': 'Puerto Rican', 'type': 'Island', 'start_offset': 102, 'end_offset': 114}]"
ID_912362832875937794,#HurricaneMaria is not done yet. Here on the #EastCoast we are preparing to deal with her remnants as a #TropicalStorm. #hurricane #drfee,"[{'text': 'EastCoast', 'type': 'Other locations', 'start_offset': 46, 'end_offset': 55}]"
ID_910750722865561601,"PLEASE! donate which will benefit the victims of mexico, as to hurricane maria","[{'text': 'mexico', 'type': 'Country', 'start_offset': 49, 'end_offset': 55}]"
ID_913122301234810880,The last thing I knew about them is that they are donating supplies to PR cuz were in need thanks to Hurricane Maria.,"[{'text': 'PR', 'type': 'Island', 'start_offset': 71, 'end_offset': 73}]"
ID_910640069702291457,My favorite place in the world. The destruction is heartbreaking. No doubt Vieques and Puerto Rico will recover.,"[{'text': 'Puerto Rico', 'type': 'Island', 'start_offset': 87, 'end_offset': 98}]"
ID_914177405899722757,RT @iosjillian: Hi since our president is garbage you can donate to the Hurricane Maria COMMUNITY Recovery Fund here,[]
ID_912437639025971201,RT @nypost: Jennifer Lopez will donate $1 million to Puerto Rico in the wake of Hurricane Maria,"[{'text': 'Puerto Rico', 'type': 'Island', 'start_offset': 53, 'end_offset': 64}]"
ID_912128229833625602,RT @jbrownedianis: Help is needed. #PuertoRico,"[{'text': 'PuertoRico', 'type': 'Island', 'start_offset': 36, 'end_offset': 46}]"
ID_912389019237003266,@CharlieWGME @NWSGray First 122 NEXRAD stations (159 total) were installed at a cost of $3.1 billion. Here is JUA destroyed last week:,[]
ID_910761921674141696,Hurricane Maria: Whole of Puerto Rico without power: Hurricane Maria has knocked out electricity.. #breakingnews,"[{'text': 'Puerto Rico', 'type': 'Island', 'start_offset': 26, 'end_offset': 37}]"
ID_913875081469636608,Rabbi in Puerto Rico pleads for help as congregation suffers on  #Science #PresidentTrump #HurricaneMaria #Rabbi,"[{'text': 'Puerto Rico', 'type': 'Island', 'start_offset': 9, 'end_offset': 20}]"
