tweet_id,text,location_mentions
ID_784649154194710528,"Flash Flood Warning for Bamberg, Calhoun, Clarendon, Orangeburg, Richland, & Sumter Cos until 9AM #scwx #Matthew","[{'text': 'Bamberg', 'type': 'City/town', 'start_offset': 24, 'end_offset': 31}, {'text': 'Calhoun', 'type': 'City/town', 'start_offset': 33, 'end_offset': 40}, {'text': 'Clarendon', 'type': 'City/town', 'start_offset': 42, 'end_offset': 51}, {'text': 'Orangeburg', 'type': 'City/town', 'start_offset': 53, 'end_offset': 63}, {'text': 'Richland', 'type': 'City/town', 'start_offset': 65, 'end_offset': 73}, {'text': 'Sumter', 'type': 'City/town', 'start_offset': 77, 'end_offset': 83}]"
ID_783773548292743169,"We Were Already In A Cholera Crisis; Hurricane Pummels Haiti, 11 dead, damage still impossible to assess.","[{'text': 'Haiti', 'type': 'Country', 'start_offset': 55, 'end_offset': 60}]"
ID_783690110051098624,#HurricaneMatthew moves into #Bahamas after battering #Haiti  #Hurricane #Cuba #Atlantic #Florida #Evacuation #floods,"[{'text': 'Bahamas', 'type': 'Island', 'start_offset': 30, 'end_offset': 37}, {'text': 'Haiti', 'type': 'Country', 'start_offset': 55, 'end_offset': 60}, {'text': 'Cuba', 'type': 'Country', 'start_offset': 74, 'end_offset': 78}, {'text': 'Florida', 'type': 'State', 'start_offset': 90, 'end_offset': 97}]"
ID_783642745000910848,RT @robynpike: .@TeamBrokenEarth is accepting donations for Hurricane Matthew medical relief in Haiti:,"[{'text': 'Haiti', 'type': 'Country', 'start_offset': 96, 'end_offset': 101}]"
ID_783447364564574209,"To make a donation to Heart of God Haitis Hurricane Relief Fund, please use this link:","[{'text': 'Haitis', 'type': 'Country', 'start_offset': 35, 'end_offset': 41}]"
ID_783982746280595456,RT @imME_org: Haiti starts to gauge damage from devastating Hurricane Matthew via @YahooNews,"[{'text': 'Haiti', 'type': 'Country', 'start_offset': 14, 'end_offset': 19}]"
ID_783637480373358592,Washington Post Aid teams in Haiti struggle to reach regions slammed by Hurricane MatthewWashington PostEmergency teams in Haiti struggled,"[{'text': 'Washington', 'type': 'State', 'start_offset': 0, 'end_offset': 10}, {'text': 'Haiti', 'type': 'Country', 'start_offset': 29, 'end_offset': 34}, {'text': 'Haiti', 'type': 'Country', 'start_offset': 123, 'end_offset': 128}]"
ID_783452258348441601,"RT @JenDelgadoTWC: #Hurricane warnings for #Cuba, #Jamaica & #Haiti. #Matthew is #category 4 major hurricane. #mudslides #flooding","[{'text': 'Cuba', 'type': 'Country', 'start_offset': 44, 'end_offset': 48}, {'text': 'Jamaica', 'type': 'Country', 'start_offset': 51, 'end_offset': 58}, {'text': 'Haiti', 'type': 'Country', 'start_offset': 62, 'end_offset': 67}]"
ID_783871340407291904,Port Arthur church helps Hurricane Matthew victims in Haiti  via @12NewsNow,"[{'text': 'Port Arthur church', 'type': 'Human-made Point-of-Interest', 'start_offset': 0, 'end_offset': 18}, {'text': 'Haiti', 'type': 'Country', 'start_offset': 54, 'end_offset': 59}]"
ID_783979097156313089,"Haiti hit by worst storm in more than 50 years: At least 11 people have died after Hurricane Matthew, a Categ","[{'text': 'Haiti', 'type': 'Country', 'start_offset': 0, 'end_offset': 5}]"
