tweet_id,text,location_mentions
ID_797933449952661505,He says that the roads have suffered extreme damage and bridges have been structurally compromised. #kaikoura #eqnz,"[{'text': 'kaikoura', 'type': 'City/town', 'start_offset': 101, 'end_offset': 109}]"
ID_798437398212329472,The trails around Buckley Road Reserve suffering flood and #earthquake damage. cc: @WgtnCC #eqnz,"[{'text': 'Buckley Road', 'type': 'Road/street', 'start_offset': 18, 'end_offset': 30}]"
ID_797871832120426500,Ferries parked in Wellington harbour morning after earthquake & tsunami warning #eqnz,"[{'text': 'Wellington', 'type': 'City/town', 'start_offset': 18, 'end_offset': 28}]"
ID_797801489318019072,"Severe 7.5 earthquake hits Hanmer Springs, felt widely across New Zealand as tsunami warning issued","[{'text': 'New Zealand', 'type': 'Country', 'start_offset': 62, 'end_offset': 73}]"
ID_797963881406550017,Some of these aftershocks are terrifying ὣ0 #eqnz #newzealandquake,[]
ID_797909299355713536,#eqnz update: People receiving welfare assistance in Ward Hall. Damage to transmission poles found Seddon > Ward:,[]
ID_800819463507427329,RT @CDEMCHCH: The Ministry of Civil Defence Emergency Management has advised there is no tsunami threat to New Zealand from the 7.3 Japan e,"[{'text': 'New Zealand', 'type': 'Country', 'start_offset': 107, 'end_offset': 118}, {'text': 'Japan', 'type': 'Country', 'start_offset': 132, 'end_offset': 137}]"
ID_798685702967869440,Our Wellington premises has been evacuated - were all safe & working out the best way to keep getting food to those who need it most! #eqnz,"[{'text': 'Wellington', 'type': 'City/town', 'start_offset': 4, 'end_offset': 14}]"
ID_797956037848379393,What’s the state of commercial buildings in earthquake damaged areas and when will they be declared safe? #NZHFocus #eqnz,[]
ID_797944833537097728,"While weather is stable and its daylight, check windows for cracks and anything loose to be secured ahead of severe wind warning. #eqnz",[]
ID_771430671050956800,ATTENTION all New Zealand #Earpers!! I hope yall are ok from the earthquake! Theres a tsunami alert so pleeeaasse stay safe my loves! ὉCὉCὉC,"[{'text': 'New Zealand', 'type': 'Country', 'start_offset': 14, 'end_offset': 25}]"
ID_800872716102467584,6.3 Magnitude Earthquake Hits New Zealand: US Geological Survey The earthquake was centre,"[{'text': 'New Zealand', 'type': 'Country', 'start_offset': 30, 'end_offset': 41}]"
ID_798025760661323777,RT @NZcivildefence: 14 staff from Urban Search & Rescue have been deployed to #Wellington to help assess buildings. Another teams on stand,"[{'text': 'Wellington', 'type': 'City/town', 'start_offset': 79, 'end_offset': 89}]"
ID_797806501771362306,The Clutha District Civil Defence has been activated and staff are evacuating low-lying areas. Welfare centers are being set up. #eqnz,"[{'text': 'Clutha District', 'type': 'District', 'start_offset': 4, 'end_offset': 19}]"
ID_797994571279929344,PM flying over the scene surveying the damage #eqnz,[]
ID_797862953949106177,RT @TheEdgeNZ: #BREAKING: Two deaths confirmed in NZ 7.5 earthquake:  #eqnz,"[{'text': 'NZ', 'type': 'Country', 'start_offset': 50, 'end_offset': 52}]"
ID_798673170240675840,Thank you <3 #EQNZ International flotilla and aircraft drafted in to help with humanitarian relief in Kaikoura,"[{'text': 'Kaikoura', 'type': 'City/town', 'start_offset': 102, 'end_offset': 110}]"
ID_797960710504386560,"You can get urgent supplies at Willis St new World if, like me, you live central. They still have batteries and water. #EQNZ","[{'text': 'Willis St new World', 'type': 'Human-made Point-of-Interest', 'start_offset': 31, 'end_offset': 50}]"
ID_797833903771828225,"@TOBYJONES_ earthquake damage. High Rise buildings need to be inspected. Plus, all train services cancelled in the region. #EQNZ.",[]
ID_798632022260355072,RT @deniserat: 1st US warship to visit New Zealand in more than 30 years - To provide #eqnz assistance,"[{'text': 'New Zealand', 'type': 'Country', 'start_offset': 39, 'end_offset': 50}]"
ID_798008629320237057,please hurry we dont need any more fatalitys,[]
ID_797844539314610176,"RT @Jenevyy: Road damage, landslips, bridge damage, damage to residential buildings, collapsed buildings. #eqnz",[]
ID_797940212898795521,And if our government wont find em lets crowd source it. Can a staff member set up a donations page?,[]
ID_798309625984466944,RT @guardian: Rescue under way for thousands stranded by New Zealand earthquake,"[{'text': 'New Zealand', 'type': 'Island', 'start_offset': 57, 'end_offset': 68}]"
ID_797844179644579840,"Wow tsunami warning here and being advised to stay out of cbd and lower hutt, sounds serious #eqnz",[]
ID_797873628154970113,"@EthanDolan Im so tired because weve had massive earthquakes and tsunami warnings in New Zealand, I have work soon as well ὢD","[{'text': 'New Zealand', 'type': 'Country', 'start_offset': 85, 'end_offset': 96}]"
ID_797870095837970433,"Earthquake in Kaikoura, New Zealand. 7.5 on the ricta scale. Quake and Tsunami warning from Christchurch to Wellington.","[{'text': 'Kaikoura', 'type': 'City/town', 'start_offset': 14, 'end_offset': 22}, {'text': 'New Zealand', 'type': 'Country', 'start_offset': 24, 'end_offset': 35}, {'text': 'Christchurch', 'type': 'City/town', 'start_offset': 92, 'end_offset': 104}, {'text': 'Wellington', 'type': 'City/town', 'start_offset': 108, 'end_offset': 118}]"
ID_797877452831756288,RT @WSJ: A tsunami threat is in effect across all of New Zealand’s east coast after a 7.8 earthquake hit the country,"[{'text': 'New Zealand', 'type': 'Country', 'start_offset': 53, 'end_offset': 64}]"
ID_797799236100177920,RT @chesterlampkin: #earthquake damage on the South Island,"[{'text': 'South Island', 'type': 'Island', 'start_offset': 46, 'end_offset': 58}]"
ID_797830509938155520,"RT @gingergemmy: Man on @radionz, top of hill nr Kaikoura, 40 odd people up the hill. Crack in road, lot of damage to property, its a bit","[{'text': 'Kaikoura', 'type': 'City/town', 'start_offset': 49, 'end_offset': 57}]"
ID_797812144771334145,"RT @WREMOinfo: For everyone else in Wellington (harbour, south coast): tsunami warning for the red zone; maps:  #eqnz","[{'text': 'Wellington', 'type': 'City/town', 'start_offset': 36, 'end_offset': 46}]"
ID_799873760979402752,"Weve donated $25k to @NZRedCross for their Nov Earthquake Appeal. If you can, please give generously:  #eqnz",[]
ID_797918377020821506,"RT @airnewsalerts: 2 killed after powerful #earthquake struck #NewZealand, residents flee following #Tsunamiwarning","[{'text': 'NewZealand', 'type': 'Country', 'start_offset': 63, 'end_offset': 73}]"
ID_797935547050180608,Indulge ice cream parlour/seamonkeez jet ski hire and the paper rain project damage in #picton #eqnz #earthquake #damage #scary,"[{'text': 'picton', 'type': 'City/town', 'start_offset': 88, 'end_offset': 94}]"
ID_800961911885996032,RT @EQKaikoura: Federated Farmers has opened their line to offers of help for affected farmers on 0800 FARMING (0800 327 646) #eqnz #kaikou,[]
ID_797917593998794752,RT @RudawEnglish: ὓ4#BREAKING: Tsunami alert issued following intense earthquake in New Zealand.,"[{'text': 'New Zealand', 'type': 'Country', 'start_offset': 84, 'end_offset': 95}]"
ID_797813862292537344,"Wow, just checking in on #eqnz reports and #tsunami warnings are coming in for all of nz, though mostly Chatham Islands, CHCH and WLGN.","[{'text': 'nz', 'type': 'Country', 'start_offset': 86, 'end_offset': 88}, {'text': 'Chatham Islands', 'type': 'Island', 'start_offset': 104, 'end_offset': 119}, {'text': 'CHCH', 'type': 'City/town', 'start_offset': 121, 'end_offset': 125}, {'text': 'WLGN', 'type': 'City/town', 'start_offset': 130, 'end_offset': 134}]"
ID_797794743082053632,"If you live on low lying ground within 1km of the coast, evacuate #chch #newzealand #christchurch #tsunami #nz #earthquake #eqnz","[{'text': 'newzealand', 'type': 'Country', 'start_offset': 73, 'end_offset': 83}]"
ID_797797564917522432,RT @nzherald: Reports to damage to bridges on state highways near Blenheim #EQNZ,"[{'text': 'Blenheim', 'type': 'City/town', 'start_offset': 66, 'end_offset': 74}]"
ID_798064160101699584,"Five-metre high tsunami wave wrecks 100-year-old historic cottage. Its a write-off, owner says. #eqnz",[]
ID_797885808308985857,Woah. Major damage on SH1.,[]
ID_797857684795949057,RT @e_heritage: Bloody good #eqnz coverage from @radionz; you can donate to the campaign to unfreeze their govt funding here,[]
ID_797852790940798976,New Zealand earthquake: evacuations as tsunami heads for east coast – live,"[{'text': 'New Zealand', 'type': 'Country', 'start_offset': 0, 'end_offset': 11}]"
ID_798788754861277184,RT @suzikyla23: Amazing shot from SH1 damage north of Kaikoura - from Kim Savage #eqnz @1NewsNZ,"[{'text': 'Kaikoura', 'type': 'City/town', 'start_offset': 54, 'end_offset': 62}]"
ID_799894915865972737,RT @NZDefenceForce: NEWS || NZDF thanks foreign crews for supporting relief:  // #eqnz #Kairoura,"[{'text': 'Kairoura', 'type': 'City/town', 'start_offset': 88, 'end_offset': 96}]"
ID_798669376249470976,Engineers reportedly evacuating a Tennyson Street apartment building in central Wellington after it was deemed unsafe. #eqnz,"[{'text': 'Tennyson Street', 'type': 'Road/street', 'start_offset': 34, 'end_offset': 49}, {'text': 'Wellington', 'type': 'City/town', 'start_offset': 80, 'end_offset': 90}]"
ID_798054392167415808,RT @7NewsSydney: At least 2 people are dead following a severe 7.5 magnitude earthquake in New Zealand. @ThomasMeadia #nzeq #7News /,"[{'text': 'New Zealand', 'type': 'Country', 'start_offset': 91, 'end_offset': 102}]"
ID_797906014997614592,"RT @jimimac_alf: Wow, some serious roading damage! #Kaikoura #SouthIsland #NZ #nzquake","[{'text': 'Kaikoura', 'type': 'City/town', 'start_offset': 52, 'end_offset': 60}, {'text': 'SouthIsland', 'type': 'Island', 'start_offset': 62, 'end_offset': 73}, {'text': 'NZ', 'type': 'Country', 'start_offset': 75, 'end_offset': 77}]"
ID_798028040940896257,"RT @NZcivildefence: Water, fuel & food has been provided to Kaikoura and @MBIEgovtnz are mobilizing structural engineers to check buildings","[{'text': 'Kaikoura', 'type': 'City/town', 'start_offset': 60, 'end_offset': 68}]"
ID_798314113126404097,Live Updates: Raw video shows floodwaters streaming out of earthquake cracks in Wellingtons destroyed roads & pipes,"[{'text': 'Wellingtons', 'type': 'City/town', 'start_offset': 80, 'end_offset': 91}]"
ID_798035758288207872,"@NZRedCross: Please donate to our special earthquake appeal. Help your neighbours, friends &amp; #1 in New Zealand","[{'text': 'New Zealand', 'type': 'Country', 'start_offset': 103, 'end_offset': 114}]"
ID_797944443382792192,RT @nzherald: All Blacks great Richie McCaw has joined the deadly earthquake rescue efforts #EQNZ,[]
ID_798331492699029504,"First earthquakes, now floods, whats next #eqnz #Wellington","[{'text': 'Wellington', 'type': 'City/town', 'start_offset': 49, 'end_offset': 59}]"
ID_798012964754206720,"Kekerengu, a beautiful part of the South Island where my grandad grew up. Hes devastated about the damage down there #eqnz","[{'text': 'Kekerengu', 'type': 'Road/street', 'start_offset': 0, 'end_offset': 9}]"
ID_798019488117424128,"Thinking of Kaikoura, those trapped on State highway 1, Nelson & Wellington affected by the 7.5 quakes in North Canterbury @1NewsNZ #eqnz","[{'text': 'Kaikoura', 'type': 'City/town', 'start_offset': 12, 'end_offset': 20}, {'text': 'highway 1', 'type': 'Road/street', 'start_offset': 45, 'end_offset': 54}, {'text': 'Nelson', 'type': 'City/town', 'start_offset': 56, 'end_offset': 62}, {'text': 'Wellington', 'type': 'City/town', 'start_offset': 65, 'end_offset': 75}, {'text': 'Canterbury', 'type': 'City/town', 'start_offset': 112, 'end_offset': 122}]"
ID_797790972058796032,"Latest: Tsunami sirens sounding here in Christchurch, evacuated due to tsunami warning following #eqnz","[{'text': 'Christchurch', 'type': 'City/town', 'start_offset': 40, 'end_offset': 52}]"
ID_798669523993776129,Aftershocks are causing buildings in Wellington to be evacuated. The earthquakes are not even centered in the Capital #EQNZ This isnt good!,"[{'text': 'Wellington', 'type': 'City/town', 'start_offset': 37, 'end_offset': 47}]"
ID_797908482875789314,Fermentation room pretty well destroyed #eqnz,[]
ID_797824209825083394,Evacuation centre in Christchurch @ Linwood College #eqnz,"[{'text': 'Christchurch', 'type': 'City/town', 'start_offset': 21, 'end_offset': 33}, {'text': 'Linwood College', 'type': 'Human-made Point-of-Interest', 'start_offset': 36, 'end_offset': 51}]"
ID_798071133761204224,RT @tubenewsen: Aerial footage shows damage in New Zealand after powerful earthquake NEWS >>  #news #post #,"[{'text': 'New Zealand', 'type': 'Country', 'start_offset': 47, 'end_offset': 58}]"
ID_797869652508483584,RT @TripleMBrisbane: NEW OVERNIGHT: New Zealand PM @johnkeypm confirms 2 people have died following 7.5mag earthquake hitting the South Isl,"[{'text': 'New Zealand', 'type': 'Country', 'start_offset': 36, 'end_offset': 47}]"
ID_798576522361585664,False alarm for Wellington building after loud creaking heard at Calendar Girls #eqnz,"[{'text': 'Wellington', 'type': 'City/town', 'start_offset': 16, 'end_offset': 26}]"
ID_798001375862931457,PHOTOS || Earthquake damage shown from the @NZAirForce NH90 down south:  // #earthquake #eqnz #newzealand,"[{'text': 'newzealand', 'type': 'Country', 'start_offset': 95, 'end_offset': 105}]"
ID_798261277768286208,Kaikoura evacuation: Sickness and travel plans determine who goes first  #eqnz,"[{'text': 'Kaikoura', 'type': 'City/town', 'start_offset': 0, 'end_offset': 8}]"
ID_797878671696478208,Any update on water supply in #brooklyn #eqnz #wgtnwaternz,"[{'text': 'brooklyn', 'type': 'District', 'start_offset': 31, 'end_offset': 39}]"
ID_797793435419713536,"RT @Rachel_Smalley: Geonet revises earthquake size - 7.5, 15km deep, 15km north-east of Culverden.#eqnz","[{'text': 'Culverden.#eqnz', 'type': 'City/town', 'start_offset': 88, 'end_offset': 103}]"
ID_797896151429095425,This building opposite the town hall took a bit more damage #eqnz,[]
ID_798277308742189056,Morning friends. Slept in clothes with emergency pack by the door in case we had to evacuate again. Thankful we didnt have to. #eqnz [1/2],[]
ID_797791136022601728,Tsunami warning sirens now activated in Christchurch low-lying areas #eqnz about time!,"[{'text': 'Christchurch', 'type': 'City/town', 'start_offset': 40, 'end_offset': 52}]"
ID_800908549194993664,Banks still lending in quake areas; 10 banks offering help to affected customers  #eqnz,[]
ID_797898986128408577,All the aftershocks Im so tired ὢ9my bookcase collapsed in my room just as I grabbed by baby and tried to gap the scene. #nocleaningup #eqnz,[]
ID_797810357444153344,If the #tsunami warning siren sounds for EXACTLY 5 mins = All clear #eqnz,[]
ID_797791037934571520,RT @kimi_collins: For Wellingtonians worried about the tsunami warning - here are the evacuation zones.  #EQNZ,[]
ID_800123848456704001,"Navy ships that supported #eqnz relief effort, including #USSSampson, sail into Wellington  via @TVONENZ","[{'text': 'Wellington', 'type': 'City/town', 'start_offset': 80, 'end_offset': 90}]"
ID_797866903981068288,If I can help anyone in #Wellington tidy up or anything please get in touch #eqnz,"[{'text': 'Wellington', 'type': 'City/town', 'start_offset': 25, 'end_offset': 35}]"
ID_798308294020317185,Military planes and ships sent to quake-affected areas  #eqnz,[]
ID_798473180436271104,US warship USS Sampson to help out with earthquake response - New Zealand Herald  #news,"[{'text': 'US', 'type': 'Country', 'start_offset': 0, 'end_offset': 2}, {'text': 'New Zealand', 'type': 'Country', 'start_offset': 62, 'end_offset': 73}]"
ID_797947094443012097,RT @morgtait: Shop fronts collapsed in Picton following 7.5 #eqnz,"[{'text': 'Picton', 'type': 'City/town', 'start_offset': 39, 'end_offset': 45}]"
ID_797790114067816449,"RT @janinekrippner: Rolling updates on the #NewZealand Earthquake here, images coming through of damage:  #eqnz ht","[{'text': 'NewZealand', 'type': 'Country', 'start_offset': 44, 'end_offset': 54}]"
ID_771465470117412864,RT @TaranakiCD: Was no tsunami risk for Taranaki after this mornings 7.1 earthquake off East Cape. Marine & beach threat elsewhere.,"[{'text': 'Taranaki', 'type': 'City/town', 'start_offset': 40, 'end_offset': 48}, {'text': 'East Cape', 'type': 'City/town', 'start_offset': 88, 'end_offset': 97}]"
ID_797844472310566912,RT @Jenevyy: Extensive damage reported. TVNZ strongly advises to avoid driving out bc roads may not be there anymore #eqnz,[]
ID_797863496541048832,Our little country #NewZealand gets hit with a 7.9 #earthquake and triggers #tsunami waves. Here in #Napier all OK. #NapierNews #Hawkesbay,"[{'text': 'NewZealand', 'type': 'Country', 'start_offset': 20, 'end_offset': 30}, {'text': 'Napier', 'type': 'City/town', 'start_offset': 101, 'end_offset': 107}]"
ID_797910646398431232,Raglan water supply still affected. Please conserve water. Only use for drinking. You do not need to boil it.  #eqnz,[]
ID_798640527323197440,Pls help our furry friends #eqnz,[]
ID_797923912323452928,Acting Civil Defence Minister Gerry Brownlee says we will have a fuller understanding of how badly roads are damaged later today #eqnz,[]
ID_798814786888744961,UCs Student Volunteer Army has activated its emergency response plan & is ready to lend a hand:  #earthquake #eqnz,[]
ID_797953098694000641,It is okay @MetService says water delivery on way,[]
ID_771547781747974145,There was a 7.1 magnitude earthquake back home & tsunami warnings have been made - dont worry too much my kiwis. You guys know the drill!!,[]
