tweet_id,text,location_mentions
ID_911993989028548609,RT @ISRAEL21C: The IDF & Israeli aid agencies send emergency response teams and aid to #Mexico following 7.1 magnitude earthquake. /,"[{'text': 'Mexico', 'type': 'Country', 'start_offset': 88, 'end_offset': 94}]"
ID_910703073600856064,"RT @georgelopez: Footage of the destruction of todays earthquake in #mexico , the fear in the voices and the","[{'text': 'mexico', 'type': 'Country', 'start_offset': 69, 'end_offset': 75}]"
ID_911622380774215680,.@ShawnMendes has such a good heart. Hes donating $100k to Mexico & launching a fundraiser for earthquake relief  ♥️,"[{'text': 'Mexico', 'type': 'Country', 'start_offset': 59, 'end_offset': 65}]"
ID_911689050377121792,Careful where you donate. Topos is a free organization. My family and friends took matters in their own hands to help #MexicoEarthquake,[]
ID_910788907226288128,Among the Mexico City Earthquake Victims: 21 Schoolkids,"[{'text': 'Mexico', 'type': 'Country', 'start_offset': 10, 'end_offset': 16}]"
ID_910583933951131648,"If you want to donate/help, @topos is helping rescue people from the collapsed buildings in Mexico due to earthquake. ἟2἟D❤️ How to donate:","[{'text': 'Mexico', 'type': 'Country', 'start_offset': 92, 'end_offset': 98}]"
ID_912308664731660289,#marvellous997 WATCH: Dog rescued from rubble 6 days after Mexico earthquake: The dog was,"[{'text': 'Mexico', 'type': 'Country', 'start_offset': 59, 'end_offset': 65}]"
ID_910618195475668992,RT @Bitso: International #crypto community please help #Mexico #earthquake fundraising efforts $btc $eth $xrp #BitcoinAidMexico,"[{'text': 'Mexico', 'type': 'Country', 'start_offset': 56, 'end_offset': 62}]"
ID_910534162444115968,NEWS: Rescuers continue to search for survivors after yesterdays 7.1-magnitude earthquake in Mexico City. At least 200 people have died.,"[{'text': 'Mexico City', 'type': 'City/town', 'start_offset': 93, 'end_offset': 104}]"
ID_911966031609860097,"Edited version of @shawnmendes #MexicoEarthquake appeal video. The message stands, donate all you can at",[]
ID_910538755274133504,"AWESOME, WHAT A GENTLEMAN hope many of his mega millionare colleagues also donate im sure a few hundred thousand dollars wont hurt there pay",[]
ID_914565577179635714,"@bemeapp @jakerawr Why dont you go to Oaxaca, Mexico? The earthquake was 8.2 there, the biggest in 100 years and theres a lot of people needing help! :)","[{'text': 'Oaxaca', 'type': 'State', 'start_offset': 38, 'end_offset': 44}, {'text': 'Mexico', 'type': 'Country', 'start_offset': 46, 'end_offset': 52}]"
ID_910560481097613312,RT @cnni: Dozens were killed in a powerful earthquake that rocked Mexico City and surrounding states,"[{'text': 'Mexico City', 'type': 'City/town', 'start_offset': 66, 'end_offset': 77}]"
ID_912202339955683328,"὏7 awwww-cute: This is Frida”, she has saved 52 people so far in Mexico’s Earthquake (Source:","[{'text': 'Mexico', 'type': 'Country', 'start_offset': 65, 'end_offset': 71}]"
ID_910537942011043841,RT @UNICEF: Heroic rescue efforts after powerful earthquake hits #Mexico. Thoughts are with everyone affected @guardian,"[{'text': 'Mexico', 'type': 'Country', 'start_offset': 66, 'end_offset': 72}]"
ID_910537800289746944,RT @webcamsdemexico: MT @ABC: Drone footage shows destruction in Mexico City caused by the 7.1m earthquake;  :,"[{'text': 'Mexico City', 'type': 'City/town', 'start_offset': 65, 'end_offset': 76}]"
ID_910708803427094529,"@fjamie013 can you help make this guy look like the hero he is, helping on Mexico City earthquake","[{'text': 'Mexico City', 'type': 'City/town', 'start_offset': 75, 'end_offset': 86}]"
ID_911954871724707842,"Frida, the rescue dog who is helping search for survivors following a series of earthquakes in Mx.  #MéxicoFuerte","[{'text': 'Mx', 'type': 'Country', 'start_offset': 95, 'end_offset': 97}]"
ID_913615213076692992,RT @rrritualzzz: new track out now:  - buy the full album to help victims of the 09/19 earthquake in central mexico,"[{'text': 'mexico', 'type': 'Country', 'start_offset': 109, 'end_offset': 115}]"
ID_910676438486999040,"RT @ValeriaVictorie: Now its your turn @tim_cook México has always been a great place for your businnes, now we need you to help. ἟2἟Dὄ0 http","[{'text': 'México', 'type': 'Country', 'start_offset': 49, 'end_offset': 55}]"
ID_911947618623922181,RT @DoreenColondres: México needs our help as well!!! Donate at least $1 ὤFἿC Check this list,"[{'text': 'México', 'type': 'Country', 'start_offset': 21, 'end_offset': 27}]"
ID_910752485865775104,Search and rescue work continues across Mexico City in wake of massive earthquake,"[{'text': 'Mexico City', 'type': 'City/town', 'start_offset': 40, 'end_offset': 51}]"
ID_912094443657945088,We urge you to donate to @Fund_CarlosSlim to help rescuing and reconstruction efforts in Mexico after the earthquake #MexicoEarthquakeRelief,"[{'text': 'Mexico', 'type': 'Country', 'start_offset': 89, 'end_offset': 95}]"
ID_912022497301630976,RT @GigiGraciette: In Mexico City alone 180 people have died in the #MexicoEarthquake including 28 children. Ὁ4@foxla,"[{'text': 'Mexico', 'type': 'Country', 'start_offset': 22, 'end_offset': 28}]"
ID_911700055253557248,"At 1st sight, a homeless family on the streets. In the background, a group of people donating goods for the earthquake victims in Mexico","[{'text': 'Mexico', 'type': 'Country', 'start_offset': 130, 'end_offset': 136}]"
ID_910705394045145088,Photos: At least 20 children dead after school collapses in Mexico City earthquake  via @9janewsmag,"[{'text': 'Mexico', 'type': 'City/town', 'start_offset': 60, 'end_offset': 66}]"
ID_911704442101227522,RT @APEntertainment: HELPING HAND: @ShawnMendes donates $100k to Mexican earthquake relief; was in Mexico City when it hit,"[{'text': 'Mexico', 'type': 'City/town', 'start_offset': 99, 'end_offset': 105}]"
ID_911805022849007618,#Earthquake #Mexico #CDMX Proud to see the amount of civilians volunteering in the rescue efforts in Mexico City. #FuerzaMexico,"[{'text': 'Mexico', 'type': 'Country', 'start_offset': 13, 'end_offset': 19}, {'text': 'Mexico City', 'type': 'City/town', 'start_offset': 101, 'end_offset': 112}]"
ID_912170393879957504,"Earthquake aftershocks rock #Mexico, over 300 killed. Photos of damage here:  Meanwhile, Tropical Storm #Pilar forms.","[{'text': 'Mexico', 'type': 'Country', 'start_offset': 29, 'end_offset': 35}]"
ID_913014240826576897,"Damage assessment of La Galarza after the #earthquake in #Mexico, imaged with #Pleiades on 22 January:","[{'text': 'La Galarza', 'type': 'City/town', 'start_offset': 21, 'end_offset': 31}, {'text': 'Mexico', 'type': 'Country', 'start_offset': 58, 'end_offset': 64}]"
ID_911774396049690624,RT @WeatherNation: BREAKING: A 6.1 magnitude #earthquake was reported in #Mexico this morning. Days after a 7.1 killed hundreds. .,"[{'text': 'Mexico', 'type': 'Country', 'start_offset': 74, 'end_offset': 80}]"
ID_915261931820371969,Our friends of @IRRI_Mexico @IslaUrbana @ConcentrArte are raising funds to rebuild communities affected by the earthquake in #Mexico,"[{'text': 'Mexico', 'type': 'Country', 'start_offset': 126, 'end_offset': 132}]"
ID_915290190737940480,The death toll from last months magnitude 7.1 earthquake in #Mexico has risen by 3 to 366 people.,"[{'text': 'Mexico', 'type': 'Country', 'start_offset': 61, 'end_offset': 67}]"
ID_912215173024198657,"#Taiwan pledges US$100,000 toward #Mexico #earthquake relief efforts","[{'text': 'Taiwan', 'type': 'Country', 'start_offset': 1, 'end_offset': 7}, {'text': 'Mexico', 'type': 'Country', 'start_offset': 35, 'end_offset': 41}]"
ID_913072451973652481,Message from @BigBrian619 one of our #ThunderAlley organizers. We thank you for helping us raise $1300 in earthquake relief to Mexico ἟2἟DὤFἿD,"[{'text': 'Mexico', 'type': 'Country', 'start_offset': 127, 'end_offset': 133}]"
ID_912308563921522688,RT @SwissHumAidUnit: Our team continues the assessment of buildings at risk after the #MexicoEarthquake,[]
ID_910614469075656704,@Aledles @ProjectPaz has a page in english and you chose to donate to people affected by the Earthquake of the 7th or 19th,[]
ID_914484698642075648,"RT @theamadoor: choice to aid those in dire situations such as Hurricane Maria in Puerto Rico and or the earthquake in Mexico, will satisfy","[{'text': 'Puerto Rico', 'type': 'Island', 'start_offset': 82, 'end_offset': 93}, {'text': 'Mexico', 'type': 'Country', 'start_offset': 119, 'end_offset': 125}]"
ID_910537970041610241,"Mexico earthquake: Death toll rises to at least 217 people, including school children found","[{'text': 'Mexico', 'type': 'Country', 'start_offset': 0, 'end_offset': 6}]"
ID_910636964545576960,For Mexico: #Israel sends team of 60 to help with search and rescue missions after the earthquake that hit Mexico City.,"[{'text': 'Mexico', 'type': 'Country', 'start_offset': 4, 'end_offset': 10}, {'text': 'Israel', 'type': 'Country', 'start_offset': 13, 'end_offset': 19}, {'text': 'Mexico City', 'type': 'City/town', 'start_offset': 107, 'end_offset': 118}]"
ID_914904039762034691,¡Last day to cop VIVA MEXICO tote bags! $22 n all profits (~$19/bag) ➡️ @FondoUnidoMx s earthquake relief fund! ὄ9,"[{'text': 'MEXICO', 'type': 'Country', 'start_offset': 22, 'end_offset': 28}]"
ID_912294025658544129,"RT @anttentionmedia: Mexico Earthquake, Building Collapse when hit by 7 1 Magnitude Earthquake:  via @YouTube","[{'text': 'Mexico', 'type': 'Country', 'start_offset': 21, 'end_offset': 27}]"
ID_910537790768795648,The earthquake devastation in Mexico is catastrophic. Please consider a small aid donation:  #helpmexico #vivamexico,"[{'text': 'Mexico', 'type': 'Country', 'start_offset': 30, 'end_offset': 36}]"
ID_914338653043810305,SD Students Hold Concert for Victims of Mexico Earthquake,"[{'text': 'Mexico', 'type': 'Country', 'start_offset': 40, 'end_offset': 46}]"
ID_910537222432182272,Rescues are underway in Mexico City after the 7.1-magnitude earthquake near the city that left more than 200 dead,"[{'text': 'Mexico', 'type': 'City/town', 'start_offset': 24, 'end_offset': 30}]"
ID_912045569442324480,.@HSI_Mexico is rushing to help animals after the #earthquake. Pls donate to our international disaster relief fund,[]
ID_913804396076654593,"In the aftermath of the #earthquake s tragedy in #Mexico, several countries supported efforts towards rescuing of victims. Many thanks!@AFP","[{'text': 'Mexico', 'type': 'Country', 'start_offset': 50, 'end_offset': 56}]"
ID_910632866551402496,"RT @ThePerezHilton: More than 200 dead, were now told, victims of the earthquake in Mexico yesterday. ὡ4 #FuerzaMexico ὤF","[{'text': 'Mexico', 'type': 'Country', 'start_offset': 84, 'end_offset': 90}]"
ID_910580507154485248,Where to Donate to Mexico Earthquake Victims  #news #mexico,"[{'text': 'Mexico', 'type': 'Country', 'start_offset': 19, 'end_offset': 25}, {'text': 'mexico', 'type': 'Country', 'start_offset': 53, 'end_offset': 59}]"
ID_911812022295306240,@envidiadetodos @alynmon @SilviaCarlova @TelevisaApesta_ @Paul_Pellon @soyNorma__ @hekglez @CaradeMarciano @adiazpi @Angelik9091 @canallasforever Y es por eso que: Mexicans arent counting on the government to rescue them. Theyre saving themselves,[]
ID_911747535760429056,"@tealdiamonds23 @BeckieJBrown Hi Renée my country is in pain, an earthquake destroyed cities, please help me share this campaign for donations",[]
ID_910558715102715904,Earthquake in Mexico: More than 200 dead as rescue efforts in Mexico City continue - By Joshua Partlow (The Washingt,"[{'text': 'Mexico', 'type': 'Country', 'start_offset': 14, 'end_offset': 20}, {'text': 'Mexico City', 'type': 'City/town', 'start_offset': 62, 'end_offset': 73}]"
ID_914276525129728001,#Cuba send 19 doctors and 18 other #health workers to help people in #Oaxaca #Mexico after #earthquake #solidarity #Japan #mexicoearthquake,"[{'text': 'Cuba', 'type': 'Country', 'start_offset': 1, 'end_offset': 5}, {'text': 'Oaxaca', 'type': 'State', 'start_offset': 70, 'end_offset': 76}, {'text': 'Mexico', 'type': 'Country', 'start_offset': 78, 'end_offset': 84}, {'text': 'Japan', 'type': 'Country', 'start_offset': 116, 'end_offset': 121}]"
ID_910635842313392129,RT @austratalks: Donate to this earthquake rescue team in Mexico ❤❤❤,"[{'text': 'Mexico', 'type': 'Country', 'start_offset': 58, 'end_offset': 64}]"
ID_915073998735556608,"Welcome to Thailand Ambassador Meir Shlomo, and thank you again for Israels rescue mission after the terrible earthquake in Mexico City","[{'text': 'Thailand', 'type': 'Country', 'start_offset': 11, 'end_offset': 19}, {'text': 'Israels', 'type': 'Country', 'start_offset': 68, 'end_offset': 75}, {'text': 'Mexico City', 'type': 'City/town', 'start_offset': 124, 'end_offset': 135}]"
ID_910645664782082048,RT @SaladsPV: Mexico: Dona a las victimas del Terremoto. Donate to the victims of the Earthquake.,"[{'text': 'Mexico', 'type': 'Country', 'start_offset': 14, 'end_offset': 20}]"
ID_915239305609592832,RT @Ambulante: Join us to help the people affected by the earthquake. Donate and Share! #LevantemosMéxico,[]
ID_911745657274322953,@BeckieJBrown A lot of people in my city is in psychology distress because of the awful earthquake help me help them please  share,[]
ID_910537876491837441,21 children crushed beneath a school in Mexico’s powerful 7.1-magnitude earthquake,"[{'text': 'Mexico', 'type': 'Country', 'start_offset': 40, 'end_offset': 46}]"
ID_911972249837727744,@WenzelGear is there a possibility to find special prices for tents for the ppl in need in Mexico after earthquake? We want to buy a lot.,"[{'text': 'Mexico', 'type': 'Country', 'start_offset': 91, 'end_offset': 97}]"
ID_911717059490402304,"A dog is pulled from the rubble in Mexico City,hours after a deadly earthquake hit the 7.1magnitude quake has left at least 225 ppl deadὤFὉ4","[{'text': 'Mexico City', 'type': 'City/town', 'start_offset': 35, 'end_offset': 46}]"
ID_915274511133659138,RT @fronterasdesk: ICYMI: AZ businesses are continuing to donate toward relief for the earthquake that struck central Mexico. /,"[{'text': 'Mexico', 'type': 'Country', 'start_offset': 118, 'end_offset': 124}]"
ID_910536325605888000,48 People Dead In Mexico’s Earthquake -,"[{'text': 'Mexico', 'type': 'Country', 'start_offset': 18, 'end_offset': 24}]"
ID_910681158932824064,RT @NBCNews: Desperate rescuers dig through rubble after powerful Mexico earthquake. See more:,"[{'text': 'Mexico', 'type': 'Country', 'start_offset': 66, 'end_offset': 72}]"
ID_910688098928996352,RT @monarobot: Donate to help the relief and rescue efforts after the #earthquake in Mexico! ✊ἿC἟2἟D donate/RT if you can!,"[{'text': 'Mexico', 'type': 'Country', 'start_offset': 85, 'end_offset': 91}]"
ID_914896986771357697,"Today. I just wanted to thank to all rescuers dogs in last earthquake in Mexico, but I want to give condolence to Vagas city @USEmbassyMEX","[{'text': 'Mexico', 'type': 'Country', 'start_offset': 73, 'end_offset': 79}]"
ID_911623692622348290,"RT @Focus_Taiwan: Taiwan to donate US$100,000 to Mexico for earthquake relief","[{'text': 'Mexico', 'type': 'Country', 'start_offset': 49, 'end_offset': 55}]"
ID_911780927306530817,RT @palomahecht: You can also donate to WE ARE ONE MEXICO fundraiser  PLEASE DONATE & SHARE #WAOXMEXICO,"[{'text': 'MEXICO', 'type': 'Country', 'start_offset': 51, 'end_offset': 57}]"
ID_910560404476108801,"RT @BBCBreaking: More than 100 people have been killed in the 7.1 magnitude earthquake that hit central Mexico, officials say /","[{'text': 'Mexico', 'type': 'Country', 'start_offset': 104, 'end_offset': 110}]"
ID_911871108072247297,PHOTOS: Rescuers Tirelessly Search For Earthquake Victims in Mexico City  @AP_Images @AFPphoto @GettyImages,"[{'text': 'Mexico City', 'type': 'City/town', 'start_offset': 61, 'end_offset': 72}]"
ID_914200684643344384,@JoeFreedomLove This are Cuban doctors in Mexico to aid after earthquake!,"[{'text': 'Mexico', 'type': 'Country', 'start_offset': 42, 'end_offset': 48}]"
ID_912028482703634432,RT @therealfredo: #NJPW has started collecting donations at their events to help Mexicos earthquake victims.,"[{'text': 'Mexicos', 'type': 'Country', 'start_offset': 81, 'end_offset': 88}]"
ID_911732600347258880,"Four days after the deadly earthquake in #Mexico, rescue workers continue to search for life in","[{'text': 'Mexico', 'type': 'Country', 'start_offset': 42, 'end_offset': 48}]"
ID_915184212403277825,RT @bigbarkerusa: Rescuers Save Dog Trapped Under Rubble After Mexico’s Earthquake” ὣ1἟2἟D,"[{'text': 'Mexico', 'type': 'Country', 'start_offset': 63, 'end_offset': 69}]"
ID_912431982071635968,"RT @chrstphr_woody: 3,000 buildings, including 20-story towers, in Mexico City are at risk of collapse a week after a 7.1 earthquake hit ht","[{'text': 'Mexico City', 'type': 'City/town', 'start_offset': 67, 'end_offset': 78}]"
ID_910571782737768451,Check it out! I donated to Mexico Earthquake Relief #FuerzaMexico #PrayForMexico #Donate  via @CrowdRise,"[{'text': 'Mexico', 'type': 'Country', 'start_offset': 27, 'end_offset': 33}]"
ID_910546495463501824,"RT @karla_vt: FRIENDS! PLEASE DONATE! ITS SO EASY. Just type Mexico Earthquake on Google search bar, and then click Yes, donate. PLEAS","[{'text': 'Mexico', 'type': 'Country', 'start_offset': 61, 'end_offset': 67}]"
ID_910608246154637314,New story on NPR: Search Continues For School Children After Mexico City Earthquake,"[{'text': 'Mexico City', 'type': 'City/town', 'start_offset': 61, 'end_offset': 72}]"
ID_910611472249737218,Cant get over the devastation of this earthquake. ὢD praying for more survivors to be rescued today in Mexico City,"[{'text': 'Mexico City', 'type': 'City/town', 'start_offset': 103, 'end_offset': 114}]"
ID_910708831507726337,RT @ChuckWeber12: Dramatic video from Mexico City. Two children rescued from earthquake-damaged school.,"[{'text': 'Mexico City', 'type': 'City/town', 'start_offset': 38, 'end_offset': 49}]"
