tweet_id,text,location_mentions
ID_871963440625201152,"Korean actress Lee Young-ae know as ‘Changumi’ made a contribution of USD 50,000 to support flood relief efforts in Sri Lanka","[{'text': 'Sri Lanka', 'type': 'Country', 'start_offset': 116, 'end_offset': 125}]"
ID_881384379469234176,RT @Vidiyallk: Government seeks #world aid for #FloodRelief; 4 ministers appointed to work out plans for donor conference in #Colombo short,"[{'text': 'Colombo', 'type': 'City/town', 'start_offset': 126, 'end_offset': 133}]"
ID_870876115434299392,First phase of the @IMCD_officials #FloodRelief program is over. Please direct dry ration donations to Rathmalana Air Force Camp. #FloodSL,"[{'text': 'Rathmalana', 'type': 'Neighborhood', 'start_offset': 103, 'end_offset': 113}]"
ID_874162932837306368,ADB grants USD$ 2m as recent disaster relief aid #lka #srilanka #flood @ADB_HQ,"[{'text': 'srilanka', 'type': 'Country', 'start_offset': 55, 'end_offset': 63}]"
ID_870193112882135045,"#FloodSL situation report as of 0900 hrs, 31.05.2017 - 202 confirmed deaths, 96 still missing, 629,742 people affected. #lka via @dmc_lk",[]
ID_872058574146596865,RT @Ali_answers: #PakistanNavy providing relief goods to the #flood hit areas of #colombo during a #rescue operation #srilanka ἟5἟0἟1἟0,"[{'text': 'srilanka', 'type': 'Country', 'start_offset': 118, 'end_offset': 126}]"
ID_870613784888475649,"Restart family packs for those returning home - money or cash donations can be dropped off at Anim8, Thimbirigasyaya. #FloodSL #LKA",[]
ID_871882187406286848,Bangladesh donates US $500000 for Sri Lanka flood victims  #news,"[{'text': 'Bangladesh', 'type': 'Country', 'start_offset': 0, 'end_offset': 10}, {'text': 'Sri Lanka', 'type': 'Country', 'start_offset': 34, 'end_offset': 43}]"
ID_870359598640660480,"In #Gampaha our volunteers conducted a #firstaid camp for flood affected in Dompe & Biyagama, supported by @CocaColaLK. #LKA #FloodSL","[{'text': 'Gampaha', 'type': 'City/town', 'start_offset': 4, 'end_offset': 11}]"
ID_873507130816516098,Puravesi Athwela humanitarian train travelled from North to South of #SriLanka carrying relief goods for the flood victims in the South.,"[{'text': 'SriLanka', 'type': 'Country', 'start_offset': 70, 'end_offset': 78}]"
ID_878173887871299585,RT @LiveRiceIndex: The U.N. warns that a severe drought followed by floods has affected #rice production in #SriLanka,"[{'text': 'SriLanka', 'type': 'Country', 'start_offset': 109, 'end_offset': 117}]"
ID_871669889920102400,#EU #humanitarian partners are distributing #emergency relief items & assessing further needs after #SriLanka #floods #FloodSL,"[{'text': 'SriLanka', 'type': 'Country', 'start_offset': 101, 'end_offset': 109}]"
ID_870308502262108160,When volunteer orgs are more forthcoming with their transactions than some govt. offices when presented with RTI requests. #FloodSL #lka,"[{'text': 'lka', 'type': 'Country', 'start_offset': 133, 'end_offset': 136}]"
