tweet_id,plain_text,xml_text
ID_1061497252806414336,"Please read below!! Another devastating fire has hit Northern California, people need help, whatever you can give, or anyway you can help, please doὤF!!","Please read below!! Another devastating fire has hit <STATE>Northern California</STATE>, people need help, whatever you can give, or anyway you can help, please doὤF!!"
ID_1061165982855634944,Celebrities evacuate California as wildfires rage,Celebrities evacuate <STATE>California</STATE> as wildfires rage
ID_1064248785914732544,"Grab one of these and HELP victims of California Fires! ✅Get them here -  ὄ8 They REALLY need our help! Today they need our help, tomorrow it might be you! Ἑ8100% of profits go to Victims! #CaliforniaFires #California #Firefighters #FBRParty #FBR","Grab one of these and HELP victims of <STATE>California</STATE> Fires! ✅Get them here -  ὄ8 They REALLY need our help! Today they need our help, tomorrow it might be you! Ἑ8100% of profits go to Victims! #CaliforniaFires #<STATE>California</STATE> #Firefighters #FBRParty #FBR"
ID_1061160485364613121,the camp fire in Paradise California is growing way too fast. Many people have gone missing and are trapped. Please be praying for all those who have lost loved ones and their homes.,the camp fire in <CITY>Paradise</CITY> <STATE>California</STATE> is growing way too fast. Many people have gone missing and are trapped. Please be praying for all those who have lost loved ones and their homes.
ID_1066508972650311682,"The area of documented destruction in the #CampFire zone widens. Almost 14,000 homes have been reported destroyed.","The area of documented destruction in the #CampFire zone widens. Almost 14,000 homes have been reported destroyed."
ID_1065764828629921798,RT @kytxcbs19: Oncor sending more than 100 Texas employees to aid in Camp Fire,RT @kytxcbs19: Oncor sending more than 100 <STATE>Texas</STATE> employees to aid in Camp Fire
ID_1065315796245757960,"SierraNevada: CaptCaveDave SideProjectBrew Hi Dave, for long-term support, we have set up a Sierra Nevada Camp Fire Relief Fund. The brewery is seeding this fund with an initial $100,000 to start. To help support this long-term effort, visit  and select","SierraNevada: CaptCaveDave SideProjectBrew Hi Dave, for long-term support, we have set up a <NATURAL-POINT-OF-INTEREST>Sierra Nevada</NATURAL-POINT-OF-INTEREST> Camp Fire Relief Fund. The brewery is seeding this fund with an initial $100,000 to start. To help support this long-term effort, visit  and select"
ID_1063139373724643329,48 people confirmed dead in CAs historicslly WORST EVER CAMP FIRE ENVIRONMENTAL EPIDEMIOLOGISTS ( real smart environmental doctors) expect that this and future fires will cause smoke waves thatll screw air quality for 82million Americans from Oregon to the Great Plains,48 people confirmed dead in CAs historicslly WORST EVER CAMP FIRE ENVIRONMENTAL EPIDEMIOLOGISTS ( real smart environmental doctors) expect that this and future fires will cause smoke waves thatll screw air quality for 82million Americans from <STATE>Oregon</STATE> to the Great Plains
ID_1061306586683953152,BCSO reports an additional four fatalities have been confirmed due to the Camp Fire. The victims were located in the Paradise area. One person was found inside a residence and three were found outside of residences. This brings the total number of fatalities to date to nine.,BCSO reports an additional four fatalities have been confirmed due to the Camp Fire. The victims were located in the Paradise area. One person was found inside a residence and three were found outside of residences. This brings the total number of fatalities to date to nine.
ID_1062099699253952512,Morning Update: Californias Wildfires Lead To 31 Deaths - BuzzFeed News,Morning Update: <STATE>Californias</STATE> Wildfires Lead To 31 Deaths - BuzzFeed News
ID_1062224201220710400,"Death toll from Northern California fire jumps to 42, making it worst in state history - Ans of course all will blame Trump cuz your idiots","Death toll from Northern <STATE>California</STATE> fire jumps to 42, making it worst in state history - Ans of course all will blame Trump cuz your idiots"
ID_1061716200013611008,"Authorities called in a mobile DNA lab to help identify the dead in California’s recent wildfire. Currently at 25, the death toll is expected to rise.","Authorities called in a mobile DNA lab to help identify the dead in <STATE>California</STATE>’s recent wildfire. Currently at 25, the death toll is expected to rise."
ID_1062069574328291330,"The death toll in Northern Californias massive wildfire climbed to 29, making it the deadliest wildfire in the history of California. #CaliforniaFires #CampFire #wildfires Here are some before-and-after pictures from USA Today:","The death toll in Northern <STATE>Californias</STATE> massive wildfire climbed to 29, making it the deadliest wildfire in the history of <STATE>California</STATE>. #CaliforniaFires #CampFire #wildfires Here are some before-and-after pictures from <COUNTRY>USA</COUNTRY> Today:"
ID_1064776392695525377,"Thank you, my dear friend @MissNyetTrump for sharing this info. Below is one way we can all chip in to make the holidays a bit more special for the children affected by the Camp Fire. Just imagine if we each donated one toy. #CaliforniaFires #SeasonofGiving #ActsofKindness","Thank you, my dear friend @MissNyetTrump for sharing this info. Below is one way we can all chip in to make the holidays a bit more special for the children affected by the Camp Fire. Just imagine if we each donated one toy. #CaliforniaFires #SeasonofGiving #ActsofKindness"
ID_1065463239507501061,Light right falling Wednesday in some areas of Northern California could aid crews fighting a deadly wildfire while raising the risk of flash floods and complicating efforts to recover the remains of those killed.,Light right falling Wednesday in some areas of Northern <STATE>California</STATE> could aid crews fighting a deadly wildfire while raising the risk of flash floods and complicating efforts to recover the remains of those killed.
ID_1064462402287214592,"The California #CampFire has destroyed more than 10,500 homes. More than 1,000 people are still unaccounted for. And rain is in the midweek forecast, which could complicate searches.","The <STATE>California</STATE> #CampFire has destroyed more than 10,500 homes. More than 1,000 people are still unaccounted for. And rain is in the midweek forecast, which could complicate searches."
ID_1064997577270018049,.@AnaheimFire and @orange_city_fd are participating in the rescue and recovery efforts at the Camp Fire in @CountyofButte #ButteStrong #ParadiseStrong,.@AnaheimFire and @orange_city_fd are participating in the rescue and recovery efforts at the Camp Fire in @CountyofButte #ButteStrong #ParadiseStrong
ID_1065458065338654720,"Hey friends, Aaron Rogers and State Farm have teamed up to help those who have lost their homes and loved ones in the California fires. They will donate $1.00 to the relief fund for each retweet. Tweet away friends for a great cause!","Hey friends, Aaron Rogers and State Farm have teamed up to help those who have lost their homes and loved ones in the <STATE>California</STATE> fires. They will donate $1.00 to the relief fund for each retweet. Tweet away friends for a great cause!"
ID_1062044991650844672,UPDATES FOR THE CAMP AND WOOLSEY FIRES IN CALIFORNIA FOR 11/12 AT 10 AM CAMP FIRE - Here is the very latest information for the Camp Fire outside Chico in Northern California. The death toll from the fire is,UPDATES FOR THE CAMP AND WOOLSEY FIRES IN <STATE>CALIFORNIA</STATE> FOR 11/12 AT 10 AM CAMP FIRE - Here is the very latest information for the Camp Fire outside Chico in <STATE>Northern California</STATE>. The death toll from the fire is
ID_1062097704946302976,"Death toll rising, hundreds missing in record-breaking California wildfires.  @Miguelnbc has the latest tonight on @NBCNightlyNews.","Death toll rising, hundreds missing in record-breaking <STATE>California</STATE> wildfires.  @Miguelnbc has the latest tonight on @NBCNightlyNews."
