tweet_id,plain_text,xml_text
ID_729466993276010501,"Tim Hortons 100% of Alberta Rose Doughnuts & Donates $100,000 to Fort McMurray Wildfire Relief Efforts","Tim Hortons 100% of Alberta Rose Doughnuts & Donates $100,000 to Fort McMurray Wildfire Relief Efforts"
ID_729798823640338434,RT @ConserveAlberta: Alberta has issued a province wide restriction on off-road vehicles to prevent fires.  #Alberta,RT @ConserveAlberta: <CITY>Alberta</CITY> has issued a province wide restriction on off-road vehicles to prevent fires.  #<CITY>Alberta</CITY>
ID_732373855717613568,Donate to Fort Mac wildfire relief:  #yymfire #ABfire #AlbertaStrong,Donate to Fort Mac wildfire relief:  #yymfire #ABfire #AlbertaStrong
ID_729138127500120064,"RT @ImpactBrassSA: Thank you to everyone who came out to support us! Over $2,000 was raised tonight for wildfire relief efforts out west!","RT @ImpactBrassSA: Thank you to everyone who came out to support us! Over $2,000 was raised tonight for wildfire relief efforts out west!"
ID_732177851928076292,#YMM evacuees phoned for massive town halls,#YMM evacuees phoned for massive town halls
ID_728636559004708864,Labatt to help those affected by Fort McMurray wildfire  ὄFἿBὄFἿBὄFἿB #FortMcMurray #LCBO,Labatt to help those affected by <OTHER-LOCATIONS>Fort McMurray</OTHER-LOCATIONS> wildfire  ὄFἿBὄFἿBὄFἿB #<CITY>FortMcMurray</CITY> #LCBO
ID_728601875444944897,@atbfinancial 2/2 the wildfire situation if I were to win please donate it to the Red Cross #FriendshipPays,@atbfinancial 2/2 the wildfire situation if I were to win please donate it to the Red Cross #FriendshipPays
ID_730880615222902784,Dont forget that for the entire month of May @MCRCI will donate $5 of every membership to Fort McMurray wildfire,Dont forget that for the entire month of May @MCRCI will donate $5 of every membership to <CITY>Fort McMurray</CITY> wildfire
ID_729479998847901696,"RT @bbdd333: As wildfire crisis unfolds, the displaced turn to @RMWoodBuffalo. #SMEM helping people in #ymmfire.  #v","RT @bbdd333: As wildfire crisis unfolds, the displaced turn to @RMWoodBuffalo. #SMEM helping people in #ymmfire.  #v"
ID_728644581038788608,12 buildings destroyed in Anzac.#ymm #ymmfire,12 buildings destroyed in Anzac.#ymm #ymmfire
ID_734119930619011072,Community coalition in aid of Albert wildfire was built for fundraising event.,Community coalition in aid of <CITY>Albert</CITY> wildfire was built for fundraising event.
ID_728825504711647232,Tragic what happend up there so many homes gone,Tragic what happend up there so many homes gone
ID_730455578921684992,GPREP continues to support evacuees and the communities affected by the Fort McMurray wildfire.,GPREP continues to support evacuees and the communities affected by the Fort McMurray wildfire.
ID_732581458200629248,RT @BikerEntourage: Canadian bikers ride to raise funds for wildfire victims,RT @BikerEntourage: <COUNTRY>Canadian</COUNTRY> bikers ride to raise funds for wildfire victims
ID_728606357960704006,RT @albertachambers: Fort McMurray Wildfire and ACC Chamber Relief Fund #abbiz,RT @albertachambers: <HUMAN-MADE-POINT-OF-INTEREST>Fort McMurray Wildfire</HUMAN-MADE-POINT-OF-INTEREST> and ACC Chamber Relief Fund #abbiz
ID_728895452565876736,"Alberta Wildfire grows to 1,010 sq. km. 10s of thousands displaced. Donations:","<STATE>Alberta</STATE> Wildfire grows to 1,010 sq. km. 10s of thousands displaced. Donations:"
ID_728766323124256768,".@Classified to donate profits from his new single, Work Away to the Alberta wildfire relief effort. - @MrDRadio",".@Classified to donate profits from his new single, Work Away to the <CITY>Alberta</CITY> wildfire relief effort. - @MrDRadio"
ID_729705130627465217,"PMTC makes a donation to help Fort Mac wildfire victims, asks members to do the same: MILTON, Ont. — The Priv","PMTC makes a donation to help Fort Mac wildfire victims, asks members to do the same: MILTON, Ont. — The Priv"
ID_728645941742473216,Latest on fire damage and progress #ymmfire,Latest on fire damage and progress #ymmfire
ID_731962337788362752,Satellite Imagery of Fort McMurray Wildfire Damage,Satellite Imagery of <CITY>Fort McMurray</CITY> Wildfire Damage
ID_732627454720778240,"RT @mniype: UPDATE: Two home explosions in Fort McMurray, work camp destroyed and others threatened as wildfire grows. #ymmfire","RT @mniype: UPDATE: Two home explosions in <CITY>Fort McMurray</CITY>, work camp destroyed and others threatened as wildfire grows. #ymmfire"
ID_735560338121228288,"RT @TrentSevernBand: Edmonton friends, come see us in Beaumont! Until May 31 your weekend pass purchase donates $25 to AB wildfire relief h","RT @TrentSevernBand: <CITY>Edmonton</CITY> friends, come see us in <CITY>Beaumont</CITY>! Until May 31 your weekend pass purchase donates $25 to AB wildfire relief h"
ID_728993596217696257,@dan_aykroyd Please encourage Canadian celebrities to help with the Fort McMurray Wildfire disaster. #ymmfire #ymm #ymmstrong #ymmhelps,@dan_aykroyd Please encourage Canadian celebrities to help with the <CITY>Fort McMurray</CITY> Wildfire disaster. #ymmfire #ymm #ymmstrong #ymmhelps
ID_730011686468341760,"RT @BethCTV: Heres the latest on the MB-ON border wildfires. Fires growing, more cottages evacuated.  /","RT @BethCTV: Heres the latest on the MB-ON border wildfires. Fires growing, more cottages evacuated.  /"
ID_728605486686294017,Strangers help bride who lost dress in Fort McMurray wildfire,Strangers help bride who lost dress in <CITY>Fort McMurray</CITY> wildfire
ID_732349515328540672,RT @ctvedmonton: Certain camps north of Fort McMurray evacuated as wildfire grows:  #yeg #ymmfire,RT @ctvedmonton: Certain camps north of <CITY>Fort McMurray</CITY> evacuated as wildfire grows:  #yeg #ymmfire
ID_731237233252933633,RT @TheTodayShow: The Canadian wildfire now known as The Beast has destroyed more than 2000 homes and businesses. #9Today,RT @TheTodayShow: The Canadian wildfire now known as The Beast has destroyed more than 2000 homes and businesses. #9Today
ID_735635845458350080,Giveaway at 300 followers+Wildfire Fundraiser  Continuing Overwatch #PS4 #Overwatch #Twitch,Giveaway at 300 followers+Wildfire Fundraiser  Continuing Overwatch #PS4 #Overwatch #Twitch
ID_730462501842780161,【#BC #News】 Getting mail to Fort McMurray wildfire evacuees: Canada Post’s emergency,【#BC #News】 Getting mail to <CITY>Fort McMurray</CITY> wildfire evacuees: <COUNTRY>Canada</COUNTRY> Post’s emergency
ID_729044930346160128,"Wildfire evacuees get supplies, support at evacuation center: LAC LA BICHE, Alberta (AP) — A community recreation","Wildfire evacuees get supplies, support at evacuation center: LAC LA BICHE, Alberta (AP) — A community recreation"
