tweet_id,plain_text,xml_text
ID_721768617847730176,"RT @pzf: ECUADOR EARTHQUAKE: - At least 250 dead - More than 1,500 injured - Almost 400 building damaged","RT @pzf: <COUNTRY>ECUADOR</COUNTRY> EARTHQUAKE: - At least 250 dead - More than 1,500 injured - Almost 400 building damaged"
ID_721614224531853312,"RT @brk_news_now: FOX: ECUADOR ROCKED: Magnitude-7.8 earthquake kills 77, rescues underway","RT @brk_news_now: FOX: <COUNTRY>ECUADOR</COUNTRY> ROCKED: Magnitude-7.8 earthquake kills 77, rescues underway"
ID_721637133690269696,Independent:  Video shows the moment earthquake that killed at least 77 struck Ecuador,Independent:  Video shows the moment earthquake that killed at least 77 struck <COUNTRY>Ecuador</COUNTRY>
ID_721733095708368896,RT @telesurenglish: Gracias Venezuela: Country deploys rescue workers to Ecuador after 7.8 magnitude earthquake  htt,RT @telesurenglish: Gracias <COUNTRY>Venezuela</COUNTRY>: Country deploys rescue workers to <COUNTRY>Ecuador</COUNTRY> after 7.8 magnitude earthquake  htt
ID_721883893029335041,RT @Emergency_Life: ἞A἞8Ἱ7 #Ecuador #Earthquake volunteer firefighters from across the Americas are heading to assist #SismoEcuador #USAR http,RT @Emergency_Life: ἞A἞8Ἱ7 #<COUNTRY>Ecuador</COUNTRY> #Earthquake volunteer firefighters from across the Americas are heading to assist #SismoEcuador #USAR http
ID_721599774915497984,RT @Independent: Powerful earthquake in Ecuador kills 77 and as entire town collapses,RT @Independent: Powerful earthquake in <COUNTRY>Ecuador</COUNTRY> kills 77 and as entire town collapses
ID_721893358680059905,RT @GigiTonguet: @doctorheart00 Share this link to help the victims of Ecuadors Earthquake! Thank you!,RT @GigiTonguet: @doctorheart00 Share this link to help the victims of <COUNTRY>Ecuadors</COUNTRY> Earthquake! Thank you!
ID_722182577944195072,RT @UNDP: Want to support victims of the #EcuadorEarthquake? Click here to find out how you can donate:  @PNUDEcuador,RT @UNDP: Want to support victims of the #EcuadorEarthquake? Click here to find out how you can donate:  @PNUDEcuador
ID_721628641503764480,Powerful earthquake kills at least 77 in Ecuador: The 7.8 magnitude earthquake struck off Ecu  #WizInfo #Health,Powerful earthquake kills at least 77 in <COUNTRY>Ecuador</COUNTRY>: The 7.8 magnitude earthquake struck off Ecu  #WizInfo #Health
ID_722070216952455168,RT moviechick707: #Ecuadorearthquake: Death toll jumps to 272 CNN,RT moviechick707: #Ecuadorearthquake: Death toll jumps to 272 CNN
