tweet_id,plain_text,xml_text
ID_1022420413882744832,Nearly half of #houses checked in #fire-stricken areas deemed #uninhabitable #GO #PrayForGreece #PrayForAthens #AthensFires ἞C἟7,Nearly half of #houses checked in #fire-stricken areas deemed #uninhabitable #GO #PrayForGreece #PrayForAthens #AthensFires ἞C἟7
ID_1021778661895294976,RT @anadoluagency: #Greece: Death toll from wildfires hits 74,RT @anadoluagency: #<COUNTRY>Greece</COUNTRY>: Death toll from wildfires hits 74
ID_1022015997740503042,When the essence of cooperation meets the sad reality of lifeThe IPA partner country offers financial aid to Greece to handle disaster @InterregIPACBC #Greecefires,When the essence of cooperation meets the sad reality of lifeThe IPA partner country offers financial aid to <COUNTRY>Greece</COUNTRY> to handle disaster @InterregIPACBC #Greecefires
ID_1022557424585240576,We are live from the Lureio Idrima the orphanage and nursing home operared by the nuns of the Holy Trinity Monastery that was destroyed by the fire in Neos Voutzas. Here too the scene is apocalyptic.,We are live from the Lureio Idrima the orphanage and nursing home operared by the nuns of the <HUMAN-MADE-POINT-OF-INTEREST>Holy Trinity Monastery</HUMAN-MADE-POINT-OF-INTEREST> that was destroyed by the fire in <NEIGHBORHOOD>Neos Voutzas</NEIGHBORHOOD>. Here too the scene is apocalyptic.
ID_1021749412639457280,RT @AP: Greek prime minister declares 3-day national mourning period for dozens killed by wildfires near Athens.,RT @AP: Greek prime minister declares 3-day national mourning period for dozens killed by wildfires near <CITY>Athens</CITY>.
ID_1024662121391579136,#Greece vows to speed up destruction of illegal property after #wildfires,#<COUNTRY>Greece</COUNTRY> vows to speed up destruction of illegal property after #wildfires
ID_1022441664697298944,"In Mati, hundreds of humanitarian volunteers have joined relief efforts following Greece’s most deadly wildfires in a decade","In <CITY>Mati</CITY>, hundreds of humanitarian volunteers have joined relief efforts following <COUNTRY>Greece</COUNTRY>’s most deadly wildfires in a decade"
ID_1024974395759108097,State Minister #Flambouraris offers thanks for assistance to #Greecefires victims,State Minister #Flambouraris offers thanks for assistance to #Greecefires victims
ID_1022473412034416640,"Unfortunately theres the first confirmed fatality, hope to be the last, among tourists at the #AthensFires: an Irishman in honeymoon. So sorry, R.I.P ὢ2  #Mati #Attica #wildfires #PrayForGreece #PrayForAthens #Πυρκαγια #Αττικη #ματι","Unfortunately theres the first confirmed fatality, hope to be the last, among tourists at the #AthensFires: an Irishman in honeymoon. So sorry, R.I.P ὢ2  #Mati #<CITY>Attica</CITY> #wildfires #PrayForGreece #PrayForAthens #Πυρκαγια #Αττικη #ματι"
ID_1022371614091096064,"A special account has been opened at the Bank of Greece for donations in support of fire victims. Account number 23/2341195169, IBAN GR4601000230000002341195169) available for foreign states, businesses and individuals from Greece and abroad to provide their financial support","A special account has been opened at the Bank of <COUNTRY>Greece</COUNTRY> for donations in support of fire victims. Account number 23/2341195169, IBAN GR4601000230000002341195169) available for foreign states, businesses and individuals from <COUNTRY>Greece</COUNTRY> and abroad to provide their financial support"
