tweet_id,plain_text,xml_text
ID_1167539753677447168,"Over 600,000 Homes Face Potential Damage From Hurricane Dorian: 24/7 Wall St  MORE w/ EcoSearch - news:  web:","Over 600,000 Homes Face Potential Damage From Hurricane Dorian: 24/7 Wall St  MORE w/ EcoSearch - news:  web:"
ID_1167833346661146625,"BREAKING: Governor McMaster has declared a State of Emergency in South Carolina ahead of Hurricane Dorian. Given the strength and unpredictability of the storm, we must prepare for every possible scenario,” he said.","BREAKING: Governor McMaster has declared a State of Emergency in <STATE>South Carolina</STATE> ahead of Hurricane Dorian. Given the strength and unpredictability of the storm, we must prepare for every possible scenario,” he said."
ID_1167510072395780098,Alabama National Guard Ready to Send Support to Florida to Assist with Hurricane Dorian Relief If Needed,<STATE>Alabama</STATE> National Guard Ready to Send Support to <STATE>Florida</STATE> to Assist with Hurricane Dorian Relief If Needed
ID_1168260974308184064,Ongoing damage proving to be greater than expected. Local 10s Jenise Fernandez reports live from the eye of Hurricane Dorian  via @YouTube,Ongoing damage proving to be greater than expected. Local 10s Jenise Fernandez reports live from the eye of Hurricane Dorian  via @YouTube
ID_1167603027974471681,Hurricane Dorian Update #4 - 8/30/2019: Mandatory Evacuation Announced in Brevard County for Sunday at 8 a.m. -,Hurricane Dorian Update #4 - 8/30/2019: Mandatory Evacuation Announced in <COUNTY>Brevard County</COUNTY> for Sunday at 8 a.m. -
ID_1167517354185633792,"The #SalvationArmy has placed all disaster relief resources across the state of Florida on standby. These resources include more than 30 mobile feeding units which can each serve 500 – 1,500 meals per day. Read more here:  #Dorian #HurricaneDorian","The #SalvationArmy has placed all disaster relief resources across the state of <STATE>Florida</STATE> on standby. These resources include more than 30 mobile feeding units which can each serve 500 – 1,500 meals per day. Read more here:  #Dorian #HurricaneDorian"
ID_1168394558440427520,"Speechless but not actionless. We must all do something to help those who are impacted so severely. Donate money, goods, your time.something. Just do something as one small action can be the difference when so much has been lost. #HurricaneDorian2019 #AbacoIslands","Speechless but not actionless. We must all do something to help those who are impacted so severely. Donate money, goods, your time.something. Just do something as one small action can be the difference when so much has been lost. #HurricaneDorian2019 #<ISLAND>AbacoIslands</ISLAND>"
ID_1168298207920754693,I’ve seen with my own eyes the effects of storm surges. People underestimate the power of water. Especially bad inside homes where they swirl furniture & debris up to the ceilings before exiting. Please heed any evacuation directives!,I’ve seen with my own eyes the effects of storm surges. People underestimate the power of water. Especially bad inside homes where they swirl furniture & debris up to the ceilings before exiting. Please heed any evacuation directives!
ID_1167541216633872390,"Due to the potential impacts of #HurricaneDorian, @RoyCooperNC has declared a State of Emergency for NC & Commissioner Troxler @NCAgriculture released this statement re: transportation waivers for livestock, poultry, feed or crops ready to be harvested.","Due to the potential impacts of #HurricaneDorian, @RoyCooperNC has declared a State of Emergency for <STATE>NC</STATE> & Commissioner Troxler @NCAgriculture released this statement re: transportation waivers for livestock, poultry, feed or crops ready to be harvested."
ID_1168341157467832321,"We are under a hurricane warning and most hotels are now closed along the barrier islands of Brevard County. The mandatory evacuation starts Monday morning at 8am. 13 Hurricane Dorian shelters are open farther inland. We went to one tonight, and there is plenty of room.","We are under a hurricane warning and most hotels are now closed along the barrier islands of <COUNTY>Brevard County</COUNTY>. The mandatory evacuation starts Monday morning at 8am. 13 Hurricane Dorian shelters are open farther inland. We went to one tonight, and there is plenty of room."
ID_1168247385941843968,See terrifying video of house being destroyed as Hurricane Dorian makes landfall in Bahamas:,See terrifying video of house being destroyed as Hurricane Dorian makes landfall in <ISLAND>Bahamas</ISLAND>:
ID_1167838302562635776,"I echo House Minority Leader McGhees call for the Governor to suspend tolls on FL roads while folks are evacuating from Hurricane Dorian. The ability qka, should never prevent somebody from being able to evacuate.","I echo House Minority Leader McGhees call for the Governor to suspend tolls on <STATE>FL</STATE> roads while folks are evacuating from Hurricane Dorian. The ability qka, should never prevent somebody from being able to evacuate."
ID_1167861683932450817,"If Hurricane #Dorian is headed in your direction, take time to check on your neighbors, especially those who are elderly or happen to have a chronic medical condition. More good tips to stay safe from @HHSGov:","If Hurricane #Dorian is headed in your direction, take time to check on your neighbors, especially those who are elderly or happen to have a chronic medical condition. More good tips to stay safe from @HHSGov:"
ID_1168292700086575104,Need a #team of folks that are #dedicated to #helping others to contact me if they are interested in #organizing #relief for victims of natural disasters. Namely as of now Hurricane Dorian,Need a #team of folks that are #dedicated to #helping others to contact me if they are interested in #organizing #relief for victims of natural disasters. Namely as of now Hurricane Dorian
ID_1167523059596693505,#HurricaneDorian update from @GovRonDeSantis: Salvation Army & Red Cross have dozens of vehicles ready to deploy to help with food/water. #Florida @ActionNewsJax @WOKVNews #firstalertwx #Dorian #flwx #HuracánDorian,#HurricaneDorian update from @GovRonDeSantis: Salvation Army & Red Cross have dozens of vehicles ready to deploy to help with food/water. #<STATE>Florida</STATE> @ActionNewsJax @WOKVNews #firstalertwx #Dorian #flwx #HuracánDorian
ID_1167835397973520384,#FL #Dorian Locations to fill sandbags in South Florida can be found here! Sandbags can help to divert water from your house and businesses. via @FLSERT  #FLPrepares #hmrd,#<STATE>FL</STATE> #Dorian Locations to fill sandbags in South <STATE>Florida</STATE> can be found here! Sandbags can help to divert water from your house and businesses. via @FLSERT  #FLPrepares #hmrd
ID_1168342175232348160,The residents in the Bahamas are going to need tons of assistance due to #HurricaneDorian. Please donate if you can. @pulte #directrelief.org,The residents in the <ISLAND>Bahamas</ISLAND> are going to need tons of assistance due to #HurricaneDorian. Please donate if you can. @pulte #directrelief.org
ID_1168254205523582978,#HurricaneDorian We are getting donations to send and help these families in need after this Catastrophic hurricane ὤFἿC  Donate for the families that will loose everything ὤFἿC #bahamas #Abacos #Dorian #Dorian2019 #HurricaneDorian #HurricaneDorian2019,#HurricaneDorian We are getting donations to send and help these families in need after this Catastrophic hurricane ὤFἿC  Donate for the families that will loose everything ὤFἿC #<ISLAND>bahamas</ISLAND> #Abacos #Dorian #Dorian2019 #HurricaneDorian #HurricaneDorian2019
ID_1167894458551042048,"As Hurricane Dorian Approaches, Create an Evacuation Plan for Your Pets # #blogs","As Hurricane Dorian Approaches, Create an Evacuation Plan for Your Pets # #blogs"
ID_1168339695836680193,#HurricaneDorian #DAT EAST COAST EQUINE EVACUATION  @reddogsusie @leighjalland @Indigo_Pho13 @EMluvsPibbles @samjarvis49 @Rehflocke @ChaliceGarden @Barbi_Twins @goode_hurt @BadProductionz @MY_BORDERCOLLIE @indigosky42 @Kiwi_CGFX @BCWildfireWkly @jr3597,#HurricaneDorian #DAT EAST COAST EQUINE EVACUATION  @reddogsusie @leighjalland @Indigo_Pho13 @EMluvsPibbles @samjarvis49 @Rehflocke @ChaliceGarden @Barbi_Twins @goode_hurt @BadProductionz @MY_BORDERCOLLIE @indigosky42 @Kiwi_CGFX @BCWildfireWkly @jr3597
