tweet_id,plain_text,xml_text
ID_903656109071847427,#TylerPerryDonates $1 Million to Hurricane Harvey Relief with a Portion Going to,#TylerPerryDonates $1 Million to Hurricane Harvey Relief with a Portion Going to
ID_903003923509907468,Tropical Storm Harvey — via @wunderground. This will be close!,Tropical Storm Harvey — via @wunderground. This will be close!
ID_902839356695732224,Do what you can to help those affected by Hurricane Harvey. Heres one thing you can do:,Do what you can to help those affected by Hurricane Harvey. Heres one thing you can do:
ID_903416231214157825,"VP Mike Pence, speaking in Texas, calls on all Americans to join the #Harvey recovery effort: Find a way to help.”","VP Mike Pence, speaking in <STATE>Texas</STATE>, calls on all Americans to join the #Harvey recovery effort: Find a way to help.”"
ID_903734229581824000,Very poor decision to forego mandatory evacuation. Got VERY lucky. #Harvey #DontFocusOnTheLine,Very poor decision to forego mandatory evacuation. Got VERY lucky. #Harvey #DontFocusOnTheLine
ID_902648322879623182,Omega Charities has established a Hurricane Harvey Relief Fund. Contributions will be accepted online at,Omega Charities has established a Hurricane Harvey Relief Fund. Contributions will be accepted online at
ID_902656342577614856,"When disasters like #Harvey strike, this Longmont rescue organization makes sure pets arent left behind","When disasters like #Harvey strike, this Longmont rescue organization makes sure pets arent left behind"
ID_902903085705687040,"At least 30 dead and more than made 20,000 homeless by Harvey - Daily Mail #HurricaneHarvey","At least 30 dead and more than made 20,000 homeless by Harvey - Daily Mail #HurricaneHarvey"
ID_903455396270145536,"Blessed to work for such a beautiful company, hurricane Harvey did no damage to these kiddos💗 #MagentaStrong #TMobile #TeamWork","Blessed to work for such a beautiful company, hurricane Harvey did no damage to these kiddos💗 #MagentaStrong #TMobile #TeamWork"
ID_903482966134800384,#RP video by @Latyce_McKenna Ive been told #HurricaneHarvey has caused more damage than any,#RP video by @Latyce_McKenna Ive been told #HurricaneHarvey has caused more damage than any
ID_903611396486684675,Please dont turn a blind eye to all those who need your help. Join the @News3LV team and help out tonight! #Sinclaircares #Harvey2017,Please dont turn a blind eye to all those who need your help. Join the @News3LV team and help out tonight! #Sinclaircares #Harvey2017
ID_903697104975138816,#BREAKING #Harvey death toll may climb to almost 40 as 17 more deaths being investigated in #Houston County #HoustonFloods,#BREAKING #Harvey death toll may climb to almost 40 as 17 more deaths being investigated in #<CITY>Houston</CITY> County #HoustonFloods
ID_903719522284310528,Pimp C’s Wife Dispute Reports Claiming UGK Archives were Destroyed in Hurricane Harvey,Pimp C’s Wife Dispute Reports Claiming UGK Archives were Destroyed in Hurricane Harvey
ID_902656609712779264,Thanks @NoelleonFOX7 & @fox7austin for featuring our #Hurricane #Harvey #diaper drive. Please donate $$ or diapers:,Thanks @NoelleonFOX7 & @fox7austin for featuring our #Hurricane #Harvey #diaper drive. Please donate $$ or diapers:
ID_902606163950403585,President Trump is in Texas inspecting damage and response to #Harvey—but the media is focused on Melanias shoes.,President Trump is in <STATE>Texas</STATE> inspecting damage and response to #Harvey—but the media is focused on Melanias shoes.
ID_903646768533004289,"#UPDATE @RedCrossDFW reports nearly 2,000 #Harvey evacuees staying in shelters in #dfw. More than 1,000 at mega-shelter in #Dallas. @CBSDFW","#UPDATE @RedCrossDFW reports nearly 2,000 #Harvey evacuees staying in shelters in #dfw. More than 1,000 at mega-shelter in #<CITY>Dallas</CITY>. @CBSDFW"
ID_903441331753590785,"Donations (clothing, food, money etc.) for victims of Hurricane Harvey will be accepted at Sundays Cowgirl soccer game!!!⚽️⚽️⚽️","Donations (clothing, food, money etc.) for victims of Hurricane Harvey will be accepted at Sundays Cowgirl soccer game!!!⚽️⚽️⚽️"
ID_901804868213641218,RT @maureenjohnson: The link to the @RedCross to donate to help the people of Texas. They will need it:  #houstonflo,RT @maureenjohnson: The link to the @RedCross to donate to help the people of <STATE>Texas</STATE>. They will need it:  #houstonflo
ID_902913929009127424,Sheriff: Hurricane #Harvey #death toll rises to 20 - Aug 30 @ 11:20 AM ET,Sheriff: Hurricane #Harvey #death toll rises to 20 - Aug 30 @ 11:20 AM ET
ID_903573868727685121,Damage from Harvey causes hike in gas prices.,Damage from Harvey causes hike in gas prices.
ID_902660837969510400,@CNNValencia @realDonaldTrump Is #Harvey racist or anti-racist because he killed white people you hate so much?,@CNNValencia @realDonaldTrump Is #Harvey racist or anti-racist because he killed white people you hate so much?
ID_902606869788860416,"We are working on providing aid to those affected by #Harvey. If you wish to donate, please go to  Please retweet!","We are working on providing aid to those affected by #Harvey. If you wish to donate, please go to  Please retweet!"
ID_902653896811843584,I spy @krockjosh helping out at the Red Cross telethon for Hurricane Harvey victims. 👏👏👏👏 Over $33k raised by CNY media,I spy @krockjosh helping out at the Red Cross telethon for Hurricane Harvey victims. 👏👏👏👏 Over $33k raised by CNY media
ID_902850675582828545,Supporting US amid #HurricaneHarvey: @CopernicusEU now providing damage assessment maps to affected areas in Texas,Supporting US amid #HurricaneHarvey: @CopernicusEU now providing damage assessment maps to affected areas in <STATE>Texas</STATE>
ID_901787723094261761,Were offering support to our customers in certain areas impacted by Hurricane Harvey. Details:,Were offering support to our customers in certain areas impacted by Hurricane Harvey. Details:
ID_902695995259146240,I liked a @YouTube video  President Trump & Melania Arrive in Texas to Survey Hurricane Harvey Damage 8/29/17,I liked a @YouTube video  President Trump & Melania Arrive in <STATE>Texas</STATE> to Survey Hurricane Harvey Damage 8/29/17
ID_901822222381273088,We are still seeing the impact of Harvey but these webcams show the damage it has caused so far.,We are still seeing the impact of Harvey but these webcams show the damage it has caused so far.
ID_902850596264280065,"To continue supporting those affected by #Harvey, @Googleorg will now match your donations up to $1M.","To continue supporting those affected by #Harvey, @Googleorg will now match your donations up to $1M."
ID_903380629181669376,WOW! Just WOW! This is in Sienna Plantation. Home damaged by #tornado from #HurricaneHarvey @abc13houston,WOW! Just WOW! This is in <CITY>Sienna Plantation</CITY>. Home damaged by #tornado from #HurricaneHarvey @abc13houston
