tweet_id,plain_text,xml_text
ID_908851800672960512,This badass navy rescue dog helping victims of Mexicos earthquake. Her name is Frida.,This badass navy rescue dog helping victims of <COUNTRY>Mexicos</COUNTRY> earthquake. Her name is Frida.
ID_908050409721393152,"The devastating 1889 Johnstown Flood killed over 2,000 people in minutes","The devastating 1889 <CITY>Johnstown</CITY> Flood killed over 2,000 people in minutes"
ID_905685196296646656,Total Devastation’ As Irma Hits Caribbean Island Barbuda: Hurricane Irma killed one person,Total Devastation’ As Irma Hits Caribbean Island <ISLAND>Barbuda</ISLAND>: Hurricane Irma killed one person
ID_907455646882299904,"First responders rescue mother, four-month-old baby from #Irma-flooded Miami home","First responders rescue mother, four-month-old baby from #Irma-flooded <CITY>Miami</CITY> home"
ID_905745190576644096,UPDATE- 10 people are dead after Hurricane Irma roars through the Caribbean. 900K people without power in Puerto Rico.,UPDATE- 10 people are dead after Hurricane Irma roars through the Caribbean. 900K people without power in <ISLAND>Puerto Rico</ISLAND>.
ID_908076147937878016,"#OttMusics @gotrackster raising $ for U.S. flood relief via @BlueSkyFloodAid; musicians can donate songs, & engineers can donate services.","#OttMusics @gotrackster raising $ for <COUNTRY>U.S.</COUNTRY> flood relief via @BlueSkyFloodAid; musicians can donate songs, & engineers can donate services."
ID_905739916419747840,@Power965 @DaveWarrenCBS4 Please help spread awareness! The USVI have been destroyed by Irma! Any bit helps and please share to everyone!,@Power965 @DaveWarrenCBS4 Please help spread awareness! The USVI have been destroyed by Irma! Any bit helps and please share to everyone!
ID_908436199005671424,St. Johns River at Main Street Bridge is in minor flood stage right now as high tide approaches. #FirstAlertWX,<NATURAL-POINT-OF-INTEREST>St. Johns River</NATURAL-POINT-OF-INTEREST> at Main Street Bridge is in minor flood stage right now as high tide approaches. #FirstAlertWX
ID_908313497200676864,"Irma knocks Cuban tourism hard: At least nine hotels in Varadero with major damage, Cayo Coco devastated","Irma knocks <COUNTRY>Cuban</COUNTRY> tourism hard: At least nine hotels in <CITY>Varadero</CITY> with major damage, <ISLAND>Cayo Coco</ISLAND> devastated"
ID_908340621840146434,Please share. Area hospitals have an increased need for #platelets to help with Hurricane Irma relief. Learn more.,Please share. Area hospitals have an increased need for #platelets to help with Hurricane Irma relief. Learn more.
ID_907251304929611778,Stories of rescues during #Irma’s barrage on Florida.,Stories of rescues during #Irma’s barrage on <STATE>Florida</STATE>.
ID_908358870489116672,JUST IN: Pres. Trump and the First Lady arrive in south Florida to survey Hurricane #Irma damage and response.,JUST IN: Pres. Trump and the First Lady arrive in south <STATE>Florida</STATE> to survey Hurricane #Irma damage and response.
ID_907019182922915840,Hurricane Irma: Marco couple talks about damage on island after storm,Hurricane Irma: Marco couple talks about damage on island after storm
ID_908360090058723330,Oh no both the North and South Banks with flood damage.,Oh no both the North and South Banks with flood damage.
