tweet_id,plain_text,xml_text
ID_912421077229408258,RT @SidR10: After seeing the devastation of Hurricane Maria I decided to create this page to help the Puerto Rican people ἟5἟7 #RT .,RT @SidR10: After seeing the devastation of Hurricane Maria I decided to create this page to help the <ISLAND>Puerto Rican</ISLAND> people ἟5἟7 #RT .
ID_912362832875937794,#HurricaneMaria is not done yet. Here on the #EastCoast we are preparing to deal with her remnants as a #TropicalStorm. #hurricane #drfee,#HurricaneMaria is not done yet. Here on the #<OTHER-LOCATIONS>EastCoast</OTHER-LOCATIONS> we are preparing to deal with her remnants as a #TropicalStorm. #hurricane #drfee
ID_910750722865561601,"PLEASE! donate which will benefit the victims of mexico, as to hurricane maria","PLEASE! donate which will benefit the victims of <COUNTRY>mexico</COUNTRY>, as to hurricane maria"
ID_913122301234810880,The last thing I knew about them is that they are donating supplies to PR cuz were in need thanks to Hurricane Maria.,The last thing I knew about them is that they are donating supplies to <ISLAND>PR</ISLAND> cuz were in need thanks to Hurricane Maria.
ID_910640069702291457,My favorite place in the world. The destruction is heartbreaking. No doubt Vieques and Puerto Rico will recover.,My favorite place in the world. The destruction is heartbreaking. No doubt Vieques and <ISLAND>Puerto Rico</ISLAND> will recover.
ID_914177405899722757,RT @iosjillian: Hi since our president is garbage you can donate to the Hurricane Maria COMMUNITY Recovery Fund here,RT @iosjillian: Hi since our president is garbage you can donate to the Hurricane Maria COMMUNITY Recovery Fund here
ID_912437639025971201,RT @nypost: Jennifer Lopez will donate $1 million to Puerto Rico in the wake of Hurricane Maria,RT @nypost: Jennifer Lopez will donate $1 million to <ISLAND>Puerto Rico</ISLAND> in the wake of Hurricane Maria
ID_912128229833625602,RT @jbrownedianis: Help is needed. #PuertoRico,RT @jbrownedianis: Help is needed. #<ISLAND>PuertoRico</ISLAND>
ID_912389019237003266,@CharlieWGME @NWSGray First 122 NEXRAD stations (159 total) were installed at a cost of $3.1 billion. Here is JUA destroyed last week:,@CharlieWGME @NWSGray First 122 NEXRAD stations (159 total) were installed at a cost of $3.1 billion. Here is JUA destroyed last week:
ID_910761921674141696,Hurricane Maria: Whole of Puerto Rico without power: Hurricane Maria has knocked out electricity.. #breakingnews,Hurricane Maria: Whole of <ISLAND>Puerto Rico</ISLAND> without power: Hurricane Maria has knocked out electricity.. #breakingnews
ID_913875081469636608,Rabbi in Puerto Rico pleads for help as congregation suffers on  #Science #PresidentTrump #HurricaneMaria #Rabbi,Rabbi in <ISLAND>Puerto Rico</ISLAND> pleads for help as congregation suffers on  #Science #PresidentTrump #HurricaneMaria #Rabbi
ID_910693357768396800,"#MONEY #IRMA FoxBusiness Hurricane Maria blasts Puerto Rico, kills at least nine in Caribbean  — FOX Business (Fo","#MONEY #IRMA FoxBusiness Hurricane Maria blasts <ISLAND>Puerto Rico</ISLAND>, kills at least nine in Caribbean  — FOX Business (Fo"
