tweet_id,plain_text,xml_text
ID_784649154194710528,"Flash Flood Warning for Bamberg, Calhoun, Clarendon, Orangeburg, Richland, & Sumter Cos until 9AM #scwx #Matthew","Flash Flood Warning for <CITY>Bamberg</CITY>, <CITY>Calhoun</CITY>, <CITY>Clarendon</CITY>, <CITY>Orangeburg</CITY>, <CITY>Richland</CITY>, & <CITY>Sumter</CITY> Cos until 9AM #scwx #Matthew"
ID_783773548292743169,"We Were Already In A Cholera Crisis; Hurricane Pummels Haiti, 11 dead, damage still impossible to assess.","We Were Already In A Cholera Crisis; Hurricane Pummels <COUNTRY>Haiti</COUNTRY>, 11 dead, damage still impossible to assess."
ID_783690110051098624,#HurricaneMatthew moves into #Bahamas after battering #Haiti  #Hurricane #Cuba #Atlantic #Florida #Evacuation #floods,#HurricaneMatthew moves into #<ISLAND>Bahamas</ISLAND> after battering #<COUNTRY>Haiti</COUNTRY>  #Hurricane #<COUNTRY>Cuba</COUNTRY> #Atlantic #<STATE>Florida</STATE> #Evacuation #floods
ID_783642745000910848,RT @robynpike: .@TeamBrokenEarth is accepting donations for Hurricane Matthew medical relief in Haiti:,RT @robynpike: .@TeamBrokenEarth is accepting donations for Hurricane Matthew medical relief in <COUNTRY>Haiti</COUNTRY>:
ID_783447364564574209,"To make a donation to Heart of God Haitis Hurricane Relief Fund, please use this link:","To make a donation to Heart of God <COUNTRY>Haitis</COUNTRY> Hurricane Relief Fund, please use this link:"
ID_783982746280595456,RT @imME_org: Haiti starts to gauge damage from devastating Hurricane Matthew via @YahooNews,RT @imME_org: <COUNTRY>Haiti</COUNTRY> starts to gauge damage from devastating Hurricane Matthew via @YahooNews
ID_783637480373358592,Washington Post Aid teams in Haiti struggle to reach regions slammed by Hurricane MatthewWashington PostEmergency teams in Haiti struggled,<STATE>Washington</STATE> Post Aid teams in <COUNTRY>Haiti</COUNTRY> struggle to reach regions slammed by Hurricane MatthewWashington PostEmergency teams in <COUNTRY>Haiti</COUNTRY> struggled
ID_783452258348441601,"RT @JenDelgadoTWC: #Hurricane warnings for #Cuba, #Jamaica & #Haiti. #Matthew is #category 4 major hurricane. #mudslides #flooding","RT @JenDelgadoTWC: #Hurricane warnings for #<COUNTRY>Cuba</COUNTRY>, #<COUNTRY>Jamaica</COUNTRY> & #<COUNTRY>Haiti</COUNTRY>. #Matthew is #category 4 major hurricane. #mudslides #flooding"
ID_783871340407291904,Port Arthur church helps Hurricane Matthew victims in Haiti  via @12NewsNow,<HUMAN-MADE-POINT-OF-INTEREST>Port Arthur church</HUMAN-MADE-POINT-OF-INTEREST> helps Hurricane Matthew victims in <COUNTRY>Haiti</COUNTRY>  via @12NewsNow
ID_783979097156313089,"Haiti hit by worst storm in more than 50 years: At least 11 people have died after Hurricane Matthew, a Categ","<COUNTRY>Haiti</COUNTRY> hit by worst storm in more than 50 years: At least 11 people have died after Hurricane Matthew, a Categ"
ID_783616503962750976,"US East Coast prepares for Hurricane Matthew evacuations, Haiti still assessing damage","<COUNTRY>US</COUNTRY> East Coast prepares for Hurricane Matthew evacuations, <COUNTRY>Haiti</COUNTRY> still assessing damage"
ID_783662734118363137,"Hurricane Matthew leaves thousands flooded, 5 dead in Haiti #News #Miami","Hurricane Matthew leaves thousands flooded, 5 dead in <COUNTRY>Haiti</COUNTRY> #News #<CITY>Miami</CITY>"
ID_783434723079118849,A category 5 Hurricane just damaged Haiti and even here we arent talking about it. Sad.,A category 5 Hurricane just damaged <COUNTRY>Haiti</COUNTRY> and even here we arent talking about it. Sad.
ID_783732026926960641,"RT @breakingstorm: Embassy of Haiti in Washington, DC, confirms 5 Hurricane Matthew-related deaths on island","RT @breakingstorm: Embassy of <COUNTRY>Haiti</COUNTRY> in <CITY>Washington</CITY>, DC, confirms 5 Hurricane Matthew-related deaths on island"
ID_783699157135437825,"Hurricane Matthew update, Severe damage in Haiti","Hurricane Matthew update, Severe damage in <ISLAND>Haiti</ISLAND>"
ID_783823170063200257,Samaritan’s Purse Staff on Ground in Haiti Ahead of Emergency Supplies (Hurricane Matthew) -  via @ChristianBlogR,Samaritan’s Purse Staff on Ground in <COUNTRY>Haiti</COUNTRY> Ahead of Emergency Supplies (Hurricane Matthew) -  via @ChristianBlogR
ID_783696904030912512,Hundreds of pounds worth of damage as well as the human cost.,Hundreds of pounds worth of damage as well as the human cost.
ID_783557476469780480,"Hurricane Matthew pummels Haiti and Cuba, evacuations ordered in US: The death toll stood at seven -- three i","Hurricane Matthew pummels <COUNTRY>Haiti</COUNTRY> and <COUNTRY>Cuba</COUNTRY>, evacuations ordered in <COUNTRY>US</COUNTRY>: The death toll stood at seven -- three i"
ID_783422983729655808,Haitians flee homes in search of shelter as Hurricane Matthew closes in #matthew #haiti.,Haitians flee homes in search of shelter as Hurricane Matthew closes in #matthew #<COUNTRY>haiti</COUNTRY>.
ID_783406471556042752,South Carolina plans to evacuate 1 million after Hurricane Matthew leaves trail of destruction in Haiti,<STATE>South Carolina</STATE> plans to evacuate 1 million after Hurricane Matthew leaves trail of destruction in <COUNTRY>Haiti</COUNTRY>
ID_783979235656474628,Haiti Rescue Operations Under Way In The Wake Of Hurricane Matthew,<COUNTRY>Haiti</COUNTRY> Rescue Operations Under Way In The Wake Of Hurricane Matthew
ID_783546727676645376,Local organization helps parts of Haiti devastated by Hurricane Matthew,Local organization helps parts of <COUNTRY>Haiti</COUNTRY> devastated by Hurricane Matthew
ID_783853487960498176,RT @NorwalkDV: Fairfield-Based Save The Children Prepares To Help In Haiti After Hurricane,RT @NorwalkDV: Fairfield-Based Save The Children Prepares To Help In <COUNTRY>Haiti</COUNTRY> After Hurricane
ID_783541055811624961,Hurricane Matthew pounds Cuba after drenching Haiti - 7 storm related deaths have been reported:,Hurricane Matthew pounds <COUNTRY>Cuba</COUNTRY> after drenching <COUNTRY>Haiti</COUNTRY> - 7 storm related deaths have been reported:
ID_783759347205697536,#Haiti The World Food Programme @WFP mobilizing staff and resources to provide assistance after #HuricaneMatthew  @UN,#<COUNTRY>Haiti</COUNTRY> The World Food Programme @WFP mobilizing staff and resources to provide assistance after #HuricaneMatthew  @UN
ID_784695761623670784,RT @FOX29philly: More than 800 reported dead in Haiti after Hurricane Matthew,RT @FOX29philly: More than 800 reported dead in <COUNTRY>Haiti</COUNTRY> after Hurricane Matthew
ID_783391497911754752,A threat remains in #Haiti even though the eye of the storm has passed. #HurricaneMatthew Donate Now:,A threat remains in #<ISLAND>Haiti</ISLAND> even though the eye of the storm has passed. #HurricaneMatthew Donate Now:
