tweet_id,plain_text,xml_text
ID_797933449952661505,He says that the roads have suffered extreme damage and bridges have been structurally compromised. #kaikoura #eqnz,He says that the roads have suffered extreme damage and bridges have been structurally compromised. #<CITY>kaikoura</CITY> #eqnz
ID_798437398212329472,The trails around Buckley Road Reserve suffering flood and #earthquake damage. cc: @WgtnCC #eqnz,The trails around <ROAD>Buckley Road</ROAD> Reserve suffering flood and #earthquake damage. cc: @WgtnCC #eqnz
ID_797871832120426500,Ferries parked in Wellington harbour morning after earthquake & tsunami warning #eqnz,Ferries parked in <CITY>Wellington</CITY> harbour morning after earthquake & tsunami warning #eqnz
ID_797801489318019072,"Severe 7.5 earthquake hits Hanmer Springs, felt widely across New Zealand as tsunami warning issued","Severe 7.5 earthquake hits Hanmer Springs, felt widely across <COUNTRY>New Zealand</COUNTRY> as tsunami warning issued"
ID_797963881406550017,Some of these aftershocks are terrifying ὣ0 #eqnz #newzealandquake,Some of these aftershocks are terrifying ὣ0 #eqnz #newzealandquake
ID_797909299355713536,#eqnz update: People receiving welfare assistance in Ward Hall. Damage to transmission poles found Seddon > Ward:,#eqnz update: People receiving welfare assistance in Ward Hall. Damage to transmission poles found Seddon > Ward:
ID_800819463507427329,RT @CDEMCHCH: The Ministry of Civil Defence Emergency Management has advised there is no tsunami threat to New Zealand from the 7.3 Japan e,RT @CDEMCHCH: The Ministry of Civil Defence Emergency Management has advised there is no tsunami threat to <COUNTRY>New Zealand</COUNTRY> from the 7.3 <COUNTRY>Japan</COUNTRY> e
ID_798685702967869440,Our Wellington premises has been evacuated - were all safe & working out the best way to keep getting food to those who need it most! #eqnz,Our <CITY>Wellington</CITY> premises has been evacuated - were all safe & working out the best way to keep getting food to those who need it most! #eqnz
ID_797956037848379393,What’s the state of commercial buildings in earthquake damaged areas and when will they be declared safe? #NZHFocus #eqnz,What’s the state of commercial buildings in earthquake damaged areas and when will they be declared safe? #NZHFocus #eqnz
ID_797944833537097728,"While weather is stable and its daylight, check windows for cracks and anything loose to be secured ahead of severe wind warning. #eqnz","While weather is stable and its daylight, check windows for cracks and anything loose to be secured ahead of severe wind warning. #eqnz"
ID_771430671050956800,ATTENTION all New Zealand #Earpers!! I hope yall are ok from the earthquake! Theres a tsunami alert so pleeeaasse stay safe my loves! ὉCὉCὉC,ATTENTION all <COUNTRY>New Zealand</COUNTRY> #Earpers!! I hope yall are ok from the earthquake! Theres a tsunami alert so pleeeaasse stay safe my loves! ὉCὉCὉC
ID_800872716102467584,6.3 Magnitude Earthquake Hits New Zealand: US Geological Survey The earthquake was centre,6.3 Magnitude Earthquake Hits <COUNTRY>New Zealand</COUNTRY>: US Geological Survey The earthquake was centre
ID_798025760661323777,RT @NZcivildefence: 14 staff from Urban Search & Rescue have been deployed to #Wellington to help assess buildings. Another teams on stand,RT @NZcivildefence: 14 staff from Urban Search & Rescue have been deployed to #<CITY>Wellington</CITY> to help assess buildings. Another teams on stand
ID_797806501771362306,The Clutha District Civil Defence has been activated and staff are evacuating low-lying areas. Welfare centers are being set up. #eqnz,The <DISTRICT>Clutha District</DISTRICT> Civil Defence has been activated and staff are evacuating low-lying areas. Welfare centers are being set up. #eqnz
ID_797994571279929344,PM flying over the scene surveying the damage #eqnz,PM flying over the scene surveying the damage #eqnz
ID_797862953949106177,RT @TheEdgeNZ: #BREAKING: Two deaths confirmed in NZ 7.5 earthquake:  #eqnz,RT @TheEdgeNZ: #BREAKING: Two deaths confirmed in <COUNTRY>NZ</COUNTRY> 7.5 earthquake:  #eqnz
ID_798673170240675840,Thank you <3 #EQNZ International flotilla and aircraft drafted in to help with humanitarian relief in Kaikoura,Thank you <3 #EQNZ International flotilla and aircraft drafted in to help with humanitarian relief in <CITY>Kaikoura</CITY>
ID_797960710504386560,"You can get urgent supplies at Willis St new World if, like me, you live central. They still have batteries and water. #EQNZ","You can get urgent supplies at <HUMAN-MADE-POINT-OF-INTEREST>Willis St new World</HUMAN-MADE-POINT-OF-INTEREST> if, like me, you live central. They still have batteries and water. #EQNZ"
ID_797833903771828225,"@TOBYJONES_ earthquake damage. High Rise buildings need to be inspected. Plus, all train services cancelled in the region. #EQNZ.","@TOBYJONES_ earthquake damage. High Rise buildings need to be inspected. Plus, all train services cancelled in the region. #EQNZ."
