tweet_id,plain_text,xml_text
ID_1032071697221005312,"60 trucks and over 500 tonnes of relief materials sent to Kerala. More to follow. Wed also like to salute the volunteers working on-ground. You can make your contributions to The Art of Living efforts in Kerala, as well as Karnataka here:","60 trucks and over 500 tonnes of relief materials sent to <STATE>Kerala</STATE>. More to follow. Wed also like to salute the volunteers working on-ground. You can make your contributions to The Art of Living efforts in <STATE>Kerala</STATE>, as well as <STATE>Karnataka</STATE> here:"
ID_1034334390195822592,The lady is showing the water level. The family moved to the roof and stayed for one day before being evacuated. Lot of wastage of household items. #KeralaFloodRelief,The lady is showing the water level. The family moved to the roof and stayed for one day before being evacuated. Lot of wastage of household items. #KeralaFloodRelief
ID_1030975049510137856,Request @BCCI and all players to donate for Kerala flood relief fund.@imVkohli @msdhoni,Request @BCCI and all players to donate for <STATE>Kerala</STATE> flood relief fund.@imVkohli @msdhoni
ID_1034481352341692417,#KeralaFloods: Our volunteers are ALWAYS on the move to reach those in need ! In floods affected areas of #Kerala our volunteers are using boats to reach those who have been isolated.They are delivering food and other essentials. Great Seva by the Khalsa Aid India team !,#KeralaFloods: Our volunteers are ALWAYS on the move to reach those in need ! In floods affected areas of #<STATE>Kerala</STATE> our volunteers are using boats to reach those who have been isolated.They are delivering food and other essentials. Great Seva by the Khalsa Aid <COUNTRY>India</COUNTRY> team !
ID_1031529205673078784,Kerala floods: death toll rises to at least 324 as rescue effort continues  #extremeweather #india #kerala #KeralaFloods2018 #KeralaFlood witnessing something that has never happened before in the history of Kerala”,<STATE>Kerala</STATE> floods: death toll rises to at least 324 as rescue effort continues  #extremeweather #<COUNTRY>india</COUNTRY> #<STATE>kerala</STATE> #KeralaFloods2018 #KeralaFlood witnessing something that has never happened before in the history of <STATE>Kerala</STATE>”
ID_1030822313896202240,"I will donate ₹5 per RT for #KeralaFloods in the next 12 hours. Let’s help our great State of india, i am from East India and i work in kerala past 2 years, its my duty to save my mother Indias land and great Peoples Spread the word. #KeralaDonationChallenge #Donate4Kerala","I will donate ₹5 per RT for #KeralaFloods in the next 12 hours. Let’s help our great State of <COUNTRY>india</COUNTRY>, i am from East <COUNTRY>India</COUNTRY> and i work in <STATE>kerala</STATE> past 2 years, its my duty to save my mother Indias land and great Peoples Spread the word. #KeralaDonationChallenge #Donate4Kerala"
ID_1036942471542894592,"So far, #RF has distributed 4,547 dry ration kits and 4,331 clothing kits, reaching out to 32 hamlets across 14 Gram Panchayat villages. #RFForKerala #KeralaFloodRelief #KeralaFlood","So far, #RF has distributed 4,547 dry ration kits and 4,331 clothing kits, reaching out to 32 hamlets across 14 Gram Panchayat villages. #RFForKerala #KeralaFloodRelief #KeralaFlood"
ID_1032257134392737798,RT @Gadgets360: Idea Offers Free SIM Replacement to Kerala Flood Victims,RT @Gadgets360: Idea Offers Free SIM Replacement to <STATE>Kerala</STATE> Flood Victims
ID_1031030600482738176,"40+ people suffering , please help via choppers or rescue team.. food required #KeralaFloodRelief #KeralaFloods #KeralaSOS","40+ people suffering , please help via choppers or rescue team.. food required #KeralaFloodRelief #KeralaFloods #KeralaSOS"
ID_1032209877450416130,"We stand with the people of Kerala. In order to help rebuild the lives of the flood affected people, all our employees have pledged to donate their one-day salary to CM’s relief fund, Kerala. #Donate #StandWithKerala #KeralaFloodRelief #KeralaFloods","We stand with the people of <STATE>Kerala</STATE>. In order to help rebuild the lives of the flood affected people, all our employees have pledged to donate their one-day salary to CM’s relief fund, <STATE>Kerala</STATE>. #Donate #StandWithKerala #KeralaFloodRelief #KeralaFloods"
ID_1034649143636094976,"District Jind Health Department, Haryana donates Rs 203300 lakh to Chief Minister’s Distress Relief Fund for Kerala flood victims Bank Deposit by Dr. Ramesh Panchal (Nodal Officer) Dentist in Jind, Haryana.","District <DISTRICT>Jind</DISTRICT> Health Department, <STATE>Haryana</STATE> donates Rs 203300 lakh to Chief Minister’s Distress Relief Fund for <STATE>Kerala</STATE> flood victims Bank Deposit by Dr. Ramesh Panchal (Nodal Officer) Dentist in <DISTRICT>Jind</DISTRICT>, <STATE>Haryana</STATE>."
ID_1034014317941686272,"Commies thanked UAE for aid that was never offered, but silent over aids received from fellow Indians. Millions,no matter rich or poor from all parts of country, many corporates n armed forces have contributed over 2000cr to CM fund but no thanks #KeralaFloods #KeralaFloodRelief","Commies thanked UAE for aid that was never offered, but silent over aids received from fellow Indians. Millions,no matter rich or poor from all parts of country, many corporates n armed forces have contributed over 2000cr to CM fund but no thanks #KeralaFloods #KeralaFloodRelief"
ID_1037339438316052480,Spoke to Kerala CM Shri Pinarayi Vijayan again this morning. We discussed the flood situation in the state. Have asked Defence Ministry to further step up the rescue and relief operations across the state. Praying for the safety and well-being of the people of Kerala. @CMOKerala,Spoke to <STATE>Kerala</STATE> CM Shri Pinarayi Vijayan again this morning. We discussed the flood situation in the state. Have asked Defence Ministry to further step up the rescue and relief operations across the state. Praying for the safety and well-being of the people of <STATE>Kerala</STATE>. @CMOKerala
ID_1032251975889444865,@IndiGo6E Hi! Have 2 boxes full of medicines all packed to be sent to Kerala for the #relief operations from Pune. Any flight leaving from Pune airport today or tomorrow? It would be great if you could help as couriers are not accepting liquids. #KeralaFloods,@IndiGo6E Hi! Have 2 boxes full of medicines all packed to be sent to <STATE>Kerala</STATE> for the #relief operations from <CITY>Pune</CITY>. Any flight leaving from <CITY>Pune</CITY> airport today or tomorrow? It would be great if you could help as couriers are not accepting liquids. #KeralaFloods
ID_1030998411191832577,"Kerala flood toll 368, over 58,000 rescued, red alert in 3 districts #KeralaFloods","<STATE>Kerala</STATE> flood toll 368, over 58,000 rescued, red alert in 3 districts #KeralaFloods"
ID_1030846874490728449,"RT @thenewsminute: @CMOKerala @PMOIndia @rajnathsingh @DefenceMinIndia 33 people died today, says @CMOKerala #KeralaFloods","RT @thenewsminute: @CMOKerala @PMOIndia @rajnathsingh @DefenceMinIndia 33 people died today, says @CMOKerala #KeralaFloods"
ID_1031382496292757504,RT @ManshaPrabhas: #Prabhas Donated 1Cr For Kerala Flood Relief Fund Without Publicity❤ #KeralaFloodRelief,RT @ManshaPrabhas: #Prabhas Donated 1Cr For <STATE>Kerala</STATE> Flood Relief Fund Without Publicity❤ #KeralaFloodRelief
ID_1032899640679514113,"For #KeralaFloods,Team COMMERCIAL Dept NANDED DIVISION, generously contributed an amount of Rs 3,15,000 under the able leadership of SrDCM Nanded Ms Neha IRTS and dispatched relief material. @railminindia #IRTSIndia #InServiceOfNation","For #KeralaFloods,Team COMMERCIAL Dept NANDED DIVISION, generously contributed an amount of Rs 3,15,000 under the able leadership of SrDCM Nanded Ms Neha IRTS and dispatched relief material. @railminindia #IRTSIndia #InServiceOfNation"
ID_1034772229152759815,Today Dynamic MLA @AslamShaikh_MLA Dispatched Relief Materials to @INCMumbai for the Flood Effected Peoples in Kerala State.Which will be send to Kerala from the Mumbai Congress Office.,Today Dynamic MLA @AslamShaikh_MLA Dispatched Relief Materials to @INCMumbai for the Flood Effected Peoples in <STATE>Kerala</STATE> State.Which will be send to <STATE>Kerala</STATE> from the <CITY>Mumbai</CITY> Congress Office.
ID_1030384602592899073,RT @TheHammerSickle: 50k food packets / water fr relief camps in Kochi/ Aluva region needed.Drop them at Kadavanthra indoor stadium. #Kera,RT @TheHammerSickle: 50k food packets / water fr relief camps in <CITY>Kochi/</CITY> <CITY>Aluva</CITY> region needed.Drop them at <DISTRICT>Kadavanthra</DISTRICT> indoor stadium. #Kera
ID_1031069185382567937,RT @SumanOkkadu: Superstar @urstrulyMahesh donated 25lacs to the #KeralaFloodRelief,RT @SumanOkkadu: Superstar @urstrulyMahesh donated 25lacs to the #KeralaFloodRelief
ID_1036856385546477569,"#Keralafloods | We will take stock of the money collected towards the Kerala relief fund and then shortlist some of the flood-affected villages towards their rehabilitation,” State Medical Education Minister Girish Mahajan said.","#Keralafloods | We will take stock of the money collected towards the <STATE>Kerala</STATE> relief fund and then shortlist some of the flood-affected villages towards their rehabilitation,” State Medical Education Minister Girish Mahajan said."
ID_1032276890021588992,"@BPCLimited is with #Kerala. Our teams are tirelessly providing Food, Water and LPG to the people in the affected areas. Our @KochiRefinery, Depots and Bottling Plants are working non-stop to help and assist. #KeralaWeAreWithYou #KeralaFloodRelief","@BPCLimited is with #<STATE>Kerala</STATE>. Our teams are tirelessly providing Food, Water and LPG to the people in the affected areas. Our @KochiRefinery, Depots and Bottling Plants are working non-stop to help and assist. #KeralaWeAreWithYou #KeralaFloodRelief"
ID_1030874990676140032,"கேரளாவிற்கு தேவையான பொருட்கள் Ὄ3 ὄ9 Diapers ὄ9 Soap ὄ9 Toothbrush ὄ9 Towels ὄ9 Lungis ὄ9 Medicine crocin, cough syrup ὄ9 Packed food ὄ9 Candles ὄ9 Milk powder ὄ9 Match box ὄ9 Footwear ὄ9 Torch ὄ9 Bedsheets ὄ9 Blankets ὄ9 Umbrella ὄ9 Large cardboard box #KeralaFloodRelief ὤFὤFὤF","கேரளாவிற்கு தேவையான பொருட்கள் Ὄ3 ὄ9 Diapers ὄ9 Soap ὄ9 Toothbrush ὄ9 Towels ὄ9 Lungis ὄ9 Medicine crocin, cough syrup ὄ9 Packed food ὄ9 Candles ὄ9 Milk powder ὄ9 Match box ὄ9 Footwear ὄ9 Torch ὄ9 Bedsheets ὄ9 Blankets ὄ9 Umbrella ὄ9 Large cardboard box #KeralaFloodRelief ὤFὤFὤF"
ID_1030740735404851200,"You can help people affected by #KeralaFloods through Rotary Club of Cochin with over 100 active memebrs including me, helping the needy directly & effectively on the field. You can also contribute to Chief Ministers Fund -","You can help people affected by #KeralaFloods through Rotary Club of Cochin with over 100 active memebrs including me, helping the needy directly & effectively on the field. You can also contribute to Chief Ministers Fund -"
ID_1031117382859677697,Attention please : Hearing that the shortage of baby foods in many camps across kerala. Those who collects food please note this. #Keralafloods,Attention please : Hearing that the shortage of baby foods in many camps across <STATE>kerala</STATE>. Those who collects food please note this. #Keralafloods
ID_1030745832318849026,#IndiaForKerala #Donate4Kerala So far we have collected around 2 lac rupees from 70 Mosques in Maharshtra after Friday prayers We are continuing our Flood Relief drive and request you to kindly donate generously to this Noble cause #KeralaFloods,#IndiaForKerala #Donate4Kerala So far we have collected around 2 lac rupees from 70 Mosques in <STATE>Maharshtra</STATE> after Friday prayers We are continuing our Flood Relief drive and request you to kindly donate generously to this Noble cause #KeralaFloods
ID_1035167535128174594,"#RelianceFoundation donated Rs 21 crores towards the Chief Minister’s Relief Fund. In addition, dry grocery worth Rs. 50cr; 7.5 lakh pieces of apparel & 1.5 lakh footwear have been distributed to the flood-affected. #KeralaFloods #RFForKerala","#RelianceFoundation donated Rs 21 crores towards the Chief Minister’s Relief Fund. In addition, dry grocery worth Rs. 50cr; 7.5 lakh pieces of apparel & 1.5 lakh footwear have been distributed to the flood-affected. #KeralaFloods #RFForKerala"
ID_1032276287631421441,RT @amodmalik: This is how they treat taxpayers hard earned money and then they want foreign relief funds. #KerelaFloods,RT @amodmalik: This is how they treat taxpayers hard earned money and then they want foreign relief funds. #KerelaFloods
ID_1035121848508448768,"#KeralaFloods : 483 Dead in Flood and Landslides, Losses More Than Annual Outlay, Says CM Pinarayi Vijayan  #KeralaFloodRelief #Landslides #pinarayivijayan","#KeralaFloods : 483 Dead in Flood and Landslides, Losses More Than Annual Outlay, Says CM <CITY>Pinarayi</CITY> Vijayan  #KeralaFloodRelief #Landslides #pinarayivijayan"
ID_1032563785368854528,#VIDEO: #Kerala faces massive #flood in 100 years - #AlJazeera  #India #flooding #floods #naturaldisaster #Thiruvananthapuram,#VIDEO: #<STATE>Kerala</STATE> faces massive #flood in 100 years - #AlJazeera  #<COUNTRY>India</COUNTRY> #flooding #floods #naturaldisaster #Thiruvananthapuram
ID_1032051684774748161,"RT @ishafoundation: Food and relief materials distributed at UC College, Aluva. #KeralaFloodRelief","RT @ishafoundation: Food and relief materials distributed at <HUMAN-MADE-POINT-OF-INTEREST>UC College</HUMAN-MADE-POINT-OF-INTEREST>, <CITY>Aluva</CITY>. #KeralaFloodRelief"
ID_1030740760218427392,"The worst floods in a century in Kerala have killed 324 people and forced more than 200,000 into relief camps, officials said on Friday, with the toll expected to rise as heavy rain pushes water levels higher still. #KeralaFloods","The worst floods in a century in <STATE>Kerala</STATE> have killed 324 people and forced more than 200,000 into relief camps, officials said on Friday, with the toll expected to rise as heavy rain pushes water levels higher still. #KeralaFloods"
ID_1037610333559390208,A 32 Years Old IAS Officer Mannan Gopinathan Worked At Releif Camps In Flood Hit Areas & Carried Relief Material On His Head For 8Days Untill He Was Recognised By A Senior He Was On Official Visit To Give 1Crore Cheque For #KeralaFloodRelief He Serves As DC In Dadra Nagar Haveli,A 32 Years Old IAS Officer Mannan Gopinathan Worked At Releif Camps In Flood Hit Areas & Carried Relief Material On His Head For 8Days Untill He Was Recognised By A Senior He Was On Official Visit To Give 1Crore Cheque For #KeralaFloodRelief He Serves As DC In <STATE>Dadra Nagar Haveli</STATE>
ID_1032104600818442242,United Arab Emirates (UAE) offering financial assistance of Rs 700 crores for #KeralaFloodRelief is the best news I have heard In a very long time. Fills my heart ☺️☺️☺️ #comingtogetherforthegreatergood,<COUNTRY>United Arab Emirates</COUNTRY> (UAE) offering financial assistance of Rs 700 crores for #KeralaFloodRelief is the best news I have heard In a very long time. Fills my heart ☺️☺️☺️ #comingtogetherforthegreatergood
ID_1030383790147944450,"India floods kill more than 160, evacuation operations continue. #KeralaFloods #KeralaRescue","<COUNTRY>India</COUNTRY> floods kill more than 160, evacuation operations continue. #KeralaFloods #KeralaRescue"
ID_1030396875134787584,RT @sekartweets: Nayanthara donated Rs 10 lakhs for #KeralaFloodRelief,RT @sekartweets: Nayanthara donated Rs 10 lakhs for #KeralaFloodRelief
ID_1031165008141414400,RT @RevappaAmagond: Just donated Rs. 2000 to Kerala CMs Flood relief fund. Inspired by Delhi MLAs like @Saurabh_MLAgk & CM @ArvindKejriwa,RT @RevappaAmagond: Just donated Rs. 2000 to <STATE>Kerala</STATE> CMs Flood relief fund. Inspired by <CITY>Delhi</CITY> MLAs like @Saurabh_MLAgk & CM @ArvindKejriwa
ID_1032650641229926400,Donations collected in Britain for Gujarat quake relief were sent to violent extremists groups close to RSS - remember! And now BJP wants to deny foreign aid to flood-hit Kerala!,Donations collected in <COUNTRY>Britain</COUNTRY> for <STATE>Gujarat</STATE> quake relief were sent to violent extremists groups close to RSS - remember! And now BJP wants to deny foreign aid to flood-hit <STATE>Kerala</STATE>!
ID_1035457304320196608,Principal Secretary Power Dept/CMD Delhi Transco Limited Smt. Varsha Joshi hands over a cheque of Rs. 10.15 lakhs on behalf of the staff members of Delhi Transco Limited for Kerala Flood Relief to Power Minister @SatyendarJain at the Delhi Secretariat.,Principal Secretary Power Dept/CMD Delhi Transco Limited Smt. Varsha Joshi hands over a cheque of Rs. 10.15 lakhs on behalf of the staff members of <CITY>Delhi</CITY> Transco Limited for <STATE>Kerala</STATE> Flood Relief to Power Minister @SatyendarJain at the Delhi Secretariat.
ID_1036242305731051521,"A time-lapse video of volunteers in Kochi loading back-to-home-kits, containing food and other essential items, to be distributed in flood-affected houses in the suburbs tonight. #KeralaFloods","A time-lapse video of volunteers in <CITY>Kochi</CITY> loading back-to-home-kits, containing food and other essential items, to be distributed in flood-affected houses in the suburbs tonight. #KeralaFloods"
ID_1035511806616162305,"@nsitharaman ma’am, as you know the bridge connecting Pamba-Sabarimala was damaged beyond any repair in the recent flood in  devotees have to offer prayers from 10/9, which is only possible if Army could make bailey bridge over pamba.Your intervention reqd","@nsitharaman ma’am, as you know the bridge connecting <NATURAL-POINT-OF-INTEREST>Pamba</NATURAL-POINT-OF-INTEREST>-<HUMAN-MADE-POINT-OF-INTEREST>Sabarimala</HUMAN-MADE-POINT-OF-INTEREST> was damaged beyond any repair in the recent flood in  devotees have to offer prayers from 10/9, which is only possible if Army could make bailey bridge over <NATURAL-POINT-OF-INTEREST>pamba</NATURAL-POINT-OF-INTEREST>.Your intervention reqd"
ID_1030995070407733249,Qatar donates $5 million (Rs 35cr) for #KeralaFloods,<COUNTRY>Qatar</COUNTRY> donates $5 million (Rs 35cr) for #KeralaFloods
ID_1031816440997863424,Thankyou UAE Government for 700cr. to Kerala Flood Relief #UAEStandsWithKerala #uae #KeralaFloodRelief #uaegovernment,Thankyou <COUNTRY>UAE</COUNTRY> Government for 700cr. to <STATE>Kerala</STATE> Flood Relief #UAEStandsWithKerala #uae #KeralaFloodRelief #uaegovernment
ID_1034996989589639168,"Is this for real? Robin, #Fisherman: We dont want the 3000 rs govt has announced per boat, for saving lives. Let that go for #KeralaFlood relief. Instead,16 of us have brought 30,000rs collectively for the diasater relief fund,from the last 3 days we could go for work. @ndtv","Is this for real? Robin, #Fisherman: We dont want the 3000 rs govt has announced per boat, for saving lives. Let that go for #KeralaFlood relief. Instead,16 of us have brought 30,000rs collectively for the diasater relief fund,from the last 3 days we could go for work. @ndtv"
ID_1034259484233883648,"Home Minister @rajnathsingh to visit the flood-affected areas of Kerala today. 14 NDRF teams deployed; seven rescued, 398 others and 12 livestock evacuated ➡️ #KeralaFloods #KeralaFloodRelief","Home Minister @rajnathsingh to visit the flood-affected areas of <STATE>Kerala</STATE> today. 14 NDRF teams deployed; seven rescued, 398 others and 12 livestock evacuated ➡️ #KeralaFloods #KeralaFloodRelief"
ID_1031888158722408448,RT @Actor_Vijay: ⚡️#ThalapathyVijay donates Rs.70 lakh towards #KeralaFloodRelief,RT @Actor_Vijay: ⚡️#ThalapathyVijay donates Rs.70 lakh towards #KeralaFloodRelief
ID_1033762301973692417,"Folks in Palakkad, Tomorrow a team going to relief camp in Muthalamada. Please bring resources to Kollangode Panchayat office or contact below numbers Vishnu -9446974932 Akshay- +91 94954 37600 @dhanyarajendran #KeralaFloodRelief","Folks in <CITY>Palakkad</CITY>, Tomorrow a team going to relief camp in <CITY>Muthalamada</CITY>. Please bring resources to <CITY>Kollangode</CITY> Panchayat office or contact below numbers Vishnu -9446974932 Akshay- +91 94954 37600 @dhanyarajendran #KeralaFloodRelief"
ID_1033992972226846726,We are with you @Kerala. Read on to find out how drones are aiding in providing emergency response in times of need: #KeralaFloodRelief #KeralaFloods #UAVtotherescue #emergencyresponse  via @geoworldmedia,We are with you @Kerala. Read on to find out how drones are aiding in providing emergency response in times of need: #KeralaFloodRelief #KeralaFloods #UAVtotherescue #emergencyresponse  via @geoworldmedia
ID_1037305239773184001,"Thousands of sacks of rice, meant to feed the poorest of people for Onam, lie damaged at agro mills, rotting away. Such scenes can be traumatising for many. I report from Perumbavoor for @IndianExpress on the economic impact of the #KeralaFloods","Thousands of sacks of rice, meant to feed the poorest of people for <CITY>Onam</CITY>, lie damaged at agro mills, rotting away. Such scenes can be traumatising for many. I report from <CITY>Perumbavoor</CITY> for @IndianExpress on the economic impact of the #KeralaFloods"
ID_1031093515709636608,"Whoa!!!!!.. SHAH RUKH KHAN donated a huge amount of 5 crore for kerala flood relief!!!..despite his few movies didnt work at box office!!!!.. The guy got a big heart!! On the hands, the rest of 2 so called khans, earning crores of money Donated  Ghanta .","Whoa!!!!!.. SHAH RUKH KHAN donated a huge amount of 5 crore for <STATE>kerala</STATE> flood relief!!!..despite his few movies didnt work at box office!!!!.. The guy got a big heart!! On the hands, the rest of 2 so called khans, earning crores of money Donated  Ghanta ."
ID_1033752887325810688,"While Kerala victims suffer and Pinarayi Vijayan wants Saudi money for #KeralaFloods relief, he gave NCP leader’s family Rs 25 lakh without prior or formal application! ⁦@PratibaRaman⁩ reports in ⁦@MyNation⁩","While <STATE>Kerala</STATE> victims suffer and <STATE>Pinarayi Vijayan</STATE> wants Saudi money for #KeralaFloods relief, he gave NCP leader’s family Rs 25 lakh without prior or formal application! ⁦@PratibaRaman⁩ reports in ⁦@MyNation⁩"
ID_1033189037987622912,Unimoni employees are continuing to make a difference by collecting essential supplies at the company guest house and distributing the inventory. A network has been created to dispatch these provisions to relief camps. #KeralaFloods #KeralaFloodRescue,Unimoni employees are continuing to make a difference by collecting essential supplies at the company guest house and distributing the inventory. A network has been created to dispatch these provisions to relief camps. #KeralaFloods #KeralaFloodRescue
