tweet_id,plain_text,xml_text
ID_1002058173178613765,"Maryland to Conduct Damage Assessments with FEMA in Areas Impacted by Flooding #FrederickMD Howard, Baltimore Counties, Baltimore City to Work Jointly with MEMA REISTERSTOWN, Md. (May 30, 2018) — MEMA and FEMA","<STATE>Maryland</STATE> to Conduct Damage Assessments with FEMA in Areas Impacted by Flooding #FrederickMD Howard, <COUNTY>Baltimore</COUNTY> Counties, <CITY>Baltimore</CITY> City to Work Jointly with MEMA REISTERSTOWN, Md. (May 30, 2018) — MEMA and FEMA"
ID_1001843211940384768,"[ WATCH IT ] Flash floods struck a Maryland community wracked by similar flooding in 2016, authorities said, and water rescues were being carried out. Video on social media showed raging water rushing down Main Street in Ellicott City, west of Baltimore.","[ WATCH IT ] Flash floods struck a <STATE>Maryland</STATE> community wracked by similar flooding in 2016, authorities said, and water rescues were being carried out. Video on social media showed raging water rushing down Main Street in <CITY>Ellicott City</CITY>, west of <CITY>Baltimore</CITY>."
ID_1001493612977418240,.@MD_DLLR has services available for those affected by flooding. See below and visit  for more information.,.@MD_DLLR has services available for those affected by flooding. See below and visit  for more information.
ID_1001205140878188547,"RT @AP: The Latest: One person is missing in flash flooding that struck historic Ellicott City, Maryland.","RT @AP: The Latest: One person is missing in flash flooding that struck historic <CITY>Ellicott</CITY> City, <STATE>Maryland</STATE>."
ID_1002650883979694085,Today begins the 2018 Hurricane Season for Maryland and our team is focused on supporting recovery efforts from two recent severe flooding events. @MDMEMA #partofthesolution,Today begins the 2018 Hurricane Season for <STATE>Maryland</STATE> and our team is focused on supporting recovery efforts from two recent severe flooding events. @MDMEMA #partofthesolution
ID_1001366994271207424,"Significant damage in Ellicott City, Maryland after major floodwaters tore through the area this holiday weekend.","Significant damage in <CITY>Ellicott City</CITY>, <STATE>Maryland</STATE> after major floodwaters tore through the area this holiday weekend."
ID_1002992953617416193,Heavy rains possible aroiund Maryland today. Follow local forecasts.,Heavy rains possible aroiund <STATE>Maryland</STATE> today. Follow local forecasts.
ID_1001231015275311105,RT @FriendEden100: Climate Change: Maryland Governor Declares State of Emergency After 6 Hours Of Heavy Rain Caused Severe Flash Floods htt,RT @FriendEden100: Climate Change: <STATE>Maryland</STATE> Governor Declares State of Emergency After 6 Hours Of Heavy Rain Caused Severe Flash Floods htt
ID_1001904243505287169,"2 years ago, floods hit #EllicottCity, the same area in Maryland that flooded Sunday. That event was called a 1,000-year flood & early reports say this year’s damage to infrastructure is far worse. How should #stormwater design prepare for atypical storms?","2 years ago, floods hit #EllicottCity, the same area in <STATE>Maryland</STATE> that flooded Sunday. That event was called a 1,000-year flood & early reports say this year’s damage to infrastructure is far worse. How should #stormwater design prepare for atypical storms?"
ID_1002739498118270976,Severe T-storm Warning for Frederick County in Maryland. Damaging winds and flash flooding are the main threats. Get ready Libertytown. #wusa9weather @wusa9 @melissanordwx,Severe T-storm Warning for <COUNTY>Frederick</COUNTY> County in <STATE>Maryland</STATE>. Damaging winds and flash flooding are the main threats. Get ready <CITY>Libertytown</CITY>. #wusa9weather @wusa9 @melissanordwx
ID_1002332072722255872,A flood watch across Central Maryland has been upgraded to a flash flood watch -- periods of intense rainfall of 2-4 inches are possible through 2 a.m.,A flood watch across Central <STATE>Maryland</STATE> has been upgraded to a flash flood watch -- periods of intense rainfall of 2-4 inches are possible through 2 a.m.
ID_1004231150569746433,"One person missing after flash flooding hits Ellicott City, Maryland #Trending #Vids","One person missing after flash flooding hits <CITY>Ellicott City</CITY>, <STATE>Maryland</STATE> #Trending #Vids"
ID_1002580599054503938,This cow couldnt mooooove after getting stuck in a swimming pool in Maryland. Firefighters came to the rescue:,This cow couldnt mooooove after getting stuck in a swimming pool in <STATE>Maryland</STATE>. Firefighters came to the rescue:
ID_1001179344360755200,RT @KTLAMorningNews: Maryland Governor Declares State of Emergency as Heavy Flooding Ravages Baltimore Region,RT @KTLAMorningNews: <STATE>Maryland</STATE> Governor Declares State of Emergency as Heavy Flooding Ravages <CITY>Baltimore</CITY> Region
ID_1002986050988503040,"NEW: Flood warning (green box below) issued for southern Prince Georges & western Charles counties in Maryland until 7pm tonight due to heavy rain over the region. Reminder to please DO NOT cross flooded roadways. Turn around, don’t drown. ἲ7⛈","NEW: Flood warning (green box below) issued for southern Prince Georges & western Charles counties in <STATE>Maryland</STATE> until 7pm tonight due to heavy rain over the region. Reminder to please DO NOT cross flooded roadways. Turn around, don’t drown. ἲ7⛈"
ID_1001138377717157888,"WATCH: 1 missing after flash #FLOODING devastates Ellicott City, Maryland  #GPWX","WATCH: 1 missing after flash #FLOODING devastates <CITY>Ellicott City</CITY>, <STATE>Maryland</STATE>  #GPWX"
ID_1002565671476170753,Firefighters rescue cow that got stuck in a swimming pool in Maryland.  #NBCCT,Firefighters rescue cow that got stuck in a swimming pool in <STATE>Maryland</STATE>.  #NBCCT
ID_1002142648390574080,FLASH FLOODS: A flash food watch goes into effects for parts of Maryland at 2:00 p.m. Thursday and continues throughout Thursday night. Rain is in the forecast throughout the weekend.,FLASH FLOODS: A flash food watch goes into effects for parts of <STATE>Maryland</STATE> at 2:00 p.m. Thursday and continues throughout Thursday night. Rain is in the forecast throughout the weekend.
ID_1001359049089265664,"Maryland county grapples with devastation left behind by flash flood One man remained missing after flash flooding tore down historic Main Street in Ellicott City, Maryland.","<STATE>Maryland</STATE> county grapples with devastation left behind by flash flood One man remained missing after flash flooding tore down historic Main Street in <CITY>Ellicott City</CITY>, <STATE>Maryland</STATE>."
ID_1001439980995178496,"RT @AMHQ: Were surveying the flooding damage in Ellicott, Maryland LIVE all morning:","RT @AMHQ: Were surveying the flooding damage in <CITY>Ellicott</CITY>, <STATE>Maryland</STATE> LIVE all morning:"
ID_1001152643497119744,RT @juicelessdre: 2 floods = an infrastructure problem,RT @juicelessdre: 2 floods = an infrastructure problem
ID_1001927509431156736,Family mourns death of Guardsman trying to rescue flood victim  He Died as The Hero He Was Trying to Save a Woman in The Floods.,Family mourns death of Guardsman trying to rescue flood victim  He Died as The Hero He Was Trying to Save a Woman in The Floods.
ID_1001520819900698624,Heard they found the body of missing National Guard member Eddison Hermond. The 39-year old tried protecting others at a restaurant by holding doors closed during flash flooding in Ellicott City Maryland. Swept away trying to find a woman’s cat.,Heard they found the body of missing National Guard member Eddison Hermond. The 39-year old tried protecting others at a restaurant by holding doors closed during flash flooding in <CITY>Ellicott City</CITY> <STATE>Maryland</STATE>. Swept away trying to find a woman’s cat.
ID_1001207264093593601,A state of emergency is in effect in a historic Maryland city after powerful flash flooding devastated its downtown. The water neared the second floor of buildings and swept away cars,A state of emergency is in effect in a historic <STATE>Maryland</STATE> city after powerful flash flooding devastated its downtown. The water neared the second floor of buildings and swept away cars
ID_1001498263432949760,Fears for National Guardsman swept away in Maryland flash floods  via @MailOnline,Fears for National Guardsman swept away in <STATE>Maryland</STATE> flash floods  via @MailOnline
ID_1001629715055235073,Violent flood in Maryland city leaves one missing,Violent flood in <CITY>Maryland</CITY> city leaves one missing
ID_1001158582619000833,"National Guardsman missing after flash flooding devastates Ellicott City, Maryland: ‘I’m hopeful that he’ll be OK’","National Guardsman missing after flash flooding devastates <CITY>Ellicott City</CITY>, <STATE>Maryland</STATE>: ‘I’m hopeful that he’ll be OK’"
ID_1002571756400410624,"Drone video shows devastation in wake of flash floods that hit Ellicott City, Maryland after the neighborhood saw 8.4 inches of rain in just a few hours earlier this week.","Drone video shows devastation in wake of flash floods that hit <CITY>Ellicott City</CITY>, <STATE>Maryland</STATE> after the neighborhood saw 8.4 inches of rain in just a few hours earlier this week."
ID_1001386813251051520,TODAY clean up continues in Maryland after the devastating floods.. while the search continues for a missing man. We’re tracking the latest on @WMTWTV,TODAY clean up continues in <STATE>Maryland</STATE> after the devastating floods.. while the search continues for a missing man. We’re tracking the latest on @WMTWTV
ID_1003650170054115330,Maryland state flag and flag of Howard County at half staff until the burial of National Guard Sgt. Eddison Hermond who was swept away by the Ellicott City floods while trying to help a pet store owner. @WTOP #ECStrong #ECFlood,<STATE>Maryland</STATE> state flag and flag of <COUNTY>Howard County</COUNTY> at half staff until the burial of National Guard Sgt. Eddison Hermond who was swept away by the <CITY>Ellicott City</CITY> floods while trying to help a pet store owner. @WTOP #ECStrong #ECFlood
ID_1002511281511776256,A moo-ving rescue: Cow pulled from Maryland swimming pool - WTOP,A moo-ving rescue: Cow pulled from <STATE>Maryland</STATE> swimming pool - WTOP
ID_1003665523773788160,"Flooding causes major damage to a Maryland bridge. @HellgrenWJZ is live with the latest, next at 12pm on WJZ.","Flooding causes major damage to a <STATE>Maryland</STATE> bridge. @HellgrenWJZ is live with the latest, next at 12pm on WJZ."
ID_1001455975113650176,Maryland National Guardsman Swept Away in Flood During Attempted Rescue: Sgt. Eddison Hermond,<STATE>Maryland</STATE> National Guardsman Swept Away in Flood During Attempted Rescue: Sgt. Eddison Hermond
ID_1001639826351943680,"BREAKING UPDATE: A man is now reported missing from the floods in Ellicott City, Maryland. Eddison Hermand was swept away yesterday at around 4:20 p.m. when rescuing others.","BREAKING UPDATE: A man is now reported missing from the floods in <CITY>Ellicott City</CITY>, <STATE>Maryland</STATE>. Eddison Hermand was swept away yesterday at around 4:20 p.m. when rescuing others."
ID_1001540081734246400,#UPDATE: National Guardsmans body found days after he was swept away during flash flood rescue in Maryland,#UPDATE: National Guardsmans body found days after he was swept away during flash flood rescue in <STATE>Maryland</STATE>
ID_1004057889705680896,"Thanks to our friends & partners, we were able to help @GodsPitCrew purchase a new semi-truck! This will make it even easier to provide much-needed relief & supplies following disasters. Currently, they are on site in Maryland helping the community & those impacted by flooding!","Thanks to our friends & partners, we were able to help @GodsPitCrew purchase a new semi-truck! This will make it even easier to provide much-needed relief & supplies following disasters. Currently, they are on site in <STATE>Maryland</STATE> helping the community & those impacted by flooding!"
ID_1001930543091601408,"An Exeter man was among those who had to be rescued from severe flooding in Ellicott City, Maryland:  #exeternh #flooding #EllicottCity #EllicottCityFlood","An Exeter man was among those who had to be rescued from severe flooding in <CITY>Ellicott City</CITY>, <STATE>Maryland</STATE>:  #exeternh #flooding #EllicottCity #EllicottCityFlood"
ID_1001427955741089792,Tuesday May 29 - Morning Update: A National Guard member helping a woman during the Maryland floods has gone missing; The UK government is set to change the law after menstruating women were left to bleed in police custody Via @BuzzFeedNews @elamin88,Tuesday May 29 - Morning Update: A National Guard member helping a woman during the <STATE>Maryland</STATE> floods has gone missing; The <COUNTRY>UK</COUNTRY> government is set to change the law after menstruating women were left to bleed in police custody Via @BuzzFeedNews @elamin88
ID_1001146965948706816,National Guardsman missing after flash flooding devastates historic town  via @instapaper,National Guardsman missing after flash flooding devastates historic town  via @instapaper
ID_1001553270228357120,The body of a 39-year-old veteran was recovered in the Maryland floods. Police said he was last seen early Sunday evening trying to help a woman who had escaped through a window with her cat while seething brown waters surged through the downtown.,The body of a 39-year-old veteran was recovered in the <STATE>Maryland</STATE> floods. Police said he was last seen early Sunday evening trying to help a woman who had escaped through a window with her cat while seething brown waters surged through the downtown.
