tweet_id,plain_text,xml_text
ID_1111053442708107264,"Please share and invite your friends and family to visit this auction fundraiser to benefit the Ranchers and Farmers in Nebraska. As youve seen recently, over 70% of the state has been affected. They need our help.","Please share and invite your friends and family to visit this auction fundraiser to benefit the Ranchers and Farmers in <STATE>Nebraska</STATE>. As youve seen recently, over 70% of the state has been affected. They need our help."
ID_1111252147759398912,MD 0244 CONCERNING SEVERE POTENTIALWATCH UNLIKELY FOR PARTS OF SOUTHERN NEBRASKA AND NORTHERN KANSAS Mesoscale Discussion 0244 NWS Storm Prediction Center Norman OK 0752 AM CDT Thu Mar 28 2019 Areas affectedParts of southern Nebraska and northern,MD 0244 CONCERNING SEVERE POTENTIALWATCH UNLIKELY FOR PARTS OF SOUTHERN <STATE>NEBRASKA</STATE> AND NORTHERN <STATE>KANSAS</STATE> Mesoscale Discussion 0244 NWS Storm Prediction Center Norman OK 0752 AM CDT Thu Mar 28 2019 Areas affectedParts of southern <STATE>Nebraska</STATE> and northern
ID_1111602657137954817,"FEMA & SBA reps will be at the first Disaster Recovery Center opening this morning in Valley. Flood victims can register for federal financial assistance, both grants and loans. I’m LIVE in Valley this morning on @KETV #FirstNews.","FEMA & SBA reps will be at the first Disaster Recovery Center opening this morning in <NATURAL-POINT-OF-INTEREST>Valley</NATURAL-POINT-OF-INTEREST>. Flood victims can register for federal financial assistance, both grants and loans. I’m LIVE in <NATURAL-POINT-OF-INTEREST>Valley</NATURAL-POINT-OF-INTEREST> this morning on @KETV #FirstNews."
ID_1112799292106915842,"Following Nebraska’s historic flooding, nurses are volunteering their time and expertise to aid in relief efforts. For two of these nurses, the disaster hit close to home:","Following <STATE>Nebraska</STATE>’s historic flooding, nurses are volunteering their time and expertise to aid in relief efforts. For two of these nurses, the disaster hit close to home:"
ID_1112535466769821701,@UlrichFarm @KS_NE_1013 @Afuelberth1 Thats awesome! God bless the Nebraska farmers. I had friends in SW Kansas that got relief from Nebraska farmers when the brush fires took their toll a couple years ago. Country folks help each other. Amen.,@UlrichFarm @KS_NE_1013 @Afuelberth1 Thats awesome! God bless the <STATE>Nebraska</STATE> farmers. I had friends in SW <STATE>Kansas</STATE> that got relief from <STATE>Nebraska</STATE> farmers when the brush fires took their toll a couple years ago. Country folks help each other. Amen.
ID_1110255173660786693,"Lots of Nebraska #roads, #bridges, #highways, and other #infrastructure experienced severe damage due to the record #flooding over the last 2 weeks. Photos by Capt. Ryan Hignight, @USACEHQ Omaha District. @aashtospeaks @NebraskaDOT @GovRicketts","Lots of <STATE>Nebraska</STATE> #roads, #bridges, #highways, and other #infrastructure experienced severe damage due to the record #flooding over the last 2 weeks. Photos by Capt. Ryan Hignight, @USACEHQ <STATE>Omaha</STATE> District. @aashtospeaks @NebraskaDOT @GovRicketts"
ID_1110923037766021121,#Nebraska Central #Railroad also suffering #flood damage after Mid-March rains | #Trains Magazine,#<STATE>Nebraska</STATE> Central #Railroad also suffering #flood damage after Mid-March rains | #Trains Magazine
ID_1111419396893765634,@thehannahhuston Im so happy for the state of Nebraska. Keep the donations coming in!!,@thehannahhuston Im so happy for the state of <STATE>Nebraska</STATE>. Keep the donations coming in!!
ID_1110919666678018053,"Anheuser-Busch, the brewing company, which produces Budweiser and Bud Light among other beverages, announced last week that they will be sending more than 100,000 cans of water to areas affected by the flooding in Nebraska.","Anheuser-Busch, the brewing company, which produces Budweiser and Bud Light among other beverages, announced last week that they will be sending more than 100,000 cans of water to areas affected by the flooding in <STATE>Nebraska</STATE>."
ID_1111740074000035840,Offutt Air Force Base near Omaha has reopened its runway and taxiways after determining that flooding didnt cause any damage.,Offutt Air Force Base near <CITY>Omaha</CITY> has reopened its runway and taxiways after determining that flooding didnt cause any damage.
ID_1111060884678418432,"Farmers in Manchester, Iowa, are collecting cleaning supplies, fencing, bales of hay, and monetary donations to drive west for flooded Nebraska farmers.","Farmers in <CITY>Manchester</CITY>, <STATE>Iowa</STATE>, are collecting cleaning supplies, fencing, bales of hay, and monetary donations to drive west for flooded <STATE>Nebraska</STATE> farmers."
