tweet_id,plain_text,xml_text
ID_1176487666495492102,#earthquake In Azad Kashmir Pakistani people will again help out their brothers in this difficult time. Allah Almighty will save our brothers. Blood donors will Also visit hospital.,#earthquake In <STATE>Azad Kashmir</STATE> Pakistani people will again help out their brothers in this difficult time. Allah Almighty will save our brothers. Blood donors will Also visit hospital.
ID_1176545511135961093,Emergency squad of Urban Search And Rescue (USAR) team of #Rescue1122 #Rawalpindi moved to help #earthquake victims in #Mirpur AJK. Our prayers are with all. ὆8‍Ὡ2,Emergency squad of Urban Search And Rescue (USAR) team of #Rescue1122 #Rawalpindi moved to help #earthquake victims in #<CITY>Mirpur</CITY> <CITY>AJK</CITY>. Our prayers are with all. ὆8‍Ὡ2
ID_1176513662883913729,I pledge to donate all my match fees from the #PAKvSL series to the ppl affected by the #earthquake in Pakistan today. Let’s try to help our brothers and sisters in need.,I pledge to donate all my match fees from the #PAKvSL series to the ppl affected by the #earthquake in <COUNTRY>Pakistan</COUNTRY> today. Let’s try to help our brothers and sisters in need.
ID_1176491718587404288,RT @Nira_Sayaapa: Stay Safe people..!! Make sure to take Precautionary measures.. ὡEὡE #earthquake,RT @Nira_Sayaapa: Stay Safe people..!! Make sure to take Precautionary measures.. ὡEὡE #earthquake
ID_1176488128913301505,"RT @AbdulM0eed: Update: Building Collapsed, Must university Campus in Chiterpari Mirpur. #earthquake","RT @AbdulM0eed: Update: Building Collapsed, Must university Campus in <CITY>Chiterpari</CITY> Mirpur. #earthquake"
ID_1176507368915554304,The destruction caused by earthquake is enormous  #CorruptionFreePakistan #Pakistan #PTIGovernment,The destruction caused by earthquake is enormous  #CorruptionFreePakistan #<COUNTRY>Pakistan</COUNTRY> #PTIGovernment
ID_1176498643047735298,"Heart Breaking views of damaged roads at Jaltan Road, Mirpur Kashmir May Allah protect us all #Ameen I request all the people, please do something practical for the relief operations in the affected areas #Earthquake","Heart Breaking views of damaged roads at <ROAD>Jaltan Road</ROAD>, <CITY>Mirpur</CITY> <STATE>Kashmir</STATE> May Allah protect us all #Ameen I request all the people, please do something practical for the relief operations in the affected areas #Earthquake"
ID_1176797008692203520,"Since January 2018, 52 people have died in the custody of #PunjabPolice in #Pakistan’s eastern province- a majority of them due to #torture, according to a report by the #HumanRights Commission of Pakistan - Read full story","Since January 2018, 52 people have died in the custody of #PunjabPolice in #<COUNTRY>Pakistan</COUNTRY>’s eastern province- a majority of them due to #torture, according to a report by the #HumanRights Commission of <COUNTRY>Pakistan</COUNTRY> - Read full story"
ID_1176582523033440256,"Some more photos of #MirpurEarthquake. 30+ casualties reported so far. Pakistan Army has rescued 100s from the rubbles. National Disaster Management Authority, Govt of AJ&K and Govt of Pakistan are yet to initiate rescue & relief activities. #earthquake #KashmirEarthquake","Some more photos of #MirpurEarthquake. 30+ casualties reported so far. <COUNTRY>Pakistan</COUNTRY> Army has rescued 100s from the rubbles. National Disaster Management Authority, Govt of AJ&K and Govt of <COUNTRY>Pakistan</COUNTRY> are yet to initiate rescue & relief activities. #earthquake #KashmirEarthquake"
ID_1177126596806926337,Our teams are on the ground in #Mirpur Please donate now:  #Earthquake #EarthquakeinPakistan #Kashmir #Jhelum,Our teams are on the ground in #<CITY>Mirpur</CITY> Please donate now:  #Earthquake #EarthquakeinPakistan #<CITY>Kashmir</CITY> #<CITY>Jhelum</CITY>
ID_1176504812055252993,RT @official_ashhad: Serious situation in Azad Kashmir after earthquake where 19 died & 300 injured.Allah rehem kare.Ameen. #earthquake htt,RT @official_ashhad: Serious situation in <CITY>Azad Kashmir</CITY> after earthquake where 19 died & 300 injured.Allah rehem kare.Ameen. #earthquake htt
ID_1176496703459008512,"19 died, 300 injured in Azad Jammu Kashmir!!! Pak Army and civilian institutions carry out rescue operation. Teams from Jehlum sent to AJK, says CM Punjab. May Allah keep everyone safe! #earthquake","19 died, 300 injured in <CITY>Azad Jammu Kashmir</CITY>!!! Pak Army and civilian institutions carry out rescue operation. Teams from Jehlum sent to <CITY>AJK</CITY>, says CM <STATE>Punjab</STATE>. May Allah keep everyone safe! #earthquake"
ID_1176528627845992448,"RT @_Taha_khan1_: 5 dead, 60 injured in AJK. May Allah Forgive us ὢD #Earthquake #Kashmir","RT @_Taha_khan1_: 5 dead, 60 injured in <STATE>AJK</STATE>. May Allah Forgive us ὢD #Earthquake #<CITY>Kashmir</CITY>"
ID_1176566542089277440,"Nowadays, I do not feel the need to watch comedy films or read jokes Just watch the Indian News ὠ2ὠ2ὠ2ὠ2ὠ2ὠ2ὠ2ὠ2ὠ2ὠ2ὠ2ὠ2 #earthquake #UNGA #Kashmir #PMModi #PMImranKhan #PMIK #indiaVsPakistan","Nowadays, I do not feel the need to watch comedy films or read jokes Just watch the Indian News ὠ2ὠ2ὠ2ὠ2ὠ2ὠ2ὠ2ὠ2ὠ2ὠ2ὠ2ὠ2 #earthquake #UNGA #<CITY>Kashmir</CITY> #PMModi #PMImranKhan #PMIK #indiaVsPakistan"
ID_1176474076245876738,Reports coming from Mirpur city not looking good our #Kort Kashmir orphans Relief trust complex badly damaged as well have shifted orphans #earthquake more to follow #Kashmir #Pakistan,Reports coming from <CITY>Mirpur</CITY> city not looking good our #<CITY>Kort Kashmir</CITY> orphans Relief trust complex badly damaged as well have shifted orphans #earthquake more to follow #<CITY>Kashmir</CITY> #<COUNTRY>Pakistan</COUNTRY>
ID_1176885289752649729,"So far #Mirpur is most affected area in earthquake, reportedly 4 people have lost their lives and more than 50 are injured. #earthquake","So far #<CITY>Mirpur</CITY> is most affected area in earthquake, reportedly 4 people have lost their lives and more than 50 are injured. #earthquake"
ID_1176467833749954560,"#earthquake Roads, cars, and buildings affected by the earthquake. Around 50 people injured. One woman is reported to have died.","#earthquake Roads, cars, and buildings affected by the earthquake. Around 50 people injured. One woman is reported to have died."
ID_1176832482295111682,"Federal Minister for Interior Ijaz Ahmad Shah has directed Chief Commissioner, IG Islamabad and Civil Armed Foces including Rangers across the country to keep alert for the aftershocks warnibg issued by #NDMA and for immediate rescue & relief services to the #earthquake affectees","Federal Minister for Interior Ijaz Ahmad Shah has directed Chief Commissioner, IG Islamabad and Civil Armed Foces including Rangers across the country to keep alert for the aftershocks warnibg issued by #NDMA and for immediate rescue & relief services to the #earthquake affectees"
