tweet_id,plain_text,xml_text
ID_911993989028548609,RT @ISRAEL21C: The IDF & Israeli aid agencies send emergency response teams and aid to #Mexico following 7.1 magnitude earthquake. /,RT @ISRAEL21C: The IDF & Israeli aid agencies send emergency response teams and aid to #<COUNTRY>Mexico</COUNTRY> following 7.1 magnitude earthquake. /
ID_910703073600856064,"RT @georgelopez: Footage of the destruction of todays earthquake in #mexico , the fear in the voices and the","RT @georgelopez: Footage of the destruction of todays earthquake in #<COUNTRY>mexico</COUNTRY> , the fear in the voices and the"
ID_911622380774215680,.@ShawnMendes has such a good heart. Hes donating $100k to Mexico & launching a fundraiser for earthquake relief  ♥️,.@ShawnMendes has such a good heart. Hes donating $100k to <COUNTRY>Mexico</COUNTRY> & launching a fundraiser for earthquake relief  ♥️
ID_911689050377121792,Careful where you donate. Topos is a free organization. My family and friends took matters in their own hands to help #MexicoEarthquake,Careful where you donate. Topos is a free organization. My family and friends took matters in their own hands to help #MexicoEarthquake
ID_910788907226288128,Among the Mexico City Earthquake Victims: 21 Schoolkids,Among the <COUNTRY>Mexico</COUNTRY> City Earthquake Victims: 21 Schoolkids
ID_910583933951131648,"If you want to donate/help, @topos is helping rescue people from the collapsed buildings in Mexico due to earthquake. ἟2἟D❤️ How to donate:","If you want to donate/help, @topos is helping rescue people from the collapsed buildings in <COUNTRY>Mexico</COUNTRY> due to earthquake. ἟2἟D❤️ How to donate:"
ID_912308664731660289,#marvellous997 WATCH: Dog rescued from rubble 6 days after Mexico earthquake: The dog was,#marvellous997 WATCH: Dog rescued from rubble 6 days after <COUNTRY>Mexico</COUNTRY> earthquake: The dog was
ID_910618195475668992,RT @Bitso: International #crypto community please help #Mexico #earthquake fundraising efforts $btc $eth $xrp #BitcoinAidMexico,RT @Bitso: International #crypto community please help #<COUNTRY>Mexico</COUNTRY> #earthquake fundraising efforts $btc $eth $xrp #BitcoinAidMexico
ID_910534162444115968,NEWS: Rescuers continue to search for survivors after yesterdays 7.1-magnitude earthquake in Mexico City. At least 200 people have died.,NEWS: Rescuers continue to search for survivors after yesterdays 7.1-magnitude earthquake in <CITY>Mexico City</CITY>. At least 200 people have died.
ID_911966031609860097,"Edited version of @shawnmendes #MexicoEarthquake appeal video. The message stands, donate all you can at","Edited version of @shawnmendes #MexicoEarthquake appeal video. The message stands, donate all you can at"
ID_910538755274133504,"AWESOME, WHAT A GENTLEMAN hope many of his mega millionare colleagues also donate im sure a few hundred thousand dollars wont hurt there pay","AWESOME, WHAT A GENTLEMAN hope many of his mega millionare colleagues also donate im sure a few hundred thousand dollars wont hurt there pay"
ID_914565577179635714,"@bemeapp @jakerawr Why dont you go to Oaxaca, Mexico? The earthquake was 8.2 there, the biggest in 100 years and theres a lot of people needing help! :)","@bemeapp @jakerawr Why dont you go to <STATE>Oaxaca</STATE>, <COUNTRY>Mexico</COUNTRY>? The earthquake was 8.2 there, the biggest in 100 years and theres a lot of people needing help! :)"
ID_910560481097613312,RT @cnni: Dozens were killed in a powerful earthquake that rocked Mexico City and surrounding states,RT @cnni: Dozens were killed in a powerful earthquake that rocked <CITY>Mexico City</CITY> and surrounding states
ID_912202339955683328,"὏7 awwww-cute: This is Frida”, she has saved 52 people so far in Mexico’s Earthquake (Source:","὏7 awwww-cute: This is Frida”, she has saved 52 people so far in <COUNTRY>Mexico</COUNTRY>’s Earthquake (Source:"
ID_910537942011043841,RT @UNICEF: Heroic rescue efforts after powerful earthquake hits #Mexico. Thoughts are with everyone affected @guardian,RT @UNICEF: Heroic rescue efforts after powerful earthquake hits #<COUNTRY>Mexico</COUNTRY>. Thoughts are with everyone affected @guardian
ID_910537800289746944,RT @webcamsdemexico: MT @ABC: Drone footage shows destruction in Mexico City caused by the 7.1m earthquake;  :,RT @webcamsdemexico: MT @ABC: Drone footage shows destruction in <CITY>Mexico City</CITY> caused by the 7.1m earthquake;  :
