tweet_id,plain_text,xml_text
ID_871963440625201152,"Korean actress Lee Young-ae know as ‘Changumi’ made a contribution of USD 50,000 to support flood relief efforts in Sri Lanka","Korean actress Lee Young-ae know as ‘Changumi’ made a contribution of USD 50,000 to support flood relief efforts in <COUNTRY>Sri Lanka</COUNTRY>"
ID_881384379469234176,RT @Vidiyallk: Government seeks #world aid for #FloodRelief; 4 ministers appointed to work out plans for donor conference in #Colombo short,RT @Vidiyallk: Government seeks #world aid for #FloodRelief; 4 ministers appointed to work out plans for donor conference in #<CITY>Colombo</CITY> short
ID_870876115434299392,First phase of the @IMCD_officials #FloodRelief program is over. Please direct dry ration donations to Rathmalana Air Force Camp. #FloodSL,First phase of the @IMCD_officials #FloodRelief program is over. Please direct dry ration donations to <NEIGHBORHOOD>Rathmalana</NEIGHBORHOOD> Air Force Camp. #FloodSL
ID_874162932837306368,ADB grants USD$ 2m as recent disaster relief aid #lka #srilanka #flood @ADB_HQ,ADB grants USD$ 2m as recent disaster relief aid #lka #<COUNTRY>srilanka</COUNTRY> #flood @ADB_HQ
ID_870193112882135045,"#FloodSL situation report as of 0900 hrs, 31.05.2017 - 202 confirmed deaths, 96 still missing, 629,742 people affected. #lka via @dmc_lk","#FloodSL situation report as of 0900 hrs, 31.05.2017 - 202 confirmed deaths, 96 still missing, 629,742 people affected. #lka via @dmc_lk"
ID_872058574146596865,RT @Ali_answers: #PakistanNavy providing relief goods to the #flood hit areas of #colombo during a #rescue operation #srilanka ἟5἟0἟1἟0,RT @Ali_answers: #PakistanNavy providing relief goods to the #flood hit areas of #colombo during a #rescue operation #<COUNTRY>srilanka</COUNTRY> ἟5἟0἟1἟0
ID_870613784888475649,"Restart family packs for those returning home - money or cash donations can be dropped off at Anim8, Thimbirigasyaya. #FloodSL #LKA","Restart family packs for those returning home - money or cash donations can be dropped off at Anim8, Thimbirigasyaya. #FloodSL #LKA"
ID_871882187406286848,Bangladesh donates US $500000 for Sri Lanka flood victims  #news,<COUNTRY>Bangladesh</COUNTRY> donates US $500000 for <COUNTRY>Sri Lanka</COUNTRY> flood victims  #news
ID_870359598640660480,"In #Gampaha our volunteers conducted a #firstaid camp for flood affected in Dompe & Biyagama, supported by @CocaColaLK. #LKA #FloodSL","In #<CITY>Gampaha</CITY> our volunteers conducted a #firstaid camp for flood affected in Dompe & Biyagama, supported by @CocaColaLK. #LKA #FloodSL"
ID_873507130816516098,Puravesi Athwela humanitarian train travelled from North to South of #SriLanka carrying relief goods for the flood victims in the South.,Puravesi Athwela humanitarian train travelled from North to South of #<COUNTRY>SriLanka</COUNTRY> carrying relief goods for the flood victims in the South.
ID_878173887871299585,RT @LiveRiceIndex: The U.N. warns that a severe drought followed by floods has affected #rice production in #SriLanka,RT @LiveRiceIndex: The U.N. warns that a severe drought followed by floods has affected #rice production in #<COUNTRY>SriLanka</COUNTRY>
ID_871669889920102400,#EU #humanitarian partners are distributing #emergency relief items & assessing further needs after #SriLanka #floods #FloodSL,#EU #humanitarian partners are distributing #emergency relief items & assessing further needs after #<COUNTRY>SriLanka</COUNTRY> #floods #FloodSL
ID_870308502262108160,When volunteer orgs are more forthcoming with their transactions than some govt. offices when presented with RTI requests. #FloodSL #lka,When volunteer orgs are more forthcoming with their transactions than some govt. offices when presented with RTI requests. #FloodSL #<COUNTRY>lka</COUNTRY>
ID_873969565322969089,"RT @EllieWorldwide: If you want to help Sri Lanka #flood #disaster, please support @TeamRubiconUK - volunteers flying in now. Donate at htt","RT @EllieWorldwide: If you want to help <COUNTRY>Sri Lanka</COUNTRY> #flood #disaster, please support @TeamRubiconUK - volunteers flying in now. Donate at htt"
ID_872444513008201728,RT @Joan_ned: Glad to announce Netherlands Red Cross will contribute €200.000 to IFRC appeal to support victims #FloodSL @SLRedCross @Fede,RT @Joan_ned: Glad to announce <COUNTRY>Netherlands</COUNTRY> Red Cross will contribute €200.000 to IFRC appeal to support victims #FloodSL @SLRedCross @Fede
ID_870907577416245248,"@TNAmediaoffice MPs visited Ratnapura, (worst-affected districts by da devastating floods & landslides) @MASumanthiran #srilanka #FloodSL","@TNAmediaoffice MPs visited <CITY>Ratnapura</CITY>, (worst-affected districts by da devastating floods & landslides) @MASumanthiran #<COUNTRY>srilanka</COUNTRY> #FloodSL"
ID_870563442331066369,"RT @gopiharan: #FloodSL situation report as of 1200 noon, 02.06.2017. Death toll has risen to 208. (via @dmc_lk ) #lka","RT @gopiharan: #FloodSL situation report as of 1200 noon, 02.06.2017. Death toll has risen to 208. (via @dmc_lk ) #lka"
ID_870975051352293377,Starting immediate #floodrelief work with my Ministry officials Ratnapura on the directions of #Srilanka President .@MaithripalaS #floodsl,Starting immediate #floodrelief work with my Ministry officials <CITY>Ratnapura</CITY> on the directions of #<COUNTRY>Srilanka</COUNTRY> President .@MaithripalaS #floodsl
ID_870512355439812609,EU provides €300 000 to support aid delivery to flood victims  via @colombogazette #srilanka #lka,EU provides €300 000 to support aid delivery to flood victims  via @colombogazette #<COUNTRY>srilanka</COUNTRY> #lka
ID_870105711329423363,FM @RavikOfficial & Actg HC of @PahicColombo receive PNS ZULFIQUAR with Relief Supplies and will assist SLN with search and rescue #FloodSL,FM @RavikOfficial & Actg HC of @PahicColombo receive PNS ZULFIQUAR with Relief Supplies and will assist SLN with search and rescue #FloodSL
ID_875181223647350789,RT @ItsYakin: The staff members of SriLankan Airlines & Catering once again donated relief goods for the #FloodSL affected districts #lka,RT @ItsYakin: The staff members of <COUNTRY>SriLankan</COUNTRY> Airlines & Catering once again donated relief goods for the #FloodSL affected districts #lka
ID_871467395172487173,US to provide Rs350mn flood relief to Sri Lanka  #news,US to provide Rs350mn flood relief to <COUNTRY>Sri Lanka</COUNTRY>  #news
ID_870258792675647488,"Raft capsizes in flood-hit Sri Lanka, kills three  #news","Raft capsizes in flood-hit <COUNTRY>Sri Lanka</COUNTRY>, kills three  #news"
ID_870358146618802176,In #Matara we continue to provide aid & first aid for people affected in the district. Todays focus was towards remote areas. #LKA #FloodSL,In #<CITY>Matara</CITY> we continue to provide aid & first aid for people affected in the district. Todays focus was towards remote areas. #LKA #FloodSL
ID_871036939679309824,ECPAT Sri Lanka - PEaCE has taken all measures to launch special medical camps to help flood victims followed by,ECPAT <COUNTRY>Sri Lanka</COUNTRY> - PEaCE has taken all measures to launch special medical camps to help flood victims followed by
ID_870420529022423041,"While Trump denies climate change: 200 die, 80,000 evacuees from Sri Lanka floods 9 killed, 300,000 evacuees from Mora cyclone #paris","While Trump denies climate change: 200 die, 80,000 evacuees from <COUNTRY>Sri Lanka</COUNTRY> floods 9 killed, 300,000 evacuees from Mora cyclone #<CITY>paris</CITY>"
ID_870685097048985601,Thank You Maldives ! Special Envoy of President of Maldives hands over Financial Assistance to #SriLanka #FloodSL Relief #LKA,Thank You <COUNTRY>Maldives</COUNTRY> ! Special Envoy of President of <COUNTRY>Maldives</COUNTRY> hands over Financial Assistance to #<COUNTRY>SriLanka</COUNTRY> #FloodSL Relief #LKA
ID_877915693269753856,"RT @Uraidah44: .@UNICEFUSA is currently providing emergency shelter, sanitation, and education services to those affected by #SriLanka #flo","RT @Uraidah44: .@UNICEFUSA is currently providing emergency shelter, sanitation, and education services to those affected by #<COUNTRY>SriLanka</COUNTRY> #flo"
ID_870649500917940225,RT @NalakaG: Wanted: accountability 4 local & foreign donations to #SriLanka #FloodSL #FloodRelief. Can audit firms donate their services?,RT @NalakaG: Wanted: accountability 4 local & foreign donations to #<COUNTRY>SriLanka</COUNTRY> #FloodSL #FloodRelief. Can audit firms donate their services?
ID_871417877441556481,Well cleaning activity began today by our volunteers of #Rathnapura branch today. Over 20 wells already cleaned in Elapatha #LKA #FloodSL,Well cleaning activity began today by our volunteers of #<CITY>Rathnapura</CITY> branch today. Over 20 wells already cleaned in <CITY>Elapatha</CITY> #LKA #FloodSL
ID_875746672504078336,"RT @Madrid_exterior: SL FM #RaviKarunanayake, Adm. Wijeygunaratne & I warmly thanked Captain & crew of USS Lake Erie for #FloodSL relief wo","RT @Madrid_exterior: SL FM #RaviKarunanayake, Adm. Wijeygunaratne & I warmly thanked Captain & crew of <NATURAL-POINT-OF-INTEREST>USS Lake</NATURAL-POINT-OF-INTEREST> Erie for #FloodSL relief wo"
ID_870822568609153024,TV channels race to rescue the #FloodSL victims. Cartoon by Namal Amarasinghe #lka #SriLanka #SriLankaFloods #FloodRelief #FloodReliefLKA,TV channels race to rescue the #FloodSL victims. Cartoon by Namal Amarasinghe #lka #<COUNTRY>SriLanka</COUNTRY> #SriLankaFloods #FloodRelief #FloodReliefLKA
ID_870163168810737664,Pak believs in Humanity Pak Navy Free Medical Cmp 2day in Sri Lanka providng Health Care 2 victims of FLOOD @MoeedNj @Asad_Umar @ShkhRasheed,Pak believs in Humanity Pak Navy Free Medical Cmp 2day in <COUNTRY>Sri Lanka</COUNTRY> providng Health Care 2 victims of FLOOD @MoeedNj @Asad_Umar @ShkhRasheed
ID_870500278981640192,* Australia hands over flood aid to Sri Lanka navy  #news,* <COUNTRY>Australia</COUNTRY> hands over flood aid to <COUNTRY>Sri Lanka</COUNTRY> navy  #news
