tweet_id,text,location_mentions
ID_721768617847730176,"RT @pzf: ECUADOR EARTHQUAKE: - At least 250 dead - More than 1,500 injured - Almost 400 building damaged",ECUADOR=>COUNTRY
ID_721614224531853312,"RT @brk_news_now: FOX: ECUADOR ROCKED: Magnitude-7.8 earthquake kills 77, rescues underway",ECUADOR=>COUNTRY
ID_721637133690269696,Independent:  Video shows the moment earthquake that killed at least 77 struck Ecuador,Ecuador=>COUNTRY
ID_721733095708368896,RT @telesurenglish: Gracias Venezuela: Country deploys rescue workers to Ecuador after 7.8 magnitude earthquake  htt,Venezuela=>COUNTRY * Ecuador=>COUNTRY
ID_721883893029335041,RT @Emergency_Life: ἞A἞8Ἱ7 #Ecuador #Earthquake volunteer firefighters from across the Americas are heading to assist #SismoEcuador #USAR http,Ecuador=>COUNTRY
ID_721599774915497984,RT @Independent: Powerful earthquake in Ecuador kills 77 and as entire town collapses,Ecuador=>COUNTRY
ID_721893358680059905,RT @GigiTonguet: @doctorheart00 Share this link to help the victims of Ecuadors Earthquake! Thank you!,Ecuadors=>COUNTRY
ID_722182577944195072,RT @UNDP: Want to support victims of the #EcuadorEarthquake? Click here to find out how you can donate:  @PNUDEcuador,
ID_721628641503764480,Powerful earthquake kills at least 77 in Ecuador: The 7.8 magnitude earthquake struck off Ecu  #WizInfo #Health,Ecuador=>COUNTRY
ID_722070216952455168,RT moviechick707: #Ecuadorearthquake: Death toll jumps to 272 CNN,
ID_721626719321513984,"At least 77 dead, 500 injured after 7.3 magnitude earthquake shakes Ecuador",Ecuador=>COUNTRY
ID_722076882842304512,"RT @RobertGlasserUN: 750,000 #earthquake dead in last 20 years #JapanEarthquake #EcuadorEarthquake #switch2sendai  h",
ID_722101553427927040,Ecuador: The race to find quake victims  #Christian #News,Ecuador=>COUNTRY
ID_721702479285465088,"RT @AJENews: Update: Death toll in Ecuadors 7.8-magnitude earthquake rises to 41, according to the vice-president",Ecuadors=>COUNTRY
ID_722177594133766144,"RT @NoControlProjec: Lets all help and raise funds for Ecuador, donate here:",Ecuador=>COUNTRY
ID_722039255736958977,RT @CBSNews: U.S. Army joins race to help earthquake victims and find missing in southern Japan:,U.S.=>COUNTRY * Japan=>COUNTRY
ID_721923344275238912,Quake Kills 272 Along Devastated Ecuador Coast via NYT,Ecuador=>COUNTRY
ID_722126091603873793,"RT @globalfiredmgf: To support the response and provide urgent relief to those affected by the #EcuadorEarthquake, donate here:",
ID_722071804601307136,"RT @BBCBreaking: Death toll in #EcuadorEarthquake rises to 350, authorities say",
ID_722095449004347392,#Notice Ecuador: The race to find quake victims  #CNN #World,Ecuador=>COUNTRY
ID_722052752755585024,RT @AP: BREAKING: Ecuadoran security minister says earthquake death count has risen to 350.,Ecuadoran=>COUNTRY
ID_721957295970775041,272 dead in Ecuador Quake watch details now in 12pm bulletin,Ecuador=>COUNTRY
ID_721720535030304769,RT @noticias2000: Ecuador quake death toll has risen to 233. Correa just confirmed. #pedernales #ecuadorlisto,Ecuador=>COUNTRY
ID_722204677698244608,San Clemente need immediate assistance.,San Clemente=>CITY
ID_721680591951892480,Theres almost nothing we can do: Nearly 80 people killed in #EcuadorEarthquake,
ID_721812893478596613,Dave you actually can help us and it will mean a lot @DaveMustaine,
ID_722032591717720064,"Well need Your help, so many people lost everything.. ὢ5",
ID_722066661109575680,RT @ABC: Video shows the extensive damage caused by powerful 7.8-magnitude earthquake in Ecuador:,Ecuador=>COUNTRY
ID_721798189460787200,RT @LastQuake: Its always surprising how damage can be localized. An indication of poor construction practices?,
ID_722157895551422465,RT @WHAAsstSecty: Solidarity w/ #Ecuador - the #US has offered help & will be working w/ Ecuador Govt to assist in this time of need :,Ecuador=>COUNTRY * Ecuador=>COUNTRY
ID_721599647555395584,RT @businessinsider: Dozens killed as huge earthquake hits Ecuador — and the death toll is expected to rise,Ecuador=>COUNTRY
ID_721789078425829377,Death in the dark: Massive Ecuador quake kills hundreds,Ecuador=>COUNTRY
ID_721890145138577408,RT @majoguevarad: Thousands without home. Towns destroyed. #help #donate #Earthquake #Ecuador #EarthquakeRelief @QuitoShapers /,Ecuador=>COUNTRY
