tweet_id,text,location_mentions
ID_1041626829407354881,"Three days after #Florence made landfall, the storm is still battering the Carolinas. More than 30 American Red Cross volunteers from Connecticut are stationed in the south to help with",Connecticut=>STATE
ID_1040157749353566208,"Florence, now a Category 2 hurricane, is forecast to unleash extreme storm surge, possibly historic flooding rains, and damaging winds in the",Florence=>CITY
ID_1041228731099086848,RT @annamoor1995: Rescue the #Pigs #Trapped During Hurricane Florence  @moveon,
ID_1042010973022736384,"In Winnabow, North Carolina some residents are cutoff and say they need help getting food and supplies. This is less than 15 miles south of Wilmington. That’s Highway 17 underwater in the background. #Florence @ABC @ABC11_WTVD @wpdeabc15",Winnabow=>COUNTY * North Carolina=>STATE * Wilmington=>CITY * Florence=>CITY
ID_1041277515438927872,"#Flood Safety: Avoid driving through pools of standing water. TURN AROUND, DON’T DROWN! #StormTrack2 #Florence",
ID_1042002087889002496,Bring WATER to @TerryJOnAir at @AtlanticStation and enter for a chance to win @Drake and @Migos tickets!!! The more donations the more chances to win! @PKintheMorning & @dkpower961 are helping the victims of #HurricaneFlorence!,
ID_1041997373730447360,Convoy of Hope spent the day delivering supplies to #HurricaneFlorence affected neighborhoods. The generosity of friends like you is bringing hope to those in need today!,
ID_1039868776680968197,Heres what causes extreme damage in hurricanes  #HurricaneFlorence,
ID_1040819492886994944,"At 12:25 AM EDT, 6 WSW Seven Springs [Wayne Co, NC] TRAINED SPOTTER reports FLASH FLOOD. MULTIPLE AREAS ON HWY. 55 IMPASSABLE DUE TO FLOODING.",Seven Springs=>CITY
ID_1039910653337600001,"Sen. @timkaine urged Virginians to obey evacuation orders, as parts of the already flooded state anticipates significant rain from #HurricaneFlorence.",
ID_1039538601233731585,One of the clearest and most devastating impacts of climate change has been the dramatic amplification of damage done by hurricanes/tropical cyclones. Run down of the #climatechange science for #Florence here:,Florence=>CITY
ID_1039910779594711040,My pets got evacuation money?,
ID_1039922734262829058,"#HurricaneFlorence could hit the US tomorrow and Pitts Alexis Kwasinski believes it could leave millions without power for weeks. Kwasinski knows how destructive they can be: He surveyed the damage from hurricanes in Florida, Texas & Puerto Rico in 2017:",Florida=>STATE * Texas=>STATE * Puerto Rico=>ISLAND
ID_1039887775695347712,RT @PaulMiles840: JUST IN: @RedCross in Kentucky is sending five disaster workers to assist with incoming Hurricane Florence.,Kentucky=>STATE
ID_1040192366936764416,"If you are a volunteer considering deploying to NC and SC, PLEASE CONTACT THIS ORG. Do not just show up. In NC, . They will help you get to where you are needed the most. (Voluntary Organizations Active in Disasters) #HurricaneFlorence #HurricaneFlorenceNC",NC=>STATE * SC=>STATE
ID_1039878755370631169,"The track of Hurricane #Florence may have shifted, but #VA is still likely to experience strong winds and flooding. We urge Virginia residents to be prepared and remain vigilant as the storm approaches. #FlorenceVA",VA=>STATE * Virginia=>STATE
ID_1039404019205263360,RT @wsvn: South Florida task force gears up to assist in Hurricane #Florence rescue efforts,Florida=>STATE
ID_1039574318881984512,NOLA team heads out to East Coast to help with Hurricane Florence,
ID_1039834382964539392,"Our doors are open to all four-legged hurricane evacuees. Call at (352) 307-6699 to reserve stalls. We are located at 11008 S. Highway 475 Ocala, Florida 34480 #hurricaneevacuation #hurricaneflorence #hurricaneflo #evacuation #allanimalswelcome #horses #cows #sheep #goats #pigs",Ocala=>CITY * Florida=>STATE
ID_1040708478581526529,RT @DJKRO: Hurricane Florence Evacuation Quick Mix #HurricanceFlorence,
ID_1039438451031113728,Authorities order mandatory evacuations in the Carolinas and Virginia as rapidly strengthening Hurricane Florence approaches,Carolinas=>STATE * Virginia=>STATE
