tweet_id,text,location_mentions
ID_912421077229408258,RT @SidR10: After seeing the devastation of Hurricane Maria I decided to create this page to help the Puerto Rican people ἟5἟7 #RT .,Puerto Rican=>ISLAND
ID_912362832875937794,#HurricaneMaria is not done yet. Here on the #EastCoast we are preparing to deal with her remnants as a #TropicalStorm. #hurricane #drfee,EastCoast=>OTHER LOCATIONS
ID_910750722865561601,"PLEASE! donate which will benefit the victims of mexico, as to hurricane maria",mexico=>COUNTRY
ID_913122301234810880,The last thing I knew about them is that they are donating supplies to PR cuz were in need thanks to Hurricane Maria.,PR=>ISLAND
ID_910640069702291457,My favorite place in the world. The destruction is heartbreaking. No doubt Vieques and Puerto Rico will recover.,Puerto Rico=>ISLAND
ID_914177405899722757,RT @iosjillian: Hi since our president is garbage you can donate to the Hurricane Maria COMMUNITY Recovery Fund here,
ID_912437639025971201,RT @nypost: Jennifer Lopez will donate $1 million to Puerto Rico in the wake of Hurricane Maria,Puerto Rico=>ISLAND
ID_912128229833625602,RT @jbrownedianis: Help is needed. #PuertoRico,PuertoRico=>ISLAND
ID_912389019237003266,@CharlieWGME @NWSGray First 122 NEXRAD stations (159 total) were installed at a cost of $3.1 billion. Here is JUA destroyed last week:,
ID_910761921674141696,Hurricane Maria: Whole of Puerto Rico without power: Hurricane Maria has knocked out electricity.. #breakingnews,Puerto Rico=>ISLAND
ID_913875081469636608,Rabbi in Puerto Rico pleads for help as congregation suffers on  #Science #PresidentTrump #HurricaneMaria #Rabbi,Puerto Rico=>ISLAND
ID_910693357768396800,"#MONEY #IRMA FoxBusiness Hurricane Maria blasts Puerto Rico, kills at least nine in Caribbean  — FOX Business (Fo",Puerto Rico=>ISLAND
ID_912337307587489793,PRs socialist policies destroyed power grid & resilience to predictable natural disasters. Bailout should require capitalist reforms.,
ID_911591915371532288,"You can also donate to Dominica, another small island devastated by Hurricane Maria:",Dominica=>COUNTRY
ID_914585470897672193,U.S. military delivered supplies to people in Puerto Rico by chopper on 09/30/17 . This was needed over a week ago and requested days before. Why not sooner and why not more choppers? #HurricaneMaria cc: @tedlieu,Puerto Rico=>ISLAND
ID_914699007137603584,#DSTRDamage alexsandra8888 Residents look at flooded houses,
ID_913177990074429441,"RT @HoustonChron: Pitbull, Mark Cuban offer their private planes for Puerto Rico victims affected by Hurricane Maria",Puerto Rico=>ISLAND
ID_913868603333758976,Visit  to learn about local assistance and resources for #HurricaneMaria victims in #PuertoRico.,PuertoRico=>ISLAND
ID_911894436669517824,Death toll is rising as Hurricane Maria cont. through the Caribbean. Power is out on the island.,the Caribbean=>ISLAND
ID_913743788337754112,RT @cbschicago: US @RepGutierrez flying to Puerto Rico for firsthand look at damage from #HurricaneMaria.  @susannas,Puerto Rico=>ISLAND
ID_910627746681782272,"Menacing Hurricane Maria is being blamed for two deaths on the French overseas territory of Guadeloupe, after",French=>COUNTRY * Guadeloupe=>CITY
ID_913877829640523776,@nytimes Meanwhile #Cuba offers aid to #PuertoRico - is this why the #US embassy there is being closed?,Cuba=>ISLAND * PuertoRico=>ISLAND * US embassy=>HUMAN-MADE POINT-OF-INTEREST
ID_914104685044396033,"@ianbremmer Since Hurricane Maria, @AirMobilityCmd has flown nearly 200 sorties, delivering about 1,500 short tons of critical equipment and supplies",
ID_913014716225769472,Clearly @fema @FEMA_Brock in damage control over sub par response to #PuertoRico devastation. We knew #HurricaneMaria was catastrophic event,PuertoRico=>ISLAND
ID_913943084018405381,Team Rubicon USA:  Unites the skills and experiences of military veterans with first responders to rapidly deploy emergency response teams. #HurricaneMaria #PuertoRicoRelief,USA=>COUNTRY
ID_912412494504882176,"Drone & aerial shots from #Naranjito to #Barranquitas, Puerto Rico of the damage left behind from Hurricane Maria. #PuertoRico",Naranjito=>CITY * Barranquitas=>CITY * Puerto Rico=>ISLAND * PuertoRico=>ISLAND
ID_914835042005917696,#TRAGIC - White male #domesticterrorists confirmed kills in #LasVegasShooting EXCEED confirmed deaths from #HurricaneMaria,
ID_912936459060908032,RT @NoraConnect: How you can help #HurricaneMaria victims in #PuertoRico- my favorite? @DirectRelief #medical supplies & #RX /,PuertoRico-=>ISLAND
ID_911602898412490756,His country destroyed by #hurricanemaria . @AJEnglish to carry his remarks LIVE @dominica_relief,
ID_912408327895830533,Hurricane Maria destroyed 80% of the crop value in Puerto Rico with a loss of $780M in agriculture yields @nytimes,Puerto Rico=>COUNTRY
ID_912310707814793216,Hurricane #Maria Tropical Storm warning for NC coast Follow my lists N. CAROLINA  WEATHER,NC=>STATE * N. CAROLINA=>STATE
ID_913180557131096064,We’re helping our ἟A἟8US allies with #HurricaneMaria relief by providing CC-177 Globemaster airlift support #OpRENAISSANCE,
ID_914850410275450880,"Devastation from hurricanes Harvey, Irma and Maria & Western wildfires could add up to $300 billion says new report.",
ID_913393548271259648,President Trump waives cargo restrictions to speed aid to Puerto Rico after Hurricane Maria destroyed island,Puerto Rico=>ISLAND
ID_911944716379287552,RT @CBSLA: SoCal Rescue Team Deploys To Puerto Rico to help victims of #HurricaneMaria,Puerto Rico=>ISLAND
ID_912139620636332032,"RT @ASE: One of San Juans most touristic neighborhoods, still flooded, days after #HurricaneMaria",San Juans=>CITY
ID_912360633550626816,"RT @dylanmarron: A good list of local, natl, & global orgs you can donate to help Puerto Rico:",Puerto Rico=>ISLAND
ID_914181778360827904,"We are dying, and you are killing us with inefficiency. Mayor of San Juan begs for aid after Hurricane Maria",San Juan=>CITY
ID_910570522261549062,"RT @IssaKhari: You can see the destruction caused by Hurricane Maria in the Rios Cana, section of Puerto Rico ἟5἟7 #HurricaneMaria .",Rios Cana=>NATURAL POINT-OF-INTEREST * Puerto Rico=>ISLAND
ID_914596019140259842,"#HappeningNow our great #SunsetPark residents are having a donation event for #HurricaneMaria victims on 47st, between 2ave & 3ave.",SunsetPark=>NEIGHBORHOOD
ID_911954830754762752,The death toll from Hurricane Maria in Puerto Rico is now at least 10. That number includes two police officers,Puerto Rico=>ISLAND
ID_913249534117113857,@marxistplot #science: Hurricane Maria damage threatens Arecibo Observatory’s future,
ID_912393801305649152,"@AsociatedPress -Calling on U.S. media to help share about the need for food, medical and construction teams in #PuertoRico! #HurricaneMaria",PuertoRico=>ISLAND
ID_912174243747524608,Puerto Rico isnt Trumps Katrina. Puerto Rico is Trumps Puerto Rico. Heres where you can donate:,Puerto Rico=>ISLAND * Puerto Rico=>ISLAND * Puerto Rico=>ISLAND
ID_914852072314621952,RT @USNationalGuard: RT @NCNationalGuard: #NCNG off to PR to help with recovery efforts #HurricaneMaria  via @abc11_,PR=>ISLAND
ID_912423914277605376,RT @greenpeaceusa: 100% go directly to community-led recovery efforts in areas impacted by Maria.,
ID_913128192835121152,CBP Air & Marine Responds to HELP Painted On Rooftop in Puerto Rico  #HurricaneMaria #PuertoRico #USCBP #UH60,Puerto Rico=>ISLAND * PuertoRico=>ISLAND
ID_910613762088083456,RT @MuslimIQ: Not the headline we ever wanted. Puerto Rico is 100% destroyed. No electricity or telecomms.ὡ3 #HurricaneMaria /,Puerto Rico=>ISLAND
ID_911655261781323777,We are trying to send aid to Puerto Rico in the wake of #HurricaneMaria. Please bring unopened donations of,Puerto Rico=>ISLAND
ID_912968149817012224,This needs to be our cause right now. These people are Americans and need help and our president could care less,
ID_913570813512765440,Agriculture sector in Dominica destroyed by Hurricane Maria  #news,Dominica=>ISLAND
ID_911573489622102016,"Post-#HurricaneMaria damage assessment of Saint John Parish, #Dominica, imaged by #Pleiades and KOMPSAT-3:",Saint John Parish=>COUNTY * Dominica=>COUNTRY
ID_913491265316167680,Heres where you can drop off donations for the victims of Hurricane Maria,
ID_913384675782955008,RT @MaryKateClark: #ICYMI #PuertoRico Mayor pleads for help after Maria: People are dying in San Juan People are starting to die htt,PuertoRico=>ISLAND * San Juan=>CITY
ID_911877870091489280,Click link for info on how to help survivors of #HurricaneMaria #PuertoRicoStrong #puertoricoselevanta,
ID_913939167327002626,"We have updated links to #HurricaneMaria resources. If you need help or want to help, visit  to learn more. #T1D",
ID_913176376374697984,"RT @EW: Jennifer Lopez, Marc Anthony join forces with A-list celebrity friends for Hurricane Maria relief",
ID_913498727637274625,"Investee, Natural Ventures PR, LLC facility in Puerto Rico sustained some damage due to Hurricane Maria.",Puerto Rico=>ISLAND
ID_910552736634204163,BREAKING: First pictures out of St. Croix and Vieques show the devastating Hurricane Maria damage,St. Croix=>CITY * Vieques=>ISLAND
ID_911663375364579328,@SamaritansPurse Thank you Samaritans Purse. Always first to arrive and help! #HurricaneMaria,
ID_914609115770576897,Hurricane Maria Charity Stream with Gran Turismo 6 Open Lobby at 5:30 CDT! Please come and help our brothers and sisters in Puerto Rico!,Puerto Rico=>ISLAND
ID_912287330744053760,Cant congress do SOMETHING?! THEY NEED HELP!!!,
