tweet_id,text,location_mentions
ID_768765856562249729,"RT @Federation: Response to #ItalyEarthquake continued through the night: 426 volunteers, 109 vehicles & 2 field kitchens deployed.",
ID_769106921781600256,"$67,960 raised of $1,000,000 goal after 1 day. Italy Earthquake Relief Fund on @globalgiving: #prayforitaly",Italy=>COUNTRY
ID_768493516955713537,"RT @GlobalGiving: The #ItalyEarthquake has caused significant damage. Survivors need your help to access food, water, and medicine.",
ID_768735948423258112,RT @NatureNews: Risk of severe aftershocks following #ItalyEarthquake,
ID_768484961225699328,RT @S_T_O_P_TERROR: This photo shows the level of destruction of #ItalyEarthquake,
ID_768751195523612672,Send a message to 45500 to donate ❤️ὤFἿB #PrayingForItaly #ItalyEarthquake #terremoto RT and Spread to HELP ἞E἟9,
ID_769663482845286400,RT @andreanatalemd: next week several establishments in #ATX are raising money to support those affected by the #ItalyEarthquake #donate ht,
ID_769591369941803008,RT @dlawyers: To donate to the victims of the #ItalyEarthquake pls visit the official website of @crocerossa Italian Red Cross @,
ID_769954250038337537,RT @DKurdistan: Israeli aid group building shelters for Italy quake victims  #Israel ἞E἟1 #Italy ἞E἟9 #ItalyEarthquake #,Italy=>COUNTRY * Israel=>COUNTRY * Italy=>COUNTRY
ID_768502135961030656,"#PrayForItaly donate, donate἞E἟9❤️",
ID_769967953022427139,RT @ItalyinUS: A sincere GRAZIE for your support! For more on how 2 support victims of the #ItalyEarthquake,
ID_768766893117280257,RT @BlogRArmitage: How you can help the survivors of the powerful earthquake in Italy ✨✨✨✨✨ #ItalyEarthquake #Amatrice,Italy=>COUNTRY
ID_768875468644814849,"My latest #Italyearthquake Theyre dead, too:Survivors of Italian quake take stock of loved ones and property lost",
ID_768499537413636096,"RT @antoniodelotero: to help the survivors of the #ItalyEarthquake, donate here: - - -http",
ID_768565130523189248,"RT @SputnikInt: URGENT: Death toll in #ItalyEarthquake rises to at least 159, officials confirm.",
ID_768678349430484992,"Italy earthquake: 247 deaths, towns completely ruined #ItalyEarthquake #amatrice now @ilario82 on air @RaiNews",Italy=>COUNTRY
ID_768482369951133697,"RT @ApplePr0ductFan: #apple Rescuers are still searching for victims of the #ItalyEarthquake. Heres how you can help, via CNN ",
ID_769511877999259649,RT @ChallengeStar_: #EatforItaly NYC restaurants to #donate pasta sales to #ItalyEarthquake victims. See list:  http,NYC=>CITY
ID_769470724318855168,Updated info to donate directly to the villages!  pls share #prayforitaly #TerremotoItalia,
ID_768483401213079552,RT @itvnews: A dog has been rescued from a collapsed building following the devastating #ItalyEarthquake,
ID_768507069607600128,RT @OfficialWithHL: You can call or text 45500 if you want to donate something! ❤️ #PrayForItaly,
ID_769032627051438080,"Emergency workers, many volunteers, bring basic supplies to tent camp for newly homeless. #ItalyEarthquake #CBC",
ID_768714526095183872,@WaliyhaxxMalik Can you contact Zayn please? We need his supportὢD❤ #PrayForItaly,
ID_769587157929517060,RT @antigoni_pagali: shop from Italia Team on Etsy to support earthquake victims #earthquakeaid #PrayForItaly  via,Italia=>COUNTRY
ID_768490005413199872,@zaynmalik ZAYN PLEASE HELP US TO DONATE #PrayForItaly,
ID_768760370177708034,Volunteers distributing food near #Amatrice #ItalyEarthquake #terremoto,Amatrice=>CITY
ID_768492712458878976,Text a message with ❤ at 45500 for donate 2 euros #PrayForItaly,
ID_769173339755642881,Satellite pics show ground fallen 20 cms at #Accumoli after #italyearthquake amid more aftershocks. @Agenzia_Ansa,
ID_768705116694339584,"Death toll in the 6.2-magnitude #ItalyEarthquake has risen to 247, said Italys civil protection agency",
ID_768508435038109697,"RT @CBSNews: UPDATE: Death toll from #ItalyEarthquake rises to 120, hundreds injured, official says",
ID_768788775342333952,The emergency shelter provided in Arquata del Tronto; homes on the hill behind have collapsed #ItalyEarthquake,Arquata del Tronto=>CITY
ID_768653131001409539,RT @mshowdimascio: Help spread the word fellow Italian-Canadians. @LazioClubCanada doing their best to get relief going for #ItalyEarthquak,Italian=>COUNTRY * Canadians=>HUMAN-MADE POINT-OF-INTEREST
ID_768505826243964928,120 people died.. #PrayForItaly,
ID_768516598311313408,RT @Seeker_Fans: Please guys help our beloved Country to rise up You can donate here:  #ItalyEarthquake #PrayForIta,
ID_768538976655474690,RT @gabriellamileti: @niaforg is raising money for the earthquake victims. Please help & donate at  #PrayForItaly ht,
ID_769209856523919360,RT @SputnikInt: URGENT: Death toll in #ItalyEarthquake rises to 278  #Italy,Italy=>COUNTRY
ID_769019686906425344,RT @UPI: #ItalyEarthquake update: At least 250 killed as more aftershocks jolt rescue efforts,
ID_768812092363272192,RT @inoverdosedite: My country is partly destroyed but its still the most beautiful. Were strong. #PrayForItaly,
ID_768582078367690752,RT @SophiaBush: 1. Reports coming out of #ItalyEarthquake say that folks in the town affected will be in dire need of blankets and warm clo,
ID_768515233467990016,Over 120 people confirmed dead -my heart goes out to all the families during this awful time ❤️἞E἟9 #tooclosetohome #ItalyEarthquake,
ID_768879948610281472,"Seriously wondering if I can do anything to help re #italyearthquake. Will be in area in 10 days, though 100km off. How can Londoners help?",
ID_768499994882088962,"Call 45500 if you wanna donate something, thank you #PrayForItaly",
ID_768527137770991616,RT @CraigSilverman: This photo of a damaged church is not from the earthquake in central Italy:  #italyearthquake ht,Italy=>COUNTRY
ID_768849275442827264,I know they need shoes and clothes for all and in particular for children in #Amatrice #Accumoli #ItalyEarthquake,Amatrice=>CITY
ID_768646628077174784,"RT @fedhere: How To Help Italy Earthquake Victims: 8 Ways to donate, if you are in Italy or abroad #terremoto #ItalyEarthquake",Italy=>COUNTRY * Italy=>COUNTRY
ID_769084001667674114,RT @milossofia: @milossofia #ItalyEarthquake the number has risen to 250 people dead and 360 wounded . Devastating Ὁ4,
ID_768517185601990658,#BREAKING: Italian firefighter chief said a 8-year-old girl was pulled out alive from the rubble. #ItalyEarthquake @CBSNewYork,
ID_768882558163623936,RT @theOFDA: .@USGS reports M6.2 #ItalyEarthquake hit in early AM followed by aftershocks. Our experts in the region r monitoring,
ID_768715214355390464,"Clothes, yes, but its the lack of medical assistance thats the biggest concern:-/ #italyearthquake",
ID_769208740591656961,"Search & rescue operations still underway in #Amatrice, 3 days after #ItalyEarthquake #terremoto #afptv @afpfr @AFP",Amatrice=>CITY
ID_768721626842234880,"RT @unisdr: #ItalyEarthquake: Death toll reaches 247, rescue efforts continue #switch2sendai #IDDR2016",
ID_769251219290386432,Bronxs Little Italy launches earthquake relief fund #Italy #BronxLittleItaly #NYC #ItalyEarthquake #ArthurAvenue,Bronxs Little Italy=>NEIGHBORHOOD * Italy=>COUNTRY * NYC=>CITY
ID_768869636234420224,RT @serthx: Men lost his newborn. #terremoto #ItalyEarthquake #Italy #PrayForItaly #Amatrice #pescaradeltronto,Italy=>COUNTRY
ID_769248662660743168,"Questo Mese: #ItalyEarthquake Relief, #Calabria coastal towns and 2017 #heritagetour dates -",Calabria=>CITY
ID_768728087857102848,"Please, share this message, its very important for us to get all the help you can give!",
ID_768720673829158912,Lista di farmaci urgenti #terremoto Urgently needed medications #ItalyEarthquake RETWEET,
ID_768704104608702465,Write a message at 45500 to help Who lost everything with 2€!! Its important! #PrayingForItaly #ItalyEarthquake #PrayForItaly,
ID_768864215645974528,"Death toll from #ItalyEarthquake is now 250, the Civil Protection agency says. More than 360 people were injured. #ItalyQuake",
ID_768595803128598528,RT @chiccaromanista: I can not believe more than 159 people have died from another earthquakeὢDὤ8 #PrayForItaly ἞E἟9,
ID_769088242364846080,RT @gulestweet: Refugees volunteering in the relief effort #ItalyEarthquake #ItalyQuake #terremoto,
ID_769126935637135360,RT @MadForItaly: Help Italy #Amatrice #ItalyEarthquake #donate,Italy=>COUNTRY
ID_768696857132400640,RT @NBCNews: Watch dramatic video as 10-year-old is rescued from #ItalyEarthquake rubble,
ID_768500083826552832,3/4 of town of Amatrice destroyed in 6.2 magnitude #ItalyEarthquake. Aftershock felt as far as Rome.,Rome=>STATE
ID_768529360911491072,RT @stylesmyshine: Donate al 45500 ❤️ #TerremotoItalia #PrayForItaly,
ID_769908654350995457,RT @investinothers: How To Help Victims Of #ItalyEarthquake  #volunteer #donateblood #donate,
ID_768838527475970048,RT @cnni: Latest on #ItalyEarthquake • Struck at 3:36 am • At least 37 dead • Rescue efforts underway underway,
ID_768536395736547328,I dont know if the number works outside Italy but if you want to help us this is the number. #ItalyEarthquake #Italy,Italy=>COUNTRY * Italy=>COUNTRY
ID_768917278058541057,RT @JohnHuddyFNC: Working through the night as the aftershocks and search for survivors continue. #Amatrice #ItalyEarthquake,Amatrice=>CITY
ID_769098668016271362,RT @SkyNewsAust: The death toll from the #ItalyEarthquake has risen to 267 #Italy #ItalyQuake,Italy=>COUNTRY
ID_768702395408846848,RT @ItalyinGeorgia: #ItalyEarthquake #Emergency #Number activated for people calling from outside #Italy. Call if in need.,Italy=>COUNTRY
ID_769127880534155264,"RT @BillNeelyNBC: Hopes of finding more survivors in #ItalyEarthquake are fading. 267 dead,scores missing & more aftershocks. My report on",
ID_768776858246709248,reato di disastro colposo some recently built buildings are being investigated for irregularities #ItalyEarthquake,
ID_768816402283294720,RT @TrendingReport: UPDATE: At Least 247 Dead as Earthquake Rocks Central Italy  #PrayForItaly,Italy=>COUNTRY
ID_768560044212453378,RT @kcrajavora: Plenty of aftershocks #ItalyEarthquake,
ID_769291146761760768,RT @DEloveftNeens: If you can and want to help this is the link to donate to @crocerossa #PrayingForItaly #ItalyEarthquake RT ❤️ὤFἿB἞E἟9,
ID_769232099907960832,"RT @andreas212nyc: From @airbnb_it to @crocerossa + @niaforg, how to help those affected by the #earthquake in Italy",Italy=>COUNTRY
ID_768877575938699264,"RT @Tanya_Diaaz: One of my friends, Maria, died during the #ItalyEarthquake.. My thoughts are with her family, and her sister younger @aest",
ID_768854254291447809,RT @nicjones81: #ItalyEarthquake death toll rises to almost 250 - People are in shock - says @TDellaLonga from @crocerossa,
ID_769161377034432512,"RT @joelleyden: Israeli Search, Rescue Teams Are in Italy #ItalyEarthquake #Italy #Israel #Jewish #humanitarian #UN #IDF @IsraelMFA",Italy=>COUNTRY * Italy=>COUNTRY * Israel=>COUNTRY
ID_768495412701491200,@ShelterBox #ItalyEarthquake link now up! donate now!!!,
ID_769663449576210432,RT @TrishaThomasAP: Destroyed town of Sommati #ItalyEarthquake,Sommati=>CITY
ID_768873567723327488,"RT @orderofmalta: Doctors, nurses & rescue workers of the Italian Relief Corps @CISOM of the #OrderofMalta aiding in #ItalyEarthquake",
ID_768523224640581633,EARTHQUAKE IN ITALY Dog pulled alive from the rubble #ItalyEarthquake,ITALY=>COUNTRY
ID_768752134145859585,RT @RT_com: LIVE NOW: Rescue op in #PescaraDelTronto after 6.2 #ItalyEarthquake,PescaraDelTronto=>CITY
ID_769561612361555968,RT @avivaplc: At #Aviva were supporting the Italian Red Cross’s #ItalyEarthquake relief efforts to help those impacted,
ID_769141613738201088,RT @C4Ciaran: 49 confirmed dead in Pescara del Tronto is almost 50% of the towns population. Awful. #ItalyEarthquake,Pescara del Tronto=>CITY
ID_768678425171288064,"RT @CBCTheNational: At least 159 killed, 3 towns demolished in devastating #ItalyEarthquake",
ID_768472691477209088,"RT @kathyireland: Italy earthquake: at least 73 killed in mountain villages – live  Please, #PrayForItaly",Italy=>COUNTRY
ID_768550755271835649,"RT @OL_America: .#ItalyEarthquake #Outlander For more info on local and international donations, go to",
ID_768591248143818756,@RestingPlatypus please spread the world. Text to 45550 to donate €2 for the victims of the earthquake in Italy. Thank you.#ItalyEarthquake,Italy=>COUNTRY
ID_768845054068809728,Heres a link if you want to #donate to help victims of #ItalyEarthquake:,
ID_768748180792115201,"The damages seen using a drone in #Amatrice ,#Italy #ItalyEarthquake #PraysForItaly #terremoto #TerremotoItalia",Amatrice=>CITY * Italy=>COUNTRY
ID_769043047548092416,"In Preci, woke up to more aftershocks. Theyre minor, though, just little shakes that last a few seconds each. #terremoto #ItalyEarthquake",Preci=>CITY
ID_768525424821428224,"RT @CNN: Death toll in #ItalyEarthquake rises to at least 120, Prime Minister Matteo Renzi says",
ID_768820313006153728,click for donations from outside Italy. Thank you. Rt. #terremoto #ItalyEarthquake #italianredcross #fundraiser,Italy=>COUNTRY
ID_768476059515969538,"RT @inesanma: Vatican: As a sign of closeness to the victims of the #ItalyEarthquake, Pope Francis sent six of the Vatican firemen to help",Vatican=>HUMAN-MADE POINT-OF-INTEREST * Vatican=>CITY
ID_768502282300317696,RT @Survomez: Donate! 45500 #PrayForItaly #terremoto,
ID_769051640318029824,RT @OrijiSucre: A message of solidarity to 45500 would assist quake victims. #Doyourbit #terremoto #ItalyEarthquake,
ID_768723984011685892,Yesterday i went to bed and there were 169 victims. Today i woke up and the numbers is unbelievable. 247 victims. #ItalyEarthquake #Italy,Italy=>COUNTRY
ID_768711574156550144,RT @WorldVisionUK: #ItalyEarthquake: Death toll reaches 247 (). #WorldVision teams are assessing relief response htt,
ID_768827913538011136,"@EnricaCarosella #ItalyEarthquake the buildings resisted Earthquakes since 1600. The quake this time was too strong. It lasted 2,30 minutes",
ID_768804432041631745,"RT @purposhes: please, sign this petition to help all the victims἞E἟9  #PrayingForItaly #prayforitaly",
ID_768806051500191744,RT @Uldouz: 6 believed dead after 6.1 earthquake in central Italy #PrayforItaly ὤFἿC,Italy=>COUNTRY
ID_769063418645114880,"RT @cctvnews: Death toll from #ItalyEarthquake rises to 267, nearly 400 injured, said the county’s civil protection department",
ID_768790486605828096,RT @fareprogressi: #ItalyEarthquake Were raising funds for the mayors of the towns most affected Please donate  htt,
