tweet_id,text,location_mentions
ID_1002058173178613765,"Maryland to Conduct Damage Assessments with FEMA in Areas Impacted by Flooding #FrederickMD Howard, Baltimore Counties, Baltimore City to Work Jointly with MEMA REISTERSTOWN, Md. (May 30, 2018) — MEMA and FEMA",Maryland=>STATE * Baltimore=>COUNTY * Baltimore=>CITY
ID_1001843211940384768,"[ WATCH IT ] Flash floods struck a Maryland community wracked by similar flooding in 2016, authorities said, and water rescues were being carried out. Video on social media showed raging water rushing down Main Street in Ellicott City, west of Baltimore.",Maryland=>STATE * Ellicott City=>CITY * Baltimore=>CITY
ID_1001493612977418240,.@MD_DLLR has services available for those affected by flooding. See below and visit  for more information.,
ID_1001205140878188547,"RT @AP: The Latest: One person is missing in flash flooding that struck historic Ellicott City, Maryland.",Ellicott=>CITY * Maryland=>STATE
ID_1002650883979694085,Today begins the 2018 Hurricane Season for Maryland and our team is focused on supporting recovery efforts from two recent severe flooding events. @MDMEMA #partofthesolution,Maryland=>STATE
ID_1001366994271207424,"Significant damage in Ellicott City, Maryland after major floodwaters tore through the area this holiday weekend.",Ellicott City=>CITY * Maryland=>STATE
ID_1002992953617416193,Heavy rains possible aroiund Maryland today. Follow local forecasts.,Maryland=>STATE
ID_1001231015275311105,RT @FriendEden100: Climate Change: Maryland Governor Declares State of Emergency After 6 Hours Of Heavy Rain Caused Severe Flash Floods htt,Maryland=>STATE
ID_1001904243505287169,"2 years ago, floods hit #EllicottCity, the same area in Maryland that flooded Sunday. That event was called a 1,000-year flood & early reports say this year’s damage to infrastructure is far worse. How should #stormwater design prepare for atypical storms?",Maryland=>STATE
ID_1002739498118270976,Severe T-storm Warning for Frederick County in Maryland. Damaging winds and flash flooding are the main threats. Get ready Libertytown. #wusa9weather @wusa9 @melissanordwx,Frederick=>COUNTY * Maryland=>STATE * Libertytown=>CITY
ID_1002332072722255872,A flood watch across Central Maryland has been upgraded to a flash flood watch -- periods of intense rainfall of 2-4 inches are possible through 2 a.m.,Maryland=>STATE
ID_1004231150569746433,"One person missing after flash flooding hits Ellicott City, Maryland #Trending #Vids",Ellicott City=>CITY * Maryland=>STATE
ID_1002580599054503938,This cow couldnt mooooove after getting stuck in a swimming pool in Maryland. Firefighters came to the rescue:,Maryland=>STATE
ID_1001179344360755200,RT @KTLAMorningNews: Maryland Governor Declares State of Emergency as Heavy Flooding Ravages Baltimore Region,Maryland=>STATE * Baltimore=>CITY
ID_1002986050988503040,"NEW: Flood warning (green box below) issued for southern Prince Georges & western Charles counties in Maryland until 7pm tonight due to heavy rain over the region. Reminder to please DO NOT cross flooded roadways. Turn around, don’t drown. ἲ7⛈",Maryland=>STATE
