tweet_id,text,location_mentions
ID_871963440625201152,"Korean actress Lee Young-ae know as ‘Changumi’ made a contribution of USD 50,000 to support flood relief efforts in Sri Lanka",Sri Lanka=>COUNTRY
ID_881384379469234176,RT @Vidiyallk: Government seeks #world aid for #FloodRelief; 4 ministers appointed to work out plans for donor conference in #Colombo short,Colombo=>CITY
ID_870876115434299392,First phase of the @IMCD_officials #FloodRelief program is over. Please direct dry ration donations to Rathmalana Air Force Camp. #FloodSL,Rathmalana=>NEIGHBORHOOD
ID_874162932837306368,ADB grants USD$ 2m as recent disaster relief aid #lka #srilanka #flood @ADB_HQ,srilanka=>COUNTRY
ID_870193112882135045,"#FloodSL situation report as of 0900 hrs, 31.05.2017 - 202 confirmed deaths, 96 still missing, 629,742 people affected. #lka via @dmc_lk",
ID_872058574146596865,RT @Ali_answers: #PakistanNavy providing relief goods to the #flood hit areas of #colombo during a #rescue operation #srilanka ἟5἟0἟1἟0,srilanka=>COUNTRY
ID_870613784888475649,"Restart family packs for those returning home - money or cash donations can be dropped off at Anim8, Thimbirigasyaya. #FloodSL #LKA",
ID_871882187406286848,Bangladesh donates US $500000 for Sri Lanka flood victims  #news,Bangladesh=>COUNTRY * Sri Lanka=>COUNTRY
ID_870359598640660480,"In #Gampaha our volunteers conducted a #firstaid camp for flood affected in Dompe & Biyagama, supported by @CocaColaLK. #LKA #FloodSL",Gampaha=>CITY
ID_873507130816516098,Puravesi Athwela humanitarian train travelled from North to South of #SriLanka carrying relief goods for the flood victims in the South.,SriLanka=>COUNTRY
ID_878173887871299585,RT @LiveRiceIndex: The U.N. warns that a severe drought followed by floods has affected #rice production in #SriLanka,SriLanka=>COUNTRY
ID_871669889920102400,#EU #humanitarian partners are distributing #emergency relief items & assessing further needs after #SriLanka #floods #FloodSL,SriLanka=>COUNTRY
ID_870308502262108160,When volunteer orgs are more forthcoming with their transactions than some govt. offices when presented with RTI requests. #FloodSL #lka,lka=>COUNTRY
ID_873969565322969089,"RT @EllieWorldwide: If you want to help Sri Lanka #flood #disaster, please support @TeamRubiconUK - volunteers flying in now. Donate at htt",Sri Lanka=>COUNTRY
ID_872444513008201728,RT @Joan_ned: Glad to announce Netherlands Red Cross will contribute €200.000 to IFRC appeal to support victims #FloodSL @SLRedCross @Fede,Netherlands=>COUNTRY
ID_870907577416245248,"@TNAmediaoffice MPs visited Ratnapura, (worst-affected districts by da devastating floods & landslides) @MASumanthiran #srilanka #FloodSL",Ratnapura=>CITY * srilanka=>COUNTRY
ID_870563442331066369,"RT @gopiharan: #FloodSL situation report as of 1200 noon, 02.06.2017. Death toll has risen to 208. (via @dmc_lk ) #lka",
ID_870975051352293377,Starting immediate #floodrelief work with my Ministry officials Ratnapura on the directions of #Srilanka President .@MaithripalaS #floodsl,Ratnapura=>CITY * Srilanka=>COUNTRY
ID_870512355439812609,EU provides €300 000 to support aid delivery to flood victims  via @colombogazette #srilanka #lka,srilanka=>COUNTRY
ID_870105711329423363,FM @RavikOfficial & Actg HC of @PahicColombo receive PNS ZULFIQUAR with Relief Supplies and will assist SLN with search and rescue #FloodSL,
ID_875181223647350789,RT @ItsYakin: The staff members of SriLankan Airlines & Catering once again donated relief goods for the #FloodSL affected districts #lka,SriLankan=>COUNTRY
ID_871467395172487173,US to provide Rs350mn flood relief to Sri Lanka  #news,Sri Lanka=>COUNTRY
