tweet_id,text,location_mentions,text_transformed
ID_1022420413882744832,Nearly half of houses checked in fire-stricken areas deemed uninhabitable GO    C7,,nearly half of house check in fire stricken area deem uninhabitable go c7
ID_1021778661895294976,RT : Greece: Death toll from wildfires hits 74,Greece=>COUNTRY,rt greece death toll from wildfire hit 74
ID_1022015997740503042,When the essence of cooperation meets the sad reality of lifeThe IPA partner country offers financial aid to Greece to handle disaster  Greecefires,Greece=>COUNTRY,when the essence of cooperation meet the sad reality of life the ipa partner country offer financial aid to greece to handle disaster greecefires
ID_1022557424585240576,We are live from the Lureio Idrima the orphanage and nursing home operared by the nuns of the Holy Trinity Monastery that was destroyed by the fire in Neos Voutzas. Here too the scene is apocalyptic.,Holy Trinity Monastery=>HUMAN-MADE POINT-OF-INTEREST * Neos Voutzas=>NEIGHBORHOOD,we be live from the lureio idrima the orphanage and nursing home operare by the nun of the holy trinity monastery that be destroy by the fire in neos voutzas here too the scene be apocalyptic
ID_1021749412639457280,RT : Greek prime minister declares 3-day national mourning period for dozens killed by wildfires near Athens.,Athens=>CITY,rt greek prime minister declare 3 day national mourn period for dozen kill by wildfire near athens
ID_1024662121391579136,Greece vows to speed up destruction of illegal property after wildfires,Greece=>COUNTRY,greece vow to speed up destruction of illegal property after wildfire
ID_1022441664697298944,"In Mati, hundreds of humanitarian volunteers have joined relief efforts following Greeces most deadly wildfires in a decade",Mati=>CITY * Greece=>COUNTRY,in mati hundred of humanitarian volunteer have join relief effort follow greeces most deadly wildfire in a decade
ID_1024974395759108097,State Minister Flambouraris offers thanks for assistance to Greecefires victims,,state minister flambouraris offer thanks for assistance to greecefires victim
ID_1022473412034416640,"Unfortunately theres the first confirmed fatality, hope to be the last, among tourists at the : an Irishman in honeymoon. So sorry, R.I.P 2  Mati Attica wildfires",Attica=>CITY,unfortunately there the first confirm fatality hope to be the last among tourist at the a irishman in honeymoon so sorry r.i.p 2 mati attica wildfire
ID_1022371614091096064,"A special account has been opened at the Bank of Greece for donations in support of fire victims. Account number 23/2341195169, IBAN GR4601000230000002341195169) available for foreign states, businesses and individuals from Greece and abroad to provide their financial support",Greece=>COUNTRY * Greece=>COUNTRY,a special account have be open at the bank of greece for donation in support of fire victim account number 23/2341195169 iban gr4601000230000002341195169 ) available for foreign state business and individual from greece and abroad to provide their financial support
ID_1021723092593401857,Greek Prime Minister declares three-day national mourning as 60 people are reported dead in Greece wildfires - Irish Department of Foreign Affairs say they are providing consular assistance to a number of people,Greece=>COUNTRY,greek prime minister declare three day national mourn as 60 person be report dead in greece wildfire irish department of foreign affair say they be provide consular assistance to a number of person
